Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Avg_Speed_mps,Avg_Throttle,Brake_Aggression,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Max_Lateral_g,Max_Longitudinal_g,Energy_Index
3,59,74.92,HARD,29,56.47825444302943,62.59137249885123,0.36435774220944744,1718.9001396099738,372.9725940946099,87.50611970716984,107.72642300607505,18825711.09159217
4,48,74.236,HARD,6,57.04387885231174,65.17301091222436,0.3986441889265287,1704.6131295356536,372.41235186931715,106.42485357158446,102.62096141769186,19702840.054555457
5,63,73.958,MEDIUM,19,57.2602184141684,66.24269257829911,0.3961560537405198,1680.439081786893,381.58338051406946,83.72518134645242,153.7961042743011,18761846.21422976
6,25,75.79,HARD,2,55.89293907025261,65.16093130145866,0.40927720881826,1669.8463181578713,351.7742089757202,68.45586894683697,121.85984093149274,18990176.92519348
9,35,76.066,HARD,2,55.61651690104268,59.96288831917043,0.4132505139432521,1563.8267942922794,364.1307443620808,92.65710184489865,100.1248842156372,18455654.806177966
10,57,74.818,MEDIUM,33,56.65302377944534,64.78419574052222,0.39223542071247147,1846.8274954853107,383.89154827483634,92.37038099778204,134.9500451588202,20148050.22106654
11,59,73.461,SOFT,12,57.530953970291904,65.15047774352036,0.4052885848994594,1752.0814071121758,389.9454075445117,89.2274189603264,121.04481697989523,19598297.426234346
14,60,74.323,MEDIUM,27,56.938559459117975,67.39672767002604,0.3856511723395511,1645.965433136431,398.6544111317102,90.80478058963818,101.93186609334553,19095793.01388103
16,58,74.78,HARD,24,56.73574277858019,67.36085459040156,0.39030553274843954,1752.746706901492,379.46628732268954,79.27175335647335,119.81651585306746,19889170.318340164
18,57,75.611,HARD,30,56.11409292581789,59.4340433273828,0.41403680343283994,1629.2503117853673,353.8418128782914,80.07970229346043,126.91284043319872,19012682.59693969
22,44,75.783,MEDIUM,13,55.80380000080374,64.18080335667273,0.3839565705554387,1738.6713680371518,365.5551104526513,71.96831484884459,128.35979982653305,19340266.557964534
31,54,74.675,MEDIUM,23,56.63177808668218,64.63166296472527,0.4067488417983184,1737.8687252349841,371.20757442879597,74.8015166273965,120.84110538051124,19386935.120264094
33,60,73.275,HARD,20,57.82133540317658,65.04642194760658,0.39335424076320286,1789.278486980143,384.5290298939795,87.79654993942343,112.01949931797044,20419064.396472964
44,72,71.097,SOFT,3,59.55390821861782,72.4405770986342,0.3902345924982897,1761.0059887124517,431.62626328346494,93.36563846650347,125.62028250436052,20349614.590970017
47,36,75.927,MEDIUM,6,55.803137387174964,59.682242812226775,0.38683478169027,1626.1649154845784,373.4241069869489,78.41871413075981,129.2209135189749,18298203.564116962
55,45,75.26,HARD,14,56.30431355588737,66.46148564870832,0.38495115570013827,1619.2785150067477,369.3167797583627,80.2842175690139,103.08783495910333,18408136.9708082
63,57,75.628,HARD,30,55.956006357993516,62.362071344473634,0.4066615551776265,1662.683099814794,353.9877387122519,91.17058281844871,114.95120619881091,19151716.35539684
77,69,72.549,SOFT,3,58.35748358917716,68.8178018843255,0.3870934774851932,1714.678610343194,413.08553794203635,82.46417056064332,135.52852825146763,19731191.476984605
88,44,75.442,HARD,4,56.24685605876939,64.25946894088374,0.3889040151798312,1682.1058236147958,386.1507507524028,84.89630211741583,139.8352213781001,19072103.804007266
99,66,75.125,HARD,33,56.50960932683497,65.35750117110571,0.41046656754367034,1689.177107888481,370.36610572435694,80.08912584524751,137.00398971723445,19709252.28192211
