Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Avg_Speed_mps,Avg_Throttle,Brake_Aggression,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Max_Lateral_g,Max_Longitudinal_g,Energy_Index
3,54,79.341,SOFT,23,61.84310048368644,73.37102210385822,0.3469964217668886,1886.4290367235271,287.6499416746776,66.63305009407568,127.68134683374711,21304045.65930573
4,63,78.259,SOFT,32,62.77675205692904,73.08526755486783,0.3567350549946468,1809.1930059142271,329.00187237467304,83.19837516572791,118.9455989765047,20373633.331937283
5,59,79.074,SOFT,27,62.1290211329321,75.01199165057064,0.387167124269678,1806.6026456122538,304.4322038725091,85.38376481023722,103.07238252362691,20312969.82805452
7,62,79.422,MEDIUM,36,61.86560848608745,75.17218250182196,0.3884654105835022,1881.4065226209987,302.1376684380393,76.24328681320428,106.23752999193734,20346347.084230784
9,55,80.402,MEDIUM,24,61.129255128974165,69.46545476254063,0.4011779263146941,1788.2327974360273,301.0625817498119,71.51176232381282,115.86170874653122,19281084.86935015
10,59,78.782,MEDIUM,32,62.30385227241678,73.75056588774801,0.3736701534434553,1759.3804519635366,307.9457496337728,84.6364562710222,113.42402002268506,19716156.895283476
11,49,78.334,SOFT,18,62.70578472960694,75.50977869792277,0.37329599120127366,1764.0470824419795,315.29023472522044,82.3177663992759,118.89148947695959,19983428.60092558
14,62,79.396,MEDIUM,33,61.82119798178674,72.87586865398107,0.39068446875329266,1889.5805446521294,288.90020895556756,78.85028850652886,115.7967739896735,20794895.39424667
16,60,78.379,MEDIUM,32,62.59163639428304,75.25701997810953,0.3985219616974978,1899.3196879725658,313.7599199588408,96.54759478191139,122.97279892405938,21003292.3384947
18,52,78.994,MEDIUM,25,62.06410257735453,73.04118590157908,0.3799367415929441,1820.9705710276276,299.6051607370125,95.57235240506073,116.53541352146101,20672907.77146898
22,62,78.353,SOFT,29,62.72766780824826,74.5071764357398,0.35904211288514876,1912.8379722818363,314.78300761754946,80.36047117817655,112.05146560015565,21025100.588424094
31,62,79.417,MEDIUM,33,61.81994328902752,73.38203805499883,0.40489534901167246,1771.9942909949086,296.2302876489956,77.74518591722874,116.30305356566527,19636430.97052941
33,60,77.524,MEDIUM,32,63.34048187659335,75.71790873550626,0.36665104621522854,1891.2769079763862,332.2137795469335,77.86131209562525,114.45640034974157,20688189.03566671
44,60,76.702,MEDIUM,28,63.95816996941999,78.52195014574076,0.371751374761566,2020.6576429084744,330.77659517275634,75.5596661411672,140.87701868631785,21840437.578525685
47,58,79.193,MEDIUM,27,62.10938575183625,70.6611211471703,0.39005240392105606,1748.5473223664958,307.7154912139244,89.8041099822,151.41911332671285,19218653.178771146
55,60,78.49,MEDIUM,33,62.470347001215366,75.98583313247609,0.3992958184810366,1934.5050042100506,323.39243612100125,79.51235977902566,116.99638084966125,20551631.19684683
63,28,86.543,MEDIUM,2,56.6317725636005,65.57405388898918,0.426028426595289,1687.4403689802223,242.46600644343692,59.4202478766581,121.51117475382897,17962551.04947337
77,30,88.485,MEDIUM,5,55.33582224375525,61.60110956706388,0.4363140106544202,1609.4208831115857,228.05440300949917,52.9598398991994,105.88756198516269,17818693.83292503
99,57,79.47,MEDIUM,30,61.94193882286653,74.05405599180266,0.3712153035767194,1847.826216919781,313.2350986205814,73.88956546894482,119.68197645307907,19837820.724896494
