RelativeTime_s,Speed,Throttle,Brake,nGear,RPM,DRS,Distance,RelativeDistance,X,Y,Driver,LapNumber,Compound,TyreLife,Speed_mps,VX,VY,AX_long,AY_lat,Jerk_long,Jerk_lat,TireEnergyProxy
0.0,273.4375008,99.0,False,7,10980.1250112,0,0.090497387820716,1.840027295963928e-05,-688.9903296546479,-1560.96356205066,3,54,SOFT,23,76.00762366506409,-454.26204689159704,-54.06116056228029,341.35847809786196,58.831047394543326,1716.9856425024716,232.81998995005472,18307.374670498735
0.1,274.5250016,99.0,False,7,10995.3500224,0,6.738862561679014,0.0013701711569623,-755.0,-1570.0,3,54,SOFT,23,76.14654730105651,-488.8539330535667,-52.25327814751836,513.0570423481091,82.1130463895488,1723.6340352956897,186.30788123572736,47568.23721684901
0.2,275.0,99.0,False,7,11002.0,0,9.644444444444444,0.0019609451122878,-784.4579402458179,-1573.274762177905,3,54,SOFT,23,76.30612461729963,-558.0377053775061,-48.63751331799563,686.0852851569999,96.0926236416888,872.0826512165922,17.4212694686414,91382.18872025545
0.3,275.0,99.0,False,7,11002.0,0,9.644444444444444,0.0019609451122878,-784.4579402458179,-1573.274762177905,3,54,SOFT,23,76.48635561379342,-627.2214777014449,-45.021748488472895,687.4735725914276,85.59730028327708,330.89748642962945,18.92951826048133,139995.60833193298
0.4,276.0,99.0,False,7,11054.0,0,28.044444444444444,0.0057021030684498,-965.6871973830372,-1586.1688483952016,3,54,SOFT,23,76.6872402905379,-696.4052500254002,-41.405983658975174,752.2647824429258,99.87852729378507,1231.8368951274908,41.423149408317954,199444.1163364296
0.5,276.0,99.0,False,7,11054.0,0,28.044444444444444,0.0057021030684498,-965.6871973830372,-1586.1688483952016,3,54,SOFT,23,76.90877864753331,-778.5948003129806,-34.01092988697769,933.8409516169257,93.88193016494067,1404.4915171602513,-351.33845014360986,279538.39255219675
0.6,278.0250016,99.0,False,7,11105.300040533331,0,40.58071909268624,0.0082510260924119,-1078.0,-1590.0,3,54,SOFT,23,77.16817610786578,-883.8149206428227,-30.798205936888507,1033.163085874976,29.610837265063093,-3814.77189363011,-443.47491764713357,373524.94991405815
0.7,279.0,99.0,False,7,11130.0,0,46.644444444444446,0.0094839257850049,-1141.6356076906864,-1591.3352891316497,3,54,SOFT,23,77.45044940080675,-985.3083179710757,-35.2884921539885,170.88657289090378,5.1869466355139515,-8122.005325042067,-158.513345652931,390884.74317277246
0.8,280.1833344,99.0,False,7,11190.9417216,0,57.71882443365828,0.0117356108288206,-1266.0,-1594.0,3,54,SOFT,23,77.75397975608942,-918.0074667764927,-30.984746250925355,-591.2379791334374,-2.091831865523111,-3029.5488757657636,-262.88254830245995,445383.87930741056
0.9,281.0,99.0,False,7,11233.0,0,65.37777777777778,0.0132928583418221,-1347.534144336637,-1597.095574599609,3,54,SOFT,23,77.98991935743136,-867.1139062843213,-31.717778606838465,-435.02320226224896,-47.389563024978045,264.3633760163277,-311.7642386918774,487242.536227774
