Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Avg_Speed_mps,Avg_Throttle,Brake_Aggression,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Max_Lateral_g,Max_Longitudinal_g,Energy_Index
3,45,98.324,HARD,29,58.641806346396116,64.13911285858292,0.38428115947548963,1801.6879398220135,293.3065737117256,64.15543719224927,111.81228477033196,24890422.224046193
4,52,97.425,HARD,28,59.24176201898709,65.71603531287374,0.3922993816243271,1744.2534013419913,301.76619530136185,74.27343647910992,112.84441854130822,23338853.22619796
5,52,97.138,MEDIUM,18,59.38794701255235,65.50708999021286,0.3878112128311694,1752.3033182924587,311.4419442384762,71.67900142856243,112.66655698009214,24232671.77852892
6,50,98.313,HARD,32,58.72631310672788,66.0745375088593,0.4168537488678119,1755.0573685100546,300.2994478265327,79.80606852968643,167.72953936717568,23856617.151268817
7,46,97.992,MEDIUM,13,58.95489813644149,66.68638637189893,0.40472599503657747,1771.1528593931628,306.07542999448094,63.755412710013616,118.70821006292591,24529670.901818
9,34,99.317,MEDIUM,3,58.21331031486479,60.481600936002096,0.4025969302001456,1744.1105806734895,285.06882229287123,64.45465476023091,121.9192999359549,24295981.317182776
10,44,98.103,HARD,27,58.81022365019266,64.31842479812715,0.397582178025234,1713.5976571284975,295.44875467466625,72.23326108770006,125.8864626397408,23016273.97274143
11,53,96.693,HARD,29,59.549247138992264,65.5307861659616,0.4052386683516963,1717.6904298457416,302.77318361283744,67.72153997007078,113.1862601309389,24101507.83626951
14,44,97.646,HARD,26,59.05794658180439,66.76321782776688,0.38018360582702393,1811.7856516295014,298.14140146489433,71.45155794905631,198.7917782528279,25030836.823003832
16,43,97.681,MEDIUM,8,58.96731519261586,66.46147707846067,0.39199115203662066,1852.495098930123,282.574916092275,84.52442091218091,127.89905260737662,25449340.753240805
18,44,97.828,SOFT,10,58.90887965470569,65.64898993624641,0.3940999620865245,1723.2125005739324,294.6261612129021,66.66245549925166,115.5152123581309,23922231.24925239
22,18,98.98,HARD,3,58.336159470400546,64.68429612703196,0.3979102503474322,1771.8216487604238,297.17412546699785,74.75195776294046,118.53360385310145,23480141.052566517
31,33,98.645,MEDIUM,8,58.520184245764426,67.43048526946576,0.3871771997983398,1672.0066849829832,299.8906594601273,59.34072912688716,110.06756554334237,23004619.01442394
33,35,96.404,MEDIUM,6,59.7503144970553,64.1772644866486,0.3829117061013508,1787.9205155703296,314.93997758523227,72.09944877770054,138.7774245867958,24336662.167994764
44,44,97.41,HARD,25,59.277927715746294,66.11297814103744,0.3922993816243271,1827.0159429699004,288.4760772387011,72.02679510201943,132.8480097076213,24875618.397759605
47,51,98.847,HARD,36,58.007528394734685,61.860731322608295,0.4477665885031934,1714.8975260976233,284.4000085893235,67.7121230825456,128.89285379991563,23893155.548944313
55,19,98.931,HARD,2,58.25189907469258,62.57515132661064,0.3979102503474322,1729.441426314834,285.4754468070953,58.957668440274745,136.98844149569194,23855468.382922657
63,52,98.314,HARD,35,58.71966979826907,65.59433188939491,0.39172709298187,1846.1415021420178,286.35387902682663,68.84579507838242,132.09527627514794,25489801.323493183
77,19,96.96,HARD,2,59.4934536603534,66.20276184107392,0.39143995730821857,1821.6611953316963,307.0084471867702,76.10373338834628,134.20306501161113,24677904.28277273
99,36,98.702,MEDIUM,8,58.43603653470881,64.99228090612412,0.37850536080738034,1850.9402257102035,294.334640518051,58.32995746738063,129.76767697229474,24859364.274414863
