RelativeTime_s,Speed,Throttle,Brake,nGear,RPM,DRS,Distance,RelativeDistance,X,Y,Driver,LapNumber,Compound,TyreLife
0.0,254.1,100.0,False,6,11089.9,0,0.11061797530496165,2.539653223631211e-05,-1370.6268119012557,-205.56533416209135,31,54,HARD,17
0.1,255.0,100.0,False,6,11164.0,0,5.239999999999997,0.001203039818360373,-1409.9497416456898,-172.71915794768134,31,54,HARD,17
0.2,255.0,100.0,False,6,11164.0,0,5.239999999999997,0.001203039818360373,-1409.9497416456898,-172.71915794768134,31,54,HARD,17
0.3,257.9999957333333,100.0,False,6,11318.499780266666,0,18.17041490829581,0.004171704704352829,-1510.0,-91.0,31,54,HARD,17
0.4,259.0,100.0,False,6,11370.0,0,22.50666666666666,0.005167254995909187,-1542.4359163616068,-65.07412216391573,31,54,HARD,17
0.5,261.0,100.0,False,6,11474.666666666666,0,34.12433926678367,0.007834530326942597,-1628.0,3.0,31,54,HARD,17
0.6,262.0,100.0,False,6,11527.0,0,39.97333333333333,0.009177387723777101,-1672.1140760534674,38.975143657165944,31,54,HARD,17
0.7,263.9999963428571,100.0,False,6,11568.499924114285,0,50.28436626806227,0.011544674591888578,-1752.0,105.0,31,54,HARD,17
0.8,263.9999963428571,100.0,False,6,11568.499924114285,0,50.28436626806227,0.011544674591888578,-1752.0,105.0,31,54,HARD,17
0.9,266.0,100.0,False,6,11610.0,0,60.66222222222221,0.01392730320678604,-1835.5585330243366,173.88033244178982,31,54,HARD,17
1.0,266.6666666666667,100.0,False,6,11660.333333333334,0,66.60934954861264,0.015292690798104122,-1883.0,213.0,31,54,HARD,17
1.1,268.0,100.0,False,6,11761.0,0,78.52888888888889,0.01802927103529215,-1974.6729386194527,288.73639486989464,31,54,HARD,17
1.2,268.24999893333336,100.0,False,6,11631.750551466666,0,83.00119224624726,0.019056057107561027,-2009.0,317.0,31,54,HARD,17
1.3,268.24999893333336,100.0,False,6,11631.750551466666,0,83.00119224624726,0.019056057107561027,-2009.0,317.0,31,54,HARD,17
1.4,269.6666666666667,100.0,False,6,11128.5,0,99.47571300563064,0.022838405287321097,-2136.0,421.0,31,54,HARD,17
1.5,269.6666666666667,100.0,False,6,11128.5,0,99.47571300563064,0.022838405287321097,-2136.0,421.0,31,54,HARD,17
1.6,273.2499968,100.0,False,7,10552.249984,0,116.18953976479145,0.02667569519351339,-2259.0,522.0,31,54,HARD,17
1.7,273.2499968,100.0,False,7,10552.249984,0,116.18953976479145,0.02667569519351339,-2259.0,522.0,31,54,HARD,17
1.8,276.0,100.0,False,7,10566.0,0,133.0622222222222,0.0305494564222996,-2389.0,628.0,31,54,HARD,17
1.9,276.0,100.0,False,7,10566.0,0,133.0622222222222,0.0305494564222996,-2389.0,628.0,31,54,HARD,17
2.0,276.0,100.0,False,7,10566.0,0,133.0622222222222,0.0305494564222996,-2389.0,628.0,31,54,HARD,17
2.1,277.0,100.0,False,7,10708.0,0,151.45194444444442,0.03477151139976524,-2531.293260879592,745.2609155782931,31,54,HARD,17
2.2,277.0,100.0,False,7,10708.0,0,151.45194444444442,0.03477151139976524,-2531.293260879592,745.2609155782931,31,54,HARD,17
2.3,280.0,100.0,False,7,10784.0,0,170.11861111111108,0.039057149429547744,-2674.466900338428,862.284775244481,31,54,HARD,17
2.4,280.0,100.0,False,7,10784.0,0,170.11861111111108,0.039057149429547744,-2674.466900338428,862.284775244481,31,54,HARD,17
2.5,280.7541664,100.0,False,7,10830.7583168,0,184.23567219813359,0.042298253743653445,-2783.0,952.0,31,54,HARD,17
2.6,281.0,100.0,False,7,10846.0,0,188.85194444444443,0.043358093309436616,-2817.123058345184,980.2091107863218,31,54,HARD,17
2.7,282.34166826666666,100.0,False,7,10892.2875552,0,201.4988945836212,0.04626167815643049,-2910.0,1057.0,31,54,HARD,17
2.8,283.0,100.0,False,7,10915.0,0,207.71861111111107,0.04768964888953821,-2958.651769330805,1097.3203222866007,31,54,HARD,17
2.9,283.58749973333335,100.0,False,7,10930.274993066667,0,218.8298039578549,0.050240642672766025,-3049.0,1172.0,31,54,HARD,17
3.0,284.0,100.0,False,7,10941.0,0,226.6519444444444,0.052036510319746175,-3112.7059273634795,1224.0992837754957,31,54,HARD,17
3.1,284.0,100.0,False,7,10941.0,0,226.6519444444444,0.052036510319746175,-3112.7059273634795,1224.0992837754957,31,54,HARD,17
3.2,285.00833493333334,100.0,False,7,10963.687536,0,236.24644650476682,0.05423929047545391,-3190.0,1287.0,31,54,HARD,17
3.3,286.0,100.0,False,7,10986.0,0,245.71861111111104,0.05641398345016687,-3264.459280276562,1347.6834293973982,31,54,HARD,17
3.4,286.8416661333333,100.0,False,7,11023.033309866667,0,253.7860120643336,0.058266159896236555,-3326.0,1398.0,31,54,HARD,17
3.5,288.0,100.0,False,7,11074.0,0,264.9186111111111,0.060822068280800314,-3407.807520164202,1465.2473469389358,31,54,HARD,17
3.6,288.2892864,100.0,False,7,11091.9357568,0,271.4136169723073,0.06231324207307187,-3456.0,1505.0,31,54,HARD,17
3.7,288.2892864,100.0,False,7,11091.9357568,0,271.4136169723073,0.06231324207307187,-3456.0,1505.0,31,54,HARD,17
3.8,289.0833333333333,100.0,False,7,11140.25,0,289.00506826504375,0.06635202382267284,-3592.0,1617.0,31,54,HARD,17
3.9,289.0833333333333,100.0,False,7,11140.25,0,289.00506826504375,0.06635202382267284,-3592.0,1617.0,31,54,HARD,17
4.0,290.0,100.0,False,7,11187.0,0,306.7297222222222,0.07042138727250957,-3729.0,1728.0,31,54,HARD,17
4.1,290.0,100.0,False,7,11187.0,0,306.7297222222222,0.07042138727250957,-3729.0,1728.0,31,54,HARD,17
4.2,290.0,100.0,False,7,11187.0,0,306.7297222222222,0.07042138727250957,-3729.0,1728.0,31,54,HARD,17
4.3,291.0,100.0,False,7,11186.0,0,326.1297222222222,0.0748753896534621,-3877.5062622920864,1852.3017987104624,31,54,HARD,17
4.4,291.0,100.0,False,7,11186.0,0,326.1297222222222,0.0748753896534621,-3877.5062622920864,1852.3017987104624,31,54,HARD,17
4.5,292.0,100.0,False,7,11257.0,0,345.5963888888889,0.079344697884521,-4029.380987057725,1974.1078874774566,31,54,HARD,17
4.6,292.0,100.0,False,7,11257.0,0,345.5963888888889,0.079344697884521,-4029.380987057725,1974.1078874774566,31,54,HARD,17
4.7,292.0,100.0,False,7,11268.25,0,360.18665656287675,0.08269444463496825,-4144.0,2064.0,31,54,HARD,17
4.8,292.0,100.0,False,7,11272.0,0,365.0630555555556,0.0838140061155799,-4182.597650881344,2093.950354573828,31,54,HARD,17
4.9,293.3333333333333,100.0,False,7,11292.666666666666,0,378.1192202765881,0.08681154161834215,-4286.0,2174.0,31,54,HARD,17
5.0,294.0,100.0,False,7,11303.0,0,384.66305555555556,0.08831392604685152,-4337.399675760932,2214.2357772079667,31,54,HARD,17
5.1,294.5833333333333,100.0,False,7,11326.333333333334,0,396.1268520773201,0.09094587331503168,-4427.0,2285.0,31,54,HARD,17
5.2,295.0,100.0,False,7,11343.0,0,404.32972222222224,0.09282915182822953,-4490.997115122789,2335.812350625879,31,54,HARD,17
5.3,295.0,100.0,False,7,11343.0,0,404.32972222222224,0.09282915182822953,-4490.997115122789,2335.812350625879,31,54,HARD,17
5.4,295.5,100.0,False,7,11368.0,0,414.19329887302183,0.0950937082141764,-4568.0,2397.0,31,54,HARD,17
5.5,296.0,100.0,False,7,11393.0,0,424.0630555555556,0.0973596834597139,-4645.475831094212,2458.313207005761,31,54,HARD,17
5.6,296.0,100.0,False,7,11408.92038280242,0,432.2805174420522,0.09924631205805629,-4710.0,2509.0,31,54,HARD,17
5.7,296.0,100.0,False,7,11425.0,0,440.58972222222224,0.10115400370108203,-4774.8180099184965,2559.4224765626873,31,54,HARD,17
5.8,296.4166656,100.0,False,7,11397.916736,0,448.8423990039094,0.10304871720803391,-4840.0,2610.0,31,54,HARD,17
5.9,297.0,100.0,False,7,11360.0,0,460.38972222222225,0.10569984118267277,-4934.983274123177,2684.0656900806885,31,54,HARD,17
6.0,296.3333333333333,100.0,False,7,11360.333333333334,0,466.950957038541,0.10720622033184143,-4989.0,2726.0,31,54,HARD,17
6.1,296.3333333333333,100.0,False,7,11360.333333333334,0,466.950957038541,0.10720622033184143,-4989.0,2726.0,31,54,HARD,17
6.2,295.0,100.0,False,7,11354.2500288,0,485.0000540235585,0.11135007192696059,-5132.0,2836.0,31,54,HARD,17
6.3,295.0,100.0,False,7,11354.2500288,0,485.0000540235585,0.11135007192696059,-5132.0,2836.0,31,54,HARD,17
6.4,292.0,85.71428571428571,False,7,11222.57142857143,0,502.8980579727598,0.11545923441170491,-5274.0,2947.0,31,54,HARD,17
6.5,292.0,85.71428571428571,False,7,11222.57142857143,0,502.8980579727598,0.11545923441170491,-5274.0,2947.0,31,54,HARD,17
6.6,292.0,85.71428571428571,False,7,11222.57142857143,0,502.8980579727598,0.11545923441170491,-5274.0,2947.0,31,54,HARD,17
6.7,274.0,0.0,True,7,10554.0,0,521.0341666666667,0.11962306282943044,-5432.451282002131,3071.9460205683067,31,54,HARD,17
6.8,274.0,0.0,True,7,10554.0,0,521.0341666666667,0.11962306282943044,-5432.451282002131,3071.9460205683067,31,54,HARD,17
6.9,244.0,0.0,True,7,9461.0,0,537.3008333333333,0.12335769025538376,-5566.365260646233,3180.652660433242,31,54,HARD,17
7.0,244.0,0.0,True,7,9461.0,0,537.3008333333333,0.12335769025538376,-5566.365260646233,3180.652660433242,31,54,HARD,17
7.1,222.25003093333333,0.0,True,7,9561.499857066667,0,548.2568649264899,0.1258730609152658,-5650.0,3250.0,31,54,HARD,17
7.2,215.0,0.0,True,6,9595.0,0,551.6341666666667,0.12664844802825248,-5676.074462720789,3272.3564000687848,31,54,HARD,17
