Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Avg_Speed_mps,Avg_Throttle,Brake_Aggression,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Max_Lateral_g,Max_Longitudinal_g,Energy_Index
3,53,84.812,HARD,31,67.73960357701829,74.22925134076698,0.3253183909193649,1873.7600719966797,208.75825275652613,62.3460569726819,110.54484660676212,22998346.684006516
4,53,84.971,HARD,29,67.59959879010707,73.50099639040783,0.37429533784261104,1929.878311258298,207.83998873335563,58.3436747611313,128.3976328710024,23731650.890639123
5,50,85.938,MEDIUM,24,66.94850092883756,75.32178998969589,0.35498339635081605,1924.5253185557365,194.5056549453934,54.600965918646295,128.29637303146657,23381472.47660632
6,50,85.953,HARD,27,66.86736817090124,73.96667979652986,0.3756468282407978,1939.5410977753627,188.67407511635034,57.431667272885484,265.1592692636796,25084217.242980715
9,41,87.202,SOFT,2,66.18557029488747,74.49778947638154,0.355071617549659,1904.639522940408,182.0408076787261,55.21473748285839,124.23711230950431,22791153.774897378
10,2,89.005,HARD,2,64.59678087317045,71.58237487470412,0.38957330697211423,1843.7630944717127,175.1097550245597,50.48123693239972,134.01388014894815,21862750.432654828
11,53,85.156,HARD,27,67.51516509415998,72.61689872825042,0.37704588121612087,1941.0426620091957,193.4241679446973,52.18082393113727,154.6331908901071,22941731.252089813
14,52,85.472,HARD,27,67.18914108009184,76.69785203175675,0.33501363741750506,1935.1195487770524,192.01109790836162,52.19124187147352,132.60244667712337,23914228.86859921
16,53,85.319,HARD,27,67.43096883050951,76.11288409811199,0.33387810078372065,1943.0949671905437,193.30442062826322,60.18592440858152,129.49665945398618,22836363.47394368
18,52,85.853,HARD,29,67.01552840993428,76.1711186847681,0.3419661946615275,1919.666571623877,196.66683059919023,62.40647758034179,118.69403819330373,23144424.124833055
31,53,85.566,HARD,27,67.05215815654478,73.86822200537974,0.35450858999983265,1935.289187119179,188.65263632459326,48.03459754991385,127.48546363616427,23844534.03613015
33,25,85.173,HARD,2,67.55382140518387,73.85066390042583,0.35519676806798833,1947.4067347159307,194.17038169555715,57.88418371385037,148.72249235984143,23428971.15846084
44,3,85.87,HARD,3,67.16768378986144,74.33616420762209,0.369562790043908,1909.5797298063815,202.50381144401632,63.3052995456108,131.79927146216147,22423189.49350189
47,52,86.707,HARD,29,66.43768635570414,72.90026635313262,0.33285994268833813,1935.0858312120408,189.67972242013786,54.331996681042526,129.14861576018467,24041079.491212744
55,53,85.559,HARD,27,67.23642044418546,76.63790587843911,0.35216520441667193,1970.8088752624778,190.38030582126262,61.97689429937995,128.87160636295926,24321221.975149978
63,53,85.835,HARD,27,66.91314237483668,73.08602075464806,0.3684965468716011,2148.0893146288,192.01582447828076,58.593649445662535,480.2000187372768,27098291.889785822
77,34,84.827,MEDIUM,8,67.85938195072764,76.28196225670614,0.36699694398578325,2014.5601714695015,190.02513894287014,55.40847174573156,157.7792760354662,24517353.303680994
88,53,85.849,MEDIUM,27,66.99217796973646,74.22094627926037,0.3528278112870579,1996.407031024545,196.37540245141315,53.65176922084736,142.18966423389222,24372011.208372753
99,50,85.718,MEDIUM,25,67.16839309092168,74.66254700986079,0.35988918704669703,1982.3192173640846,194.2211715124982,64.45891505551485,121.37535500024087,25023543.87010578
