Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Avg_Speed_mps,Avg_Throttle,Brake_Aggression,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Max_Lateral_g,Max_Longitudinal_g,Energy_Index
3,43,92.716,MEDIUM,30,65.7228449538222,74.64010877129289,0.3357240458676966,1853.231274081216,365.6979365251118,110.64333663004585,115.73505503782795,28217303.9428834
4,49,91.914,HARD,39,66.23743838998857,77.89433351848866,0.3220610637130703,1817.5049274855662,385.9742289656363,159.62053009957972,123.9811654365962,27795755.244850222
5,41,94.03,MEDIUM,26,64.8120611611144,74.34321358228661,0.31891550918153533,1752.6710533388577,351.48636834886446,102.95186949129861,112.75336291125417,26598068.01221981
6,49,92.751,HARD,37,65.77719890748254,79.18506651489638,0.3345290878201409,1771.591364353832,349.39160586816786,126.70294742698236,102.29862417332751,27339650.61766043
7,45,92.778,MEDIUM,24,66.02613105300767,80.04854884172269,0.3345290878201409,1737.6115305948404,384.24450904166673,123.36053003874686,112.62597377603822,26492058.560601346
9,7,97.043,MEDIUM,7,62.97583779710259,70.39056033125048,0.3730235801601487,1917.4058175613266,336.1190174987387,105.02096410291857,127.34812685566538,28018429.046684295
10,46,92.297,HARD,33,66.03801067836295,79.20112715613456,0.2938449712581819,1825.2605649993577,400.90336712208295,146.45179722392552,131.74187225775577,27892607.125385977
11,9,94.138,MEDIUM,16,64.73076125006041,74.37098379906098,0.3527263957445417,1852.3707332770373,360.438969482026,98.38205649972895,123.1020143021534,27610964.947988622
14,46,91.633,SOFT,2,66.7104116458205,81.74882496748175,0.3159354869847682,1869.8571742069314,392.35717093684616,111.740908091021,119.52633406348373,28523149.224998426
16,46,91.601,HARD,36,66.40258519112503,76.63273996492265,0.3619616995912281,1893.1718685000403,362.8323867088151,131.4935195571644,160.97006824177026,29082696.61819681
18,45,92.804,MEDIUM,30,65.76172558067698,78.89425900614003,0.34485727944609795,1793.678950897073,359.8342345630057,113.7835923612237,120.88214236509944,27181585.57773547
22,44,92.506,HARD,23,66.00715948543154,79.93915789882301,0.27949812005221003,1778.2062437875113,385.6929669727666,111.95525487030697,122.48889100500075,27077489.445376884
31,47,91.797,HARD,34,66.44590991463305,80.60941612070376,0.3089683229778881,1854.222656477521,380.832563366291,113.9260536947499,120.95025481568175,28155857.96576318
33,35,91.488,MEDIUM,20,66.65070005823657,79.13935931813839,0.3365475006673296,1763.0416147389958,385.04365335251856,99.82991691228635,127.2673510193431,27923313.86105975
44,47,90.734,HARD,37,67.27277783350748,80.27199165210523,0.33027539320677074,1949.6012051291796,391.6637191088817,114.38858173292101,118.65801716493883,28131614.125735976
47,8,96.043,MEDIUM,8,63.455483563769114,71.00071743334811,0.3444029958016765,1901.7891029178527,347.40094983511983,104.940991094722,149.19459665727348,28594145.169948407
55,37,91.851,MEDIUM,27,66.4615406078831,76.38674624487162,0.35419776732141056,1773.3816583861912,377.88104935176517,108.277318184855,141.0729011078164,27749724.246158864
63,7,96.13,MEDIUM,7,63.33546325869073,72.10920857493606,0.3579693140577306,1908.4001178100887,351.2439087015817,105.17103264840146,120.81794093918825,28617235.972100634
77,47,91.408,MEDIUM,32,66.67808320905979,77.67417769270682,0.340120543268587,1868.2794522228428,380.84485207544736,100.51911195985615,121.46561387073146,28354016.76000708
99,37,92.865,HARD,24,65.7995685075987,78.2171506781242,0.33556993108686267,1793.2316117968878,365.08681524149165,109.57267759292105,118.84845332228467,27338310.67365589
