Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Avg_Speed_mps,Avg_Throttle,Brake_Aggression,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Max_Lateral_g,Max_Longitudinal_g,Energy_Index
3,60,81.853,SOFT,15,56.81806302092522,66.11919526514633,0.3798593003447055,1653.8095052602032,334.58873451039995,76.5326428435151,119.05752443778448,19772732.65904376
4,56,81.279,SOFT,8,57.34089291563168,65.28345430755877,0.3920845959824899,1640.3152630609675,321.4594936464745,78.91876432453067,133.54636834920478,19551985.525428396
5,56,82.82,SOFT,21,56.410020109910356,66.26087951290711,0.3910906179784661,1641.4951965006949,323.5265639529866,72.23449668746777,119.20491116157321,19750282.044844445
6,57,82.905,SOFT,10,56.21448952729958,65.9315069152506,0.391869124712525,1553.7628051874744,317.12699582168904,68.33262519070396,112.87681806499607,18453406.593222853
7,54,82.868,SOFT,17,56.24448065540909,65.68637348888599,0.39489407402116494,1602.9122847315498,330.63679235781467,86.2579793748343,107.47233989388964,19684732.580631226
9,45,84.04,MEDIUM,3,55.500495076435364,58.03213789767134,0.40617996515137056,1650.2507924822478,308.1202620565942,84.87577358193234,122.32759568474806,19117022.79229199
10,64,81.375,SOFT,17,57.35501926120861,69.2143737186334,0.3699490370291851,1652.586736983521,332.8637278990806,71.51549085915966,121.82416197465766,19721564.707224533
11,60,79.483,SOFT,6,58.906982752498706,69.7930945460116,0.3700740928686702,1693.2135331025854,359.35744115012324,81.36567369028175,132.24063703249394,20233394.456306536
14,63,81.182,SOFT,5,57.58566255462946,68.88581040885215,0.3883168021521194,1713.3814833430176,345.1863000454472,73.07930666414934,114.85793434463592,20258684.476376224
16,64,80.459,SOFT,9,58.04015709102446,70.32303682304804,0.36821171172559924,1691.7492285237313,339.3887978961636,77.90642150116088,140.524304562213,20850931.40732154
18,47,82.607,SOFT,11,56.512613151023615,63.637666338470325,0.4007854949270173,1759.476321924916,310.0429028843172,78.17428763801509,187.41387005848512,20152402.05165627
22,5,84.825,SOFT,5,54.86848417684663,64.5424409581043,0.3950166836010001,1594.697607037789,293.65578058196553,74.6694661815658,111.35519243019819,19402424.599406037
31,46,83.311,MEDIUM,23,56.010117747196766,66.52078457035026,0.38024640870810583,1553.7284290065875,308.6227694695628,64.74882190192655,115.00398031639308,18685553.84204497
33,62,78.149,SOFT,2,59.870874311043586,71.4994289903204,0.3814640219340839,1754.7746793819792,379.45520862576643,81.57282930390481,124.41591775572607,20432088.103421085
44,54,80.665,MEDIUM,18,57.90521370696366,69.34740437226095,0.3989402388928411,1698.9692852203993,342.79934016200514,72.91294881794036,130.19049207452218,20821650.33914724
47,54,82.637,MEDIUM,4,56.53864673463518,61.55408604134164,0.3845609683490741,1618.910238749367,328.500943285299,66.82280362721879,111.3031726709226,18765668.045457505
55,53,81.568,SOFT,10,57.1518278967771,66.61159387798386,0.397272064494189,1689.9183375351577,333.17168602217254,77.37123384205589,135.9916623089886,19783145.913970605
63,30,83.208,MEDIUM,2,56.14955538228725,65.51991782122113,0.38940052451430024,1625.6767179777482,309.20232325149874,74.07281587671642,101.32785709587877,18712003.078210834
77,65,79.43,SOFT,15,58.713213893515395,70.0614829978273,0.38432443824255835,1726.8822170549963,353.1978342449991,72.9361891881094,130.57635812668371,20620598.43770094
99,42,82.802,SOFT,6,56.37816834264864,64.8204920062491,0.3910906179784661,1656.2811657535508,308.7545028123188,70.47522708173793,101.4177331977068,18951079.115523465
