Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Avg_Speed_mps,Avg_Throttle,Brake_Aggression,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Max_Lateral_g,Max_Longitudinal_g,Energy_Index
3,45,69.305,HARD,4,61.94411872998951,69.81962540131127,0.36681696583975676,1729.9044861775874,200.07084469560084,57.041119115201525,100.88761406388694,16924242.04521662
4,65,68.903,HARD,34,62.37259432791005,73.31848570126543,0.37930965246961007,1791.4252667325516,225.28894061777734,81.39956657424952,125.07281473953473,17101225.851865586
5,64,69.821,HARD,37,61.553021460698716,73.52992971973457,0.3670808788253817,1776.419574461889,222.41570480363723,63.195954314733946,120.41140652776129,16642662.35455135
6,34,70.104,HARD,9,61.34315068338462,68.43739503524402,0.40408318669686843,1759.2822440829523,209.1611453243373,66.8181955957393,117.48630225281896,17157408.66469415
7,57,69.128,MEDIUM,21,62.168337000721706,70.13402856655233,0.39203514980929427,1844.5092567868573,219.83779258627177,62.75439949806404,116.91935935734973,17213405.217085492
9,39,70.951,HARD,18,60.6036777996982,67.20293836297076,0.39599095455742545,1627.6394982865952,222.52590502712906,73.67907679845129,125.55136974863814,15250167.396108467
11,57,67.894,MEDIUM,3,63.36187620044869,73.47998807103427,0.3804676711831077,1808.2675919105839,234.46372085799604,87.49316155036765,119.77653352536608,17165372.9873565
14,61,69.749,HARD,34,61.53783928720719,72.24641570587768,0.3812785537905989,1712.7317964761794,221.89589619235534,63.71553436758432,103.364696080104,16469488.263491876
16,64,68.738,MEDIUM,27,62.58971569709161,76.26354548691403,0.3640435048219744,1766.514529854887,209.68968576262586,63.59459033856106,115.94223870530931,17194285.795093037
18,32,69.787,HARD,4,61.53854555611433,73.38725353839162,0.3872561400127555,1826.8924246806416,209.64247238971762,63.99931787179041,109.35387252153753,17039103.541176215
22,41,69.65,HARD,15,61.60352079012423,70.1366502345179,0.4051564926120087,1712.2305647626251,215.4929551129881,79.32000078839795,107.87891097448075,16456029.874849513
31,70,69.576,HARD,34,61.84399961925485,71.806183410835,0.3754982356788546,1727.0998097329978,216.84403404978045,74.35709948579469,112.10557571616017,16519514.357914694
33,68,68.017,HARD,39,63.12225647461818,70.33762025511074,0.39329594005930585,1851.241984415509,225.74797433614884,85.21060037434908,173.73041124813614,17595204.405644733
44,71,67.058,SOFT,5,64.14195912338776,78.25252697433378,0.3704922363372816,1735.8532898742435,241.11879659319555,85.34521749700396,115.07062971836264,17491888.970753685
47,57,70.005,HARD,24,61.50829125244506,69.21582207158731,0.37693864082150713,1703.6978311880512,213.56960552138054,65.91150306817691,113.70300086391688,16494220.86658887
55,64,68.609,HARD,23,62.69603071399613,71.29611695650182,0.3965286198754118,1738.6513864754081,228.14611101491099,67.32723191641658,105.87051486465027,16639179.807301834
63,28,70.499,HARD,3,60.938014789131735,70.81973455759265,0.3948614166544344,1684.2832356791798,210.77552811802747,56.86505306946051,127.58644671427699,16312074.376040623
77,43,68.619,HARD,16,62.574684472712676,74.27097477774525,0.366981205348329,1698.6485472186428,228.90357788220192,69.67830636741233,122.74913498579292,16600651.983209914
99,39,69.723,HARD,16,61.76095892439555,71.73444664620546,0.39073568567656836,1696.7416839857317,216.24441572336778,63.500140345871614,117.5630525611696,16938350.116470244
