RelativeTime_s,Speed,Throttle,Brake,nGear,RPM,DRS,Distance,RelativeDistance,X,Y,Driver,LapNumber,Compound,TyreLife
0.0,288.8624992,100.0,False,7,11586.745793066668,12,0.09151109949431202,2.1307988710303873e-05,1186.7901525909417,-1184.2771725417165,33,68,HARD,39
0.1,290.0,100.0,False,7,11644.0,12,7.454722222222221,0.0017358018625864798,1117.0020763598745,-1203.153824491974,33,68,HARD,39
0.2,290.0,100.0,False,7,11644.0,12,7.454722222222221,0.0017358018625864798,1117.0020763598745,-1203.153824491974,33,68,HARD,39
0.3,293.0166656,100.0,False,7,10935.083584,12,22.216081191390053,0.005172924484890053,975.0,-1242.0,33,68,HARD,39
0.4,294.0,100.0,False,7,10704.0,12,27.054722222222225,0.00629958244253588,927.0083683001444,-1254.8460766529704,33,68,HARD,39
0.5,295.7750016,100.0,False,7,10742.458368,12,38.74729428597794,0.009022150468771962,810.0,-1286.0,33,68,HARD,39
0.6,297.0,100.0,False,8,10769.0,12,46.85472222222222,0.010909932212076598,731.0869659459955,-1307.6069509360746,33,68,HARD,39
0.7,298.5250016,100.0,False,8,10811.7000448,12,56.99023297924902,0.013269944822320842,635.0,-1334.0,33,68,HARD,39
0.8,298.5250016,100.0,False,8,10811.7000448,12,56.99023297924902,0.013269944822320842,635.0,-1334.0,33,68,HARD,39
0.9,300.0,100.0,False,8,10853.0,12,66.85472222222222,0.015566851171208639,544.005959145506,-1358.21552434832,33,68,HARD,39
1.0,301.6666666666667,100.0,False,8,10923.416666666666,12,75.2738826287737,0.01752721855707081,466.0,-1379.0,33,68,HARD,39
1.1,304.0,100.0,False,8,11022.0,12,87.12138888888887,0.020285862383129103,352.40346463447577,-1410.1188789515259,33,68,HARD,39
1.2,304.6666666666667,100.0,False,8,11034.0,12,93.90209221015549,0.021864721675781906,287.0,-1428.0,33,68,HARD,39
1.3,306.0,100.0,False,8,11058.0,12,107.52138888888888,0.025035919721443783,157.08152181284447,-1462.855556401343,33,68,HARD,39
1.4,306.6833365333333,100.0,False,8,11080.5501056,12,111.03549871669016,0.02585416595552179,123.0,-1472.0,33,68,HARD,39
1.5,306.6833365333333,100.0,False,8,11080.5501056,12,111.03549871669016,0.02585416595552179,123.0,-1472.0,33,68,HARD,39
1.6,310.0,100.0,False,8,11202.3374624,12,129.9986197373538,0.03026965184579397,-66.0,-1523.0,33,68,HARD,39
1.7,310.0,100.0,False,8,11202.3374624,12,129.9986197373538,0.03026965184579397,-66.0,-1523.0,33,68,HARD,39
1.8,310.0,100.0,False,8,11331.133358933334,12,148.9406887296998,0.03468023585657613,-249.0,-1572.0,33,68,HARD,39
1.9,310.0,100.0,False,8,11331.133358933334,12,148.9406887296998,0.03468023585657613,-249.0,-1572.0,33,68,HARD,39
2.0,310.0,100.0,False,8,11360.333333333334,12,167.7842009921331,0.03906787133215428,-423.0,-1620.0,33,68,HARD,39
2.1,310.0,100.0,False,8,11363.0,12,169.52138888888888,0.03947236849475311,-439.3170197675331,-1624.4460216116056,33,68,HARD,39
2.2,310.0,100.0,False,8,11363.0,12,169.52138888888888,0.03947236849475311,-439.3170197675331,-1624.4460216116056,33,68,HARD,39
2.3,316.0,100.0,False,8,11400.0,12,190.5880555555555,0.04437765646503885,-644.2691144254742,-1679.4558215716443,33,68,HARD,39
2.4,316.0,100.0,False,8,11400.0,12,190.5880555555555,0.04437765646503885,-644.2691144254742,-1679.4558215716443,33,68,HARD,39
2.5,316.0,100.0,False,8,11404.0,12,211.6547222222222,0.049282944435324605,-856.6374284367377,-1736.3199921012156,33,68,HARD,39
2.6,316.0,100.0,False,8,11404.0,12,211.6547222222222,0.049282944435324605,-856.6374284367377,-1736.3199921012156,33,68,HARD,39
2.7,317.7624992,100.0,False,8,11535.012440533334,12,224.13137269983096,0.052188081943106604,-975.0,-1768.0,33,68,HARD,39
2.8,319.0,100.0,False,8,11627.0,12,232.92138888888886,0.05423480159520167,-1054.6042968770198,-1789.6709898582658,33,68,HARD,39
2.9,319.5041674666667,100.0,False,8,11618.429153066667,12,243.67435430833856,0.056738586021638,-1154.0,-1817.0,33,68,HARD,39
3.0,320.0,100.0,False,8,11610.0,12,254.2547222222222,0.05920218181827585,-1261.727278406151,-1846.663754790558,33,68,HARD,39
