RelativeTime_s,Speed,Throttle,Brake,nGear,RPM,DRS,Distance,RelativeDistance,X,Y,Driver,LapNumber,Compound,TyreLife,Speed_mps,VX,VY,AX_long,AY_lat,Jerk_long,Jerk_lat,TireEnergyProxy
0.0,278.42500160000003,99.0,False,7,11241.6750816,0,0.0218387299258789,5.078517194811712e-06,1231.3670622299924,-1172.653994014531,3,45,HARD,4,77.29755921678324,-623.9634979509424,-168.7243981249776,96.54480362637749,-0.3521793990847293,482.72429963905677,-1.683153876456318,6263.1617157443125
0.1,279.55,99.0,False,7,11299.05,0,7.040039102008995,0.0016371354814609,1167.0,-1190.0,3,45,HARD,4,77.5620372732453,-633.274064681857,-171.27852782509763,144.81723359028317,-0.5204947867303611,482.72455728805744,-1.6098563321741988,15797.719636424095
0.2,279.55,99.0,False,7,11299.05,0,7.040039102008995,0.0016371354814609,1167.0,-1190.0,3,45,HARD,4,77.83598503807306,-651.8951981436862,-176.38678722533655,193.08971508398898,-0.674150665519569,241.36273005185146,-0.6745830050215107,28883.304456166145
0.3,281.70833493333333,99.0,False,7,11406.645909333334,0,22.76804711867842,0.0052946265271346,1016.0,-1231.0,3,45,HARD,4,78.11940251126653,-670.5163316055143,-181.49504662557433,193.08977960065346,-0.6554113877346632,919.437005858892,-0.9787242153498177,42341.73020141589
0.4,281.70833493333333,99.0,False,7,11406.645909333334,0,22.76804711867842,0.0052946265271346,1016.0,-1231.0,3,45,HARD,4,78.4122896928257,-689.1374650673276,-186.60330602583258,376.9771162557674,-0.8698955085895326,429.2245880561262,-3.0480436262176136,69318.29323434367
0.5,283.0,99.0,False,7,11468.0,0,34.974444444444444,0.0081331798182831,898.4880376975099,-1262.6374012669955,3,45,HARD,4,78.71464658275085,-743.2455251443344,-201.36876100264203,278.9346972118787,-1.265020112978186,-2813.3503207620593,2.3786460515915016,90894.82295939402
0.6,284.0833322666667,99.0,False,7,11496.708305066666,0,40.13219043785102,0.0093325948851339,849.0,-1276.0,3,45,HARD,4,79.0686244496247,-742.9169922180438,-201.43600917893764,-185.69294789664454,-0.39416629827123223,-1902.3784969272679,7.332494338545998,105218.72216889748
0.7,287.0,99.0,False,7,11574.0,0,54.10777777777778,0.0125825668777498,714.7453636645367,-1312.548594879621,3,45,HARD,4,79.39634609341303,-707.380542270941,-191.72593703267012,-101.54100217357491,0.20147875473101384,1616.7987990621918,3.822085534573395,112675.45397628259
0.8,287.3750016,99.0,False,7,11593.3125824,0,57.71149914030808,0.0134205991702428,680.0,-1322.0,3,45,HARD,4,79.70350955710983,-723.3265279990576,-196.08452897914958,137.6668119157938,0.37025080864344684,802.0862210820511,21.12413889184957,123020.41238622888
0.9,287.3750016,99.0,False,7,11593.3125824,0,57.71149914030808,0.0134205991702428,680.0,-1322.0,3,45,HARD,4,80.02323997030157,-733.9741418199543,-198.85839737784636,58.87624204283533,4.426306533100927,90.03843382666176,33.67184130665972,127834.16520741495
