Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Avg_Speed_mps,Avg_Throttle,Brake_Aggression,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Max_Lateral_g,Max_Longitudinal_g,Energy_Index
3,40,74.443,HARD,10,56.9247087914818,62.87418943601623,0.3678459912869928,1658.6160122680221,292.94460243935316,66.61676364653586,145.6036026544354,18257290.75980797
4,53,73.761,HARD,52,57.40224771551762,64.2860987905414,0.39863493527519783,1662.045662424809,268.73777589079623,59.00803122811406,117.71080788692046,18873131.75014988
5,69,73.634,MEDIUM,16,57.548820091710766,64.691308951771,0.41067207657760424,1761.4868423292787,279.7634222367476,79.40880169743427,128.12789300009894,18596332.246487714
6,57,74.616,HARD,18,56.78245820902842,62.31554253413174,0.3816759619623962,1648.0756823498655,289.027569086993,56.82410511113252,121.59240285603639,17720523.579540342
7,54,72.621,MEDIUM,2,58.23790175965189,68.1263065796573,0.4008934663592893,1774.5150404612452,300.9317389188572,61.490457844516285,124.06934958058761,19245635.51243509
9,36,74.954,HARD,2,56.61449682346702,60.05528755978135,0.3962081061429546,1684.5333302202405,283.39334653576213,51.83653528750201,112.73927479258278,18397147.05932271
10,53,73.227,HARD,2,57.978679372624974,64.8861152773851,0.39335424076320286,1620.350310575926,290.6408119614173,63.627157766930594,105.92818668049776,18281544.412473515
11,71,71.01,SOFT,5,59.72906201606697,68.49181656266572,0.38564914491053454,1666.441176378823,314.87295952314133,59.072053148294586,107.64282185123825,18444482.60158299
14,37,73.922,HARD,3,57.303057785263,65.83015814786182,0.38866985702842793,1643.1487935972866,278.772578007719,57.145121590006625,137.95668088709456,17713732.733340364
16,61,72.822,HARD,9,58.1618005792381,67.28576703058926,0.3875979114660988,1736.4547188417007,283.90405869624146,57.20952640434779,149.46505860526216,19565834.056108885
18,25,75.344,HARD,5,56.21743365427904,61.78400205251041,0.39745137954172804,1610.3500920433114,266.47135050908304,61.22436811676606,108.14727824425442,17616920.376695514
22,62,74.204,HARD,23,57.04289902359482,64.97905871031267,0.37070577859680215,1730.0535929533717,281.82330392466554,56.02868035162066,121.98267991975628,18792102.130278144
31,48,74.43,HARD,18,56.86718072241388,65.81909636311394,0.3751163491295498,1727.065945851074,285.37288943127317,62.76125951388802,136.142580191757,18526129.553981192
33,47,72.486,HARD,7,58.47395637082767,67.24750876771131,0.3960752395082221,1812.7176569085927,299.4841870174575,64.30362811714731,116.75769275274583,18625999.757734045
44,46,71.982,HARD,3,58.86594929615136,69.11922708350285,0.3778359514146646,1761.852020595154,302.88957740017526,85.5466269365181,112.07078947722552,19112557.794211388
47,66,73.793,MEDIUM,5,57.46256458135362,61.25691462221811,0.3741391052611846,1690.1730538660627,294.0431260050096,63.43703614596887,111.17460084715354,17787937.007101916
55,63,72.71,HARD,10,58.33163267220376,67.06449057258219,0.3820985338479502,1644.583324973454,276.5105741009531,58.39763706210154,110.26568520421715,18217693.980934594
63,45,74.355,HARD,4,56.93745917255221,62.98413588562528,0.4148155671278706,1735.1329814242963,274.5267913749137,61.437414684805425,207.84694336561842,19320928.648569133
77,49,72.526,HARD,8,58.361199112340714,68.39871743075228,0.3825116854589957,1685.265962383089,300.84842899553973,82.13673726429039,120.46746724717467,18674211.390442465
99,44,74.227,MEDIUM,2,57.13357540003046,64.20038538013846,0.4094587129646447,1603.3391713765398,268.09724148250666,52.394595586417985,127.96173279982253,17968789.512563977
