RelativeTime_s,Speed,Throttle,Brake,nGear,RPM,DRS,Distance,RelativeDistance,X,Y,Driver,LapNumber,Compound,TyreLife
0.0,310.6249994666667,100.0,False,8,11201.8749984,0,0.032225969193522275,7.580312838203563e-06,-4206.870885827339,-2042.8562011398153,44,46,HARD,3
0.1,311.0,100.0,False,8,11203.0,0,7.816666666666661,0.0018386655287065082,-4187.732591497861,-2117.656200111129,44,46,HARD,3
0.2,311.0,100.0,False,8,11203.0,0,7.816666666666661,0.0018386655287065082,-4187.732591497861,-2117.656200111129,44,46,HARD,3
0.3,311.5583328,100.0,False,8,11218.0749856,0,19.427695225784646,0.004569855033756878,-4159.0,-2229.0,44,46,HARD,3
0.4,312.0,100.0,False,8,11230.0,0,28.616666666666667,0.006731319217034279,-4136.328050312097,-2317.946536475539,44,46,HARD,3
0.5,312.0,100.0,False,8,11255.280326651979,0,38.492205721021676,0.009054280398693652,-4112.0,-2414.0,44,46,HARD,3
0.6,312.0,100.0,False,8,11283.0,0,49.33,0.011603586848327348,-4085.3673038539678,-2519.140978317067,44,46,HARD,3
0.7,312.3958336,100.0,False,8,11277.8541632,0,57.58667754694205,0.013545753379739806,-4065.0,-2599.0,44,46,HARD,3
0.8,312.3958336,100.0,False,8,11277.8541632,0,57.58667754694205,0.013545753379739806,-4065.0,-2599.0,44,46,HARD,3
0.9,312.6874997333333,100.0,False,8,11264.3749952,0,76.70614891747924,0.01804310684704442,-4017.0,-2784.0,44,46,HARD,3
1.0,312.6874997333333,100.0,False,8,11264.3749952,0,76.70614891747924,0.01804310684704442,-4017.0,-2784.0,44,46,HARD,3
1.1,312.0,100.0,False,8,11252.0,0,90.99666666666667,0.02140457580731727,-3980.27369479221,-2922.8189889156297,44,46,HARD,3
1.2,311.7708330666667,100.0,False,8,11249.479163733333,0,95.75193520795898,0.02252312783460298,-3968.0,-2969.0,44,46,HARD,3
1.3,311.0,100.0,False,8,11241.0,0,111.73,0.02628154791331066,-3926.79486696297,-3123.797818910498,44,46,HARD,3
1.4,311.0,100.0,False,8,11228.1666432,0,114.7539235722181,0.02699284651036999,-3919.0,-3153.0,44,46,HARD,3
1.5,311.0,100.0,False,8,11228.1666432,0,114.7539235722181,0.02699284651036999,-3919.0,-3153.0,44,46,HARD,3
1.6,310.9374997333333,100.0,False,8,11153.5625024,0,133.7573340140355,0.03146289969253174,-3870.0,-3336.0,44,46,HARD,3
1.7,310.9374997333333,100.0,False,8,11153.5625024,0,133.7573340140355,0.03146289969253174,-3870.0,-3336.0,44,46,HARD,3
1.8,310.0,100.0,False,8,11162.0,0,153.13,0.03601981054296304,-3819.8748973775746,-3523.209275341913,44,46,HARD,3
1.9,310.0,100.0,False,8,11162.0,0,153.13,0.03601981054296304,-3819.8748973775746,-3523.209275341913,44,46,HARD,3
2.0,309.2321426285714,100.0,False,8,11106.714269257143,0,171.5840088027096,0.04036063141955008,-3772.0,-3702.0,44,46,HARD,3
2.1,309.0,100.0,False,8,11090.0,0,177.16333333333333,0.04167302097450843,-3758.7185012700934,-3750.8667174798306,44,46,HARD,3
2.2,309.0,100.0,False,8,11090.0,0,177.16333333333333,0.04167302097450843,-3758.7185012700934,-3750.8667174798306,44,46,HARD,3
2.3,309.0,100.0,False,8,11129.0,0,197.76333333333335,0.046518629915833054,-3709.8406692823787,-3929.8040941840513,44,46,HARD,3
2.4,309.0,100.0,False,8,11129.0,0,197.76333333333335,0.046518629915833054,-3709.8406692823787,-3929.8040941840513,44,46,HARD,3
2.5,308.4374997333333,95.49999786666666,False,8,11110.999991466666,0,209.29412731549664,0.049230946344014724,-3680.0,-4039.0,44,46,HARD,3
2.6,308.0,92.0,False,8,11097.0,0,218.29666666666665,0.05134855727482328,-3657.334881586056,-4119.746364636357,44,46,HARD,3
2.7,306.5624992,80.02082666666666,False,8,11076.8749888,0,228.24715640084156,0.053689148635331856,-3636.0,-4195.0,44,46,HARD,3
2.8,305.0,67.0,True,8,11055.0,0,238.63,0.056131439886810366,-3620.5539630246253,-4250.311337459022,44,46,HARD,3
2.9,288.1583104,40.758297600000006,True,8,10591.2660352,0,245.73993657560328,0.05780386572384892,-3608.0,-4295.0,44,46,HARD,3
3.0,288.1583104,40.758297600000006,True,8,10591.2660352,0,245.73993657560328,0.05780386572384892,-3608.0,-4295.0,44,46,HARD,3
3.1,257.99165973333334,0.0,True,8,9481.882660266667,0,261.3500406923539,0.06147573271817586,-3563.0,-4451.0,44,46,HARD,3
3.2,257.99165973333334,0.0,True,8,9481.882660266667,0,261.3500406923539,0.06147573271817586,-3563.0,-4451.0,44,46,HARD,3
3.3,249.0,0.0,True,8,8609.0,0,272.69666666666666,0.06414472845968053,-3529.4227978545423,-4560.969991895006,44,46,HARD,3
3.4,239.32497706666666,0.0,True,8,8606.749994666667,0,276.02859742804026,0.06492847765818471,-3519.0,-4594.0,44,46,HARD,3
3.5,206.0,0.0,True,8,8599.0,0,286.42999999999995,0.06737513442056359,-3484.3598186665877,-4699.669772029488,44,46,HARD,3
3.6,203.4499904,0.0,True,8,8590.3583008,0,288.2579535408629,0.06780511247988065,-3478.0,-4718.0,44,46,HARD,3
3.7,203.4499904,0.0,True,8,8590.3583008,0,288.2579535408629,0.06780511247988065,-3478.0,-4718.0,44,46,HARD,3
3.8,187.124992,0.0,True,7,8553.633476266667,0,299.66594379076537,0.07048854255548605,-3436.0,-4830.0,44,46,HARD,3
3.9,187.124992,0.0,True,7,8553.633476266667,0,299.66594379076537,0.07048854255548605,-3436.0,-4830.0,44,46,HARD,3
4.0,173.0,0.0,True,7,8806.0,0,310.4966666666666,0.07303618564327617,-3392.8593061146557,-4930.535877952161,44,46,HARD,3
4.1,173.0,0.0,True,7,8806.0,0,310.4966666666666,0.07303618564327617,-3392.8593061146557,-4930.535877952161,44,46,HARD,3
4.2,156.0583232,0.0,True,7,9166.2335488,0,319.68741078356527,0.07519806680202717,-3352.0,-5017.0,44,46,HARD,3
4.3,154.0,0.0,True,6,9210.0,0,320.76333333333326,0.07545114932277128,-3346.916803939742,-5026.934689902974,44,46,HARD,3
4.4,154.0,0.0,True,6,9210.0,0,320.76333333333326,0.07545114932277128,-3346.916803939742,-5026.934689902974,44,46,HARD,3
4.5,145.0,0.0,True,4,8731.0,0,330.42999999999995,0.07772497876125695,-3298.5608453152863,-5112.537222747829,44,46,HARD,3
4.6,145.0,0.0,True,4,8731.0,0,330.42999999999995,0.07772497876125695,-3298.5608453152863,-5112.537222747829,44,46,HARD,3
4.7,138.0,0.0,True,4,8180.0,0,338.135,0.07953737763955337,-3256.16374821785,-5176.250647351738,44,46,HARD,3
4.8,138.0,0.0,True,4,8180.0,0,338.135,0.07953737763955337,-3256.16374821785,-5176.250647351738,44,46,HARD,3
4.9,129.0,0.0,True,4,7764.0,0,346.73499999999996,0.08156030176068889,-3202.05032067815,-5244.387335976044,44,46,HARD,3
5.0,129.0,0.0,True,4,7764.0,0,346.73499999999996,0.08156030176068889,-3202.05032067815,-5244.387335976044,44,46,HARD,3
5.1,126.11666773333333,0.0,True,4,7504.500096,0,352.76462741609373,0.08297861324225587,-3160.0,-5286.0,44,46,HARD,3
5.2,125.0,0.0,True,4,7404.0,0,355.06833333333327,0.08352049955248687,-3142.8058606323098,-5300.684229214679,44,46,HARD,3
5.3,122.45000106666667,0.0,True,4,7178.962594133333,0,360.25507137056303,0.08474054344615237,-3102.0,-5331.0,44,46,HARD,3
5.4,121.0,0.0,False,4,7051.0,0,363.13499999999993,0.08541797101494732,-3078.2668857116005,-5345.931687247585,44,46,HARD,3
5.5,121.0,0.0,False,4,7051.0,0,363.13499999999993,0.08541797101494732,-3078.2668857116005,-5345.931687247585,44,46,HARD,3
5.6,117.6750016,0.0,False,4,7472.7206304,0,367.4184429017402,0.08642553845302138,-3041.0,-5365.0,44,46,HARD,3
5.7,115.0,0.0,False,4,7812.0,0,370.8016666666666,0.08722135298340146,-3009.7981304092677,-5376.451337541832,44,46,HARD,3
5.8,113.5875008,2.3541653333333334,False,4,7730.5458794666665,0,374.34732862931594,0.08805537683335915,-2976.0,-5385.0,44,46,HARD,3
5.9,112.0,5.0,False,3,7639.0,0,378.26833333333326,0.08897769020485245,-2937.427036227928,-5390.569460758549,44,46,HARD,3
6.0,110.45000106666667,14.299993599999999,False,3,7687.049966933333,0,381.0738976799024,0.08963762552927951,-2909.0,-5392.0,44,46,HARD,3
6.1,108.0,29.0,False,3,7763.0,0,385.46833333333325,0.0906713010969659,-2864.0747302293944,-5389.82052759703,44,46,HARD,3
6.2,108.6083328,32.954163199999996,False,3,7873.1082368,0,387.6788433246906,0.09119126551342263,-2842.0,-5387.0,44,46,HARD,3
6.3,108.6083328,32.954163199999996,False,3,7873.1082368,0,387.6788433246906,0.09119126551342263,-2842.0,-5387.0,44,46,HARD,3
6.4,110.6624992,44.87082986666667,False,3,8220.841550933334,0,394.44232365672235,0.09278219661882875,-2777.0,-5372.0,44,46,HARD,3
6.5,110.6624992,44.87082986666667,False,3,8220.841550933334,0,394.44232365672235,0.09278219661882875,-2777.0,-5372.0,44,46,HARD,3
6.6,113.0,55.0,False,3,8559.0,0,400.3349999999999,0.09416829395753351,-2723.3949896171443,-5350.580693322534,44,46,HARD,3
6.7,113.96249813333333,56.37499733333333,False,3,8602.7249152,0,401.4056281766658,0.09442013111606197,-2714.0,-5346.0,44,46,HARD,3
6.8,113.96249813333333,56.37499733333333,False,3,8602.7249152,0,401.4056281766658,0.09442013111606197,-2714.0,-5346.0,44,46,HARD,3
6.9,120.0,65.0,False,3,8877.0,0,408.3349999999999,0.09605008383765958,-2655.3098974868335,-5311.876812750467,44,46,HARD,3
7.0,120.0,65.0,False,3,8877.0,0,408.3349999999999,0.09605008383765958,-2655.3098974868335,-5311.876812750467,44,46,HARD,3
7.1,128.0,83.0,False,3,9684.0,0,416.8683333333333,0.09805732637646072,-2587.5154328473964,-5261.039656340152,44,46,HARD,3
7.2,128.0,83.0,False,3,9684.0,0,416.8683333333333,0.09805732637646072,-2587.5154328473964,-5261.039656340152,44,46,HARD,3
7.3,139.8207888659192,84.39068104304933,False,3,10281.297507989682,0,424.5874649859259,0.09987304935486194,-2530.0,-5214.0,44,46,HARD,3
7.4,145.0,85.0,False,3,10543.0,0,428.1058333333333,0.10070065309870031,-2503.665180129969,-5192.601136697003,44,46,HARD,3
7.5,148.93750186666668,73.74999466666667,False,3,10060.3747712,0,433.77515410159,0.10203421190481206,-2460.0,-5158.0,44,46,HARD,3
7.6,152.0,65.0,False,4,9685.0,0,438.2391666666666,0.10308425361352666,-2424.0473737391394,-5130.799983840212,44,46,HARD,3
7.7,153.4375008,59.2499968,False,4,9675.895828266666,0,443.17132428781866,0.10424441415086047,-2385.0,-5102.0,44,46,HARD,3
7.8,153.4375008,59.2499968,False,4,9675.895828266666,0,443.17132428781866,0.10424441415086047,-2385.0,-5102.0,44,46,HARD,3
7.9,155.0,53.0,False,4,9666.0,0,448.5725,0.10551489887535616,-2345.736829161291,-5073.4414683329815,44,46,HARD,3
8.0,155.7916672,54.1875008,False,4,9762.979232,0,452.69719465235505,0.10648512495728266,-2306.0,-5050.0,44,46,HARD,3
8.1,157.0,56.0,False,4,9911.0,0,459.03916666666663,0.10797690730185443,-2214.9135055801103,-5007.669634780392,44,46,HARD,3
8.2,157.9375008,59.437502933333334,False,4,9997.2500736,0,462.3502327730948,0.10875574863829256,-2170.0,-4992.0,44,46,HARD,3
8.3,160.0,67.0,False,4,10187.0,0,469.7058333333333,0.11048596047535585,-2099.257676197833,-4985.151690976449,44,46,HARD,3
8.4,160.7857152,69.1607168,False,4,10261.642944,0,472.17791014426166,0.11106745161606826,-2077.0,-4987.0,44,46,HARD,3
8.5,160.7857152,69.1607168,False,4,10261.642944,0,472.17791014426166,0.11106745161606826,-2077.0,-4987.0,44,46,HARD,3
8.6,164.0,78.0,False,4,10567.0,0,482.4613888888889,0.11348636989533464,-1974.6728096038237,-5004.62286641767,44,46,HARD,3
8.7,164.0,78.0,False,4,10567.0,0,482.4613888888889,0.11348636989533464,-1974.6728096038237,-5004.62286641767,44,46,HARD,3
8.8,171.1666688,86.958336,False,4,10845.604249600001,0,492.71665209976044,0.11589865121136554,-1875.0,-5040.0,44,46,HARD,3
8.9,172.0,88.0,False,4,10878.0,0,493.9280555555555,0.11618360205684865,-1863.440477902919,-5044.566787695559,44,46,HARD,3
9.0,172.0,88.0,False,4,10878.0,0,493.9280555555555,0.11618360205684865,-1863.440477902919,-5044.566787695559,44,46,HARD,3
9.1,178.0,87.0,False,4,11266.0,0,505.79472222222216,0.11897492371236898,-1751.8410566578373,-5089.313299094578,44,46,HARD,3
9.2,178.0,87.0,False,4,11266.0,0,505.79472222222216,0.11897492371236898,-1751.8410566578373,-5089.313299094578,44,46,HARD,3
9.3,190.0,100.0,False,4,12056.0,0,518.4613888888888,0.12195442435590191,-1635.9904606877194,-5132.497749717406,44,46,HARD,3
9.4,190.0,100.0,False,4,12056.0,0,518.4613888888888,0.12195442435590191,-1635.9904606877194,-5132.497749717406,44,46,HARD,3
9.5,195.1333376,100.0,False,4,11370.6994304,0,526.8780051259791,0.12393421226338455,-1558.0,-5159.0,44,46,HARD,3
9.6,198.0,100.0,False,4,10988.0,0,531.6613888888888,0.12505937765810993,-1512.9406272969422,-5173.19800502271,44,46,HARD,3
9.7,201.90833706666666,100.0,False,4,11180.625184,0,539.2312413911062,0.1268399866371999,-1441.0,-5194.0,44,46,HARD,3
9.8,205.0,100.0,False,5,11333.0,0,545.3280555555555,0.12827410203665862,-1383.1315776967222,-5208.785206856151,44,46,HARD,3
9.9,208.32500373333335,100.0,False,5,11627.9753312,0,551.9987449387937,0.1298432065085139,-1319.0,-5223.0,44,46,HARD,3
10.0,208.32500373333335,100.0,False,5,11627.9753312,0,551.9987449387937,0.1298432065085139,-1319.0,-5223.0,44,46,HARD,3
10.1,212.0,100.0,False,5,11954.0,0,559.4613888888888,0.13159859749154798,-1244.67705578651,-5236.638611789113,44,46,HARD,3
10.2,213.5666688,100.0,False,5,11974.3666944,0,565.0546632789107,0.13291426838453688,-1191.0,-5245.0,44,46,HARD,3
10.3,216.0,100.0,False,5,12006.0,0,573.8613888888888,0.1349858192757749,-1113.8628406844964,-5254.12152070851,44,46,HARD,3
10.4,218.7750048,100.0,False,5,12006.0,0,578.4290655457995,0.13606024523935775,-1061.0,-5255.0,44,46,HARD,3
