Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Avg_Speed_mps,Avg_Throttle,Brake_Aggression,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Max_Lateral_g,Max_Longitudinal_g,Energy_Index
3,34,93.255,INTERMEDIATE,13,56.511960849025094,65.20823992570861,0.35836316955863323,1635.5510866932223,263.43200978052806,99.5660157623837,124.91369654060527,21430315.892920975
4,50,92.446,INTERMEDIATE,16,56.948114659469326,66.19358142334588,0.3944241062237139,1689.0835051567478,261.02169115241423,86.06493830321729,119.19798643003517,22157918.868002534
5,54,92.73,INTERMEDIATE,17,56.81697031671024,67.16299071899978,0.3913836303135923,1695.4504949356758,261.9634767481683,84.9440582113077,109.33141750750737,22102931.254398745
6,48,93.672,INTERMEDIATE,14,56.22261614771762,64.01288625688879,0.39827868512787834,1611.1787989974264,253.73949948956016,73.45735639287699,97.17353474715956,20696554.351308696
7,50,92.586,INTERMEDIATE,13,56.97718171209273,64.26041964936732,0.45373677938859824,1721.0881640050964,263.26120161527547,70.46031808845056,113.45394524466965,21638149.46711542
9,52,95.438,INTERMEDIATE,17,55.246735266052625,58.053986655444994,0.4192587881526731,1607.9869635040882,250.61610958744188,85.59806275795012,106.6601449178055,20539943.099570338
10,50,92.814,INTERMEDIATE,11,56.744978460188925,67.27553876343543,0.35689387992480753,1687.8906462211016,256.7314225660006,73.39945057263486,108.43264471682879,21796953.521255672
11,53,92.459,INTERMEDIATE,16,56.896126729288135,63.802051109580916,0.39187071026379805,1632.7725791721941,267.07920816961916,75.43787984932932,138.81157813629753,21662043.430984307
14,55,93.252,INTERMEDIATE,25,56.61921801528239,65.23864075076699,0.37807051608865305,1755.6049753759676,265.2341449023656,71.82754320743058,175.580611161785,22575121.701549873
16,57,92.737,INTERMEDIATE,10,56.61016339841087,64.37054024320156,0.402938964575385,1771.08933369239,264.8733602689788,69.25310835417801,126.66728274690801,22823403.735649545
18,58,92.608,INTERMEDIATE,19,56.92076245250504,64.03480243133184,0.35826635365503745,1687.2795583588797,260.8878098905807,75.2526806860697,105.62921378985962,21293604.032127433
22,54,92.844,INTERMEDIATE,19,56.661804782265484,65.42023073441386,0.3681565344815227,1645.3139179511836,256.6686979384506,67.18861022143516,121.61676236677965,20883934.978483703
31,24,94.584,INTERMEDIATE,24,55.70994148348086,63.51192297664332,0.38676870476472097,1712.4204765431111,256.4831616372898,73.44836199623573,112.75897875689175,21018562.427403457
33,53,92.759,INTERMEDIATE,17,56.726569568318986,61.045822278152215,0.38255191991644727,1684.6588697304442,256.8918692992562,67.86218059173164,117.85742089422041,22012851.874256868
44,52,92.763,INTERMEDIATE,2,56.55348591768289,66.48053177724009,0.39727501483730276,1697.8344888429215,268.07119095517174,77.0768291461013,114.33480147020012,22457937.45940463
47,52,94.209,INTERMEDIATE,13,56.06161832540168,59.91542236396797,0.3819511293093558,1635.5936134685699,255.2391652171727,80.16896356209469,126.33655377029669,21035759.11038329
55,49,91.921,INTERMEDIATE,13,57.38255514902692,67.43340333818819,0.3865555310647791,1739.657108967894,272.82646217067855,74.87653676729063,106.79467533656634,22427558.054158267
63,53,93.399,INTERMEDIATE,18,56.35168389140089,64.93562312053001,0.41118357300160074,1755.476401618101,271.8577782430007,98.92928294387877,124.93758417548952,22626004.651657667
77,58,90.432,INTERMEDIATE,21,58.21626076344639,67.46513768453829,0.3925615013503536,1800.4672263965867,272.7086139173581,72.18102547981366,139.63584942971073,23061447.79393748
99,57,92.904,INTERMEDIATE,17,56.80568546072911,64.11564388742102,0.4041937293017505,1735.4274599832024,260.82116979283325,78.7766237034926,152.1465569145636,21891840.02020434
