Driver,LapNumber,Compound,TyreLife,LapTimeSeconds
77,58,INTERMEDIATE,21,90.432
33,53,INTERMEDIATE,17,92.759
11,53,INTERMEDIATE,16,92.459
16,57,INTERMEDIATE,10,92.737
44,52,INTERMEDIATE,2,92.763
10,50,INTERMEDIATE,11,92.814
4,50,INTERMEDIATE,16,92.446
55,49,INTERMEDIATE,13,91.921
18,58,INTERMEDIATE,19,92.608
31,24,INTERMEDIATE,24,94.584
99,57,INTERMEDIATE,17,92.904
7,50,INTERMEDIATE,13,92.586
3,34,INTERMEDIATE,13,93.255
22,54,INTERMEDIATE,19,92.844
63,53,INTERMEDIATE,18,93.399
14,55,INTERMEDIATE,25,93.252
6,48,INTERMEDIATE,14,93.672
5,54,INTERMEDIATE,17,92.73
47,52,INTERMEDIATE,13,94.209
9,52,INTERMEDIATE,17,95.438
