RelativeTime_s,Speed,Throttle,Brake,nGear,RPM,DRS,Distance,RelativeDistance,X,Y,Driver,LapNumber,Compound,TyreLife
0.0,247.43333546666668,100.0,False,6,11513.9501056,1,0.053301283089989715,1.010951016176565e-05,435.34273675176445,-1435.292096541434,77,58,INTERMEDIATE,21
0.1,248.93333333333334,100.0,False,6,11588.2,1,6.309470032718708,0.0011967001113919887,493.0,-1422.0,77,58,INTERMEDIATE,21
0.2,250.0,100.0,False,6,11641.0,1,10.79,0.0020465101086082336,532.3109736311683,-1413.0535602509253,77,58,INTERMEDIATE,21
0.3,250.0,100.0,False,6,11641.0,1,10.79,0.0020465101086082336,532.3109736311683,-1413.0535602509253,77,58,INTERMEDIATE,21
0.4,255.0,100.0,False,6,11797.0,1,27.79,0.005270854116610085,691.4167783905391,-1376.9815565798513,77,58,INTERMEDIATE,21
0.5,255.0,100.0,False,6,11797.0,1,27.79,0.005270854116610085,691.4167783905391,-1376.9815565798513,77,58,INTERMEDIATE,21
0.6,256.1333333333333,100.0,False,6,11879.733333333334,1,37.480794562331205,0.00710888090365888,796.0,-1353.0,77,58,INTERMEDIATE,21
0.7,257.0,100.0,False,6,11943.0,1,44.92333333333333,0.008520487097223714,869.558689403626,-1336.1741115663845,77,58,INTERMEDIATE,21
0.8,258.45,100.0,False,6,11181.75,1,53.26848519953103,0.010103289474614302,949.0,-1318.0,77,58,INTERMEDIATE,21
0.9,260.0,100.0,False,7,10368.0,1,62.25666666666666,0.011808053536755013,1036.477614536643,-1297.9128734451754,77,58,INTERMEDIATE,21
1.0,261.6,100.0,False,7,10484.4,1,69.27553089007537,0.013139302525091864,1105.0,-1282.0,77,58,INTERMEDIATE,21
1.1,261.6,100.0,False,7,10484.4,1,69.27553089007537,0.013139302525091864,1105.0,-1282.0,77,58,INTERMEDIATE,21
1.2,264.31666666666666,100.0,False,7,10705.866666666667,1,85.43665737656806,0.016204539663284966,1262.0,-1245.0,77,58,INTERMEDIATE,21
