RelativeTime_s,Speed,Throttle,Brake,nGear,RPM,DRS,Distance,RelativeDistance,X,Y,Driver,LapNumber,Compound,TyreLife
0.0,320.0,100.0,False,8,11371.96000512,0,0.0011128620153353364,1.8778634864734679e-07,1048.5355809961866,-597.8456016546834,1,50,HARD,17
0.1,320.0,100.0,False,8,11373.0,0,1.1555555555555515,0.00019499053381892784,1059.2516894535524,-593.4226173241292,1,50,HARD,17
0.2,319.60227258181817,100.0,False,8,11346.7499904,0,16.68136764445641,0.0028148441381155025,1203.0,-534.0,1,50,HARD,17
0.3,319.60227258181817,100.0,False,8,11346.7499904,0,16.68136764445641,0.0028148441381155025,1203.0,-534.0,1,50,HARD,17
0.4,319.14772712727273,100.0,False,8,11316.7499904,0,34.393844112483926,0.005803679443481181,1367.0,-466.0,1,50,HARD,17
0.5,319.0,100.0,False,8,11307.0,0,40.14444444444444,0.006774046141228738,1421.2450855337559,-443.46646895285306,1,50,HARD,17
0.6,319.0,100.0,False,8,11307.0,0,40.14444444444444,0.006774046141228738,1421.2450855337559,-443.46646895285306,1,50,HARD,17
0.7,318.44642834285713,100.0,False,8,11264.3749824,0,53.84573919819648,0.009086027391459639,1547.0,-391.0,1,50,HARD,17
0.8,318.0,100.0,False,8,11230.0,0,64.87777777777777,0.010947593528545418,1634.287912294986,-354.06341482841634,1,50,HARD,17
0.9,317.22499968,100.0,False,8,11249.375008,0,78.5305397923611,0.013251385276616335,1774.0,-295.0,1,50,HARD,17
1.0,317.0,100.0,False,8,11255.0,0,82.48888888888888,0.01391932426030505,1833.5127644064528,-270.0531195080274,1,50,HARD,17
1.1,316.5188283129497,100.0,False,8,11233.828445769788,0,92.59402154940435,0.015624482616657455,2001.0,-200.0,1,50,HARD,17
1.2,316.0,100.0,False,8,11211.0,0,103.46777777777775,0.017459339903608116,2139.751907317699,-141.84639730177753,1,50,HARD,17
1.3,316.0,100.0,False,8,11211.0,0,103.46777777777775,0.017459339903608116,2139.751907317699,-141.84639730177753,1,50,HARD,17
1.4,316.0,100.0,False,8,11211.0,0,103.46777777777775,0.017459339903608116,2139.751907317699,-141.84639730177753,1,50,HARD,17
1.5,314.0,9.0,False,8,10923.0,0,131.37888888888887,0.02216911125892685,2353.6770758908892,-52.978860165423235,1,50,HARD,17
1.6,314.0,9.0,False,8,10923.0,0,131.37888888888887,0.02216911125892685,2353.6770758908892,-52.978860165423235,1,50,HARD,17
1.7,311.0,0.0,True,8,10967.0,0,145.2011111111111,0.02450149802883788,2425.7956579370048,-24.481134948076054,1,50,HARD,17
1.8,311.0,0.0,True,8,10967.0,0,145.2011111111111,0.02450149802883788,2425.7956579370048,-24.481134948076054,1,50,HARD,17
1.9,296.3000064,0.0,True,8,10415.700231314286,0,164.88074191939293,0.027822274514414495,2574.0,38.0,1,50,HARD,17
2.0,296.3000064,0.0,True,8,10415.700231314286,0,164.88074191939293,0.027822274514414495,2574.0,38.0,1,50,HARD,17
2.1,276.0,0.0,True,8,9682.0,0,180.17888888888888,0.030403711494818526,2774.925878703745,126.97210788673603,1,50,HARD,17
2.2,274.54804784012475,0.0,True,8,9658.95025946198,0,181.42209539830338,0.030613492409074395,2791.0,134.0,1,50,HARD,17
2.3,274.54804784012475,0.0,True,8,9658.95025946198,0,181.42209539830338,0.030613492409074395,2791.0,134.0,1,50,HARD,17
2.4,252.0,0.0,True,8,9301.0,0,199.8488888888889,0.033722862860392076,2993.3645148046267,219.01210662494773,1,50,HARD,17
2.5,238.8,0.0,True,8,9443.8,0,205.93197552213292,0.03474933389779086,3046.0,240.0,1,50,HARD,17
2.6,238.8,0.0,True,8,9443.8,0,205.93197552213292,0.03474933389779086,3046.0,240.0,1,50,HARD,17
2.7,219.0,0.0,True,8,9658.0,0,214.4488888888889,0.03618649325883508,3104.645048758427,262.3508649656743,1,50,HARD,17
2.8,219.0,0.0,True,8,9658.0,0,214.4488888888889,0.03618649325883508,3104.645048758427,262.3508649656743,1,50,HARD,17
2.9,193.9875,0.0,True,8,10050.4375,0,229.13826493105614,0.03866520513223533,3194.0,293.0,1,50,HARD,17
3.0,190.0,0.0,True,8,10113.0,0,231.33777777777777,0.03903635490695788,3213.650946495822,299.7621350566137,1,50,HARD,17
3.1,190.0,0.0,True,8,10113.0,0,231.33777777777777,0.03903635490695788,3213.650946495822,299.7621350566137,1,50,HARD,17
3.2,172.0,0.0,True,6,10063.0,0,240.89333333333335,0.0406487766289221,3312.8311871455426,334.67393331438006,1,50,HARD,17
