Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Avg_Speed_mps,Avg_Throttle,Brake_Aggression,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Max_Lateral_g,Max_Longitudinal_g,Energy_Index
1,51,95.44,SOFT,11,56.0828130426585,66.50075138682185,0.40099320205186034,3766.9027293634003,353.7247790574136,76.67441280420773,344.0631117142572,35455635.99878505
3,50,97.261,SOFT,6,54.92698804674698,64.53965304952534,0.3868156287968294,3295.197977794411,345.5061110894025,117.69733589663895,339.4068856961879,32599889.695949733
4,51,96.988,SOFT,9,55.21286565537148,64.9551855009267,0.4120678083936822,3851.9477092308002,354.7763079916576,209.51278989529808,621.785138258071,38274441.358303964
6,51,98.251,SOFT,9,54.33718694880128,61.0506964571121,0.42484592613160466,3772.640469468337,337.0010126645886,220.13527430036467,582.1873829645758,35926935.53648026
10,34,97.324,HARD,2,55.04523102536513,65.1060875855856,0.4026498644137517,3949.0562140310826,369.3601018036871,177.06261121411964,769.9718002029931,39305899.234826185
11,52,96.089,SOFT,12,55.50579177029115,66.27356562255893,0.4023781412731085,3268.167909159251,338.8990003560729,72.42322159845484,222.49139069437035,30692487.20654516
14,44,96.733,SOFT,2,55.39466561037505,64.87790463220782,0.41725247335165255,3352.267153012677,311.57904095087974,75.67503814625547,479.5066220808253,33534025.745939884
16,51,94.57,SOFT,8,56.55440398475143,72.6099424814538,0.4092745056731399,3765.7864915052132,386.34486837664235,159.47311349458334,356.6532184312501,36016198.80391755
18,49,97.146,SOFT,4,55.21451237476596,63.16806270200328,0.4096124448311132,3456.962334408792,383.73695223296505,168.1919493445539,424.92426112005853,34127334.92388236
20,53,96.623,SOFT,10,55.38324488071963,63.784809044295784,0.41394210709394585,3035.3322887350205,315.30062217118217,75.32061932751948,205.06716359990486,29136117.63496403
22,53,97.104,SOFT,12,55.04833325934429,63.801643334140365,0.41246852023265707,3250.225835202113,326.12041699017914,65.55641322617589,312.40727335807026,31113888.368472096
23,50,97.355,SOFT,7,54.8178178214222,62.22423486556592,0.41356733708884563,3286.4867533846937,332.2639865651362,189.45219585924275,443.3203663490778,34580987.974490374
24,39,96.685,MEDIUM,2,55.47141151496282,66.63452459045709,0.39190587679601624,3372.595594163909,317.2942607852917,78.38230008215743,258.10014213883176,31214129.823045608
27,49,98.201,SOFT,5,54.339531430187996,63.241758815663225,0.4100783973153554,3457.4964285595524,366.38648819554766,91.1819935487686,379.390368047984,32702635.672386102
31,53,97.11,SOFT,13,55.19152298862847,66.71527506982999,0.4117602184238378,3116.3088545872474,319.165753633612,78.36927938686375,267.01384866919966,30515846.975198295
44,53,96.228,SOFT,12,55.49815554763528,68.3615636121126,0.40359596745480464,3111.280977460861,332.97873243280037,69.17094629679443,267.0986932719823,29819846.96691451
47,37,96.956,SOFT,4,55.36367029840692,64.48649147924426,0.4091970874019486,3469.274459370716,321.42856531398905,59.203987343850244,469.4882991519421,32528167.379804373
55,52,95.74,SOFT,11,55.84016400334778,68.30083139737411,0.40738707390245105,3296.4817964761946,339.684131322509,72.08154628985719,240.6236813858125,31038031.953024793
63,56,96.302,SOFT,13,55.510042391064076,66.63633815471957,0.40719413110347463,3473.2477795087043,355.33398262158255,68.14124059533121,224.89362326918067,32189047.344333462
77,53,96.599,SOFT,10,55.369592760810015,65.57997137625341,0.42677349511158597,3102.428917547555,314.2297222671297,84.78138254582589,240.67322428417663,29919529.192895073
