Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Avg_Speed_mps,Avg_Throttle,Brake_Aggression,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Max_Lateral_g,Max_Longitudinal_g,Energy_Index
1,44,92.354,SOFT,5,62.78366166551686,70.49570449913674,0.3629039633689113,4147.289526504346,474.5916296288423,80.51717289213305,350.951826562352,43709341.92386961
3,34,92.644,SOFT,2,62.819611712496815,68.80736165516034,0.3222883005517473,3469.3289730598885,490.55658635030215,82.20499662753458,267.4294207432762,37878280.93830006
4,47,91.645,SOFT,7,63.177962102595956,69.46108489885957,0.38434256814454215,3964.1745397105956,491.37144509668434,100.96447227664667,221.67412143651882,42217995.60326065
5,52,92.471,MEDIUM,15,62.93441619266633,71.0089601349813,0.35215494318993174,3787.909195901868,513.8951923437231,100.11446200160825,255.6743168631929,39935644.94555555
6,48,93.286,SOFT,10,62.21765171312285,67.79531142258088,0.39312865353655574,3909.6992736778593,496.1058686634116,91.28911877566024,242.98017756070416,39984860.787345186
10,18,94.614,HARD,3,61.560391577122,70.83092662345074,0.3316409048357173,3362.071845416256,472.70494125817413,71.23304829036326,225.50567167911535,36627722.02593703
11,47,90.937,SOFT,8,63.655800423905596,73.77449750216249,0.358876941981132,3746.8637624205476,517.5916904323366,108.9577430414073,246.39506476515115,40564559.31241487
14,47,91.609,SOFT,8,63.23352059942449,71.6398786221136,0.3710824829081217,3910.717645978667,539.9491091951687,104.55261984645612,236.70261239613043,42846759.215643354
16,52,91.282,HARD,27,63.64683414065844,74.63849525806523,0.35945544987046013,3714.4685633286613,470.8663494936724,90.05898819710993,331.62489035154687,41298607.91365482
18,52,92.379,MEDIUM,15,62.8776722437867,72.66753626334399,0.3649466574220506,3739.8253453971397,538.8699834682733,88.59612609252616,248.52605124692946,39783422.6423112
20,52,92.661,MEDIUM,30,62.70252852666354,71.80734195060182,0.33348008540283347,3611.0148306957453,499.4483035203291,83.11411217721471,229.68887516023338,39628516.598521374
22,51,93.832,SOFT,13,61.83927940962637,69.24267108749457,0.34330584419283794,3692.285404724023,479.2652596061598,102.42832156057514,276.84945812880267,40792567.96280803
31,37,93.537,HARD,15,62.09549129449217,72.9781536404147,0.3568427042437742,4043.538593249519,536.8702192856665,82.54744123826222,273.63803916292835,42414325.37571089
44,52,90.51,SOFT,13,64.14505782084596,76.23807618604172,0.34036047814449755,3754.0973698373105,534.3911491336777,87.7116329567798,331.5499932811271,41712517.33182757
47,48,92.109,SOFT,9,62.970058643691694,73.84290734985244,0.33902336736217764,3675.6521118261453,518.606358682211,70.55643812342845,274.7754892988675,39854474.70092088
55,44,90.813,SOFT,5,64.113228489002,76.350323127196,0.36429862971671817,4103.129562392999,523.331754047065,98.1221519965091,243.14312087654523,43419310.00629103
77,19,95.103,MEDIUM,18,60.95439396503334,69.22436247778323,0.41343705897474936,3418.467214005274,485.49317274971685,84.12270192518861,220.57558243142205,37610619.3462292
