RelativeTime_s,Speed,Throttle,Brake,nGear,RPM,DRS,Distance,RelativeDistance,X,Y,Driver,LapNumber,Compound,TyreLife
0.0,253.28000256,100.0,False,6,11596.0,1,0.11318125504473486,1.9411579938057207e-05,-1758.1669873098672,1207.5185580763145,55,44,SOFT,5
0.1,255.0,100.0,False,6,11596.0,1,6.218333333333335,0.0010664988167322837,-1722.1149396566261,1255.4404210448524,55,44,SOFT,5
0.2,255.55000106666665,100.0,False,6,11674.375152,1,10.917345035073605,0.001872420621028797,-1695.0,1291.0,55,44,SOFT,5
0.3,255.55000106666665,100.0,False,6,11674.375152,1,10.917345035073605,0.001872420621028797,-1695.0,1291.0,55,44,SOFT,5
0.4,257.39004171415763,100.0,False,6,11771.788320035861,1,26.717209359616447,0.0045822362104132345,-1598.0,1415.0,55,44,SOFT,5
0.5,257.39004171415763,100.0,False,6,11771.788320035861,1,26.717209359616447,0.0045822362104132345,-1598.0,1415.0,55,44,SOFT,5
0.6,259.0,100.0,False,6,11321.0,1,40.69027777777777,0.0069787402469859965,-1466.0196414764816,1581.0243187160922,55,44,SOFT,5
0.7,261.6499968,100.0,False,6,10954.858775466666,1,48.44981065976613,0.008309568331205107,-1408.0,1654.0,55,44,SOFT,5
0.8,261.6499968,100.0,False,6,10954.858775466666,1,48.44981065976613,0.008309568331205107,-1408.0,1654.0,55,44,SOFT,5
0.9,265.0,100.0,False,7,10492.0,1,58.35694444444445,0.010008728844510041,-1372.7027399315343,1698.7334689790182,55,44,SOFT,5
1.0,266.5749984,100.0,False,7,10621.1498688,1,67.72347497190519,0.0116151711480893,-1345.0,1736.0,55,44,SOFT,5
1.1,268.0,100.0,False,7,10738.0,1,76.22361111111111,0.013073019199741904,-1298.3335493933835,1800.0313049594495,55,44,SOFT,5
1.2,268.6624992,100.0,False,7,10802.9249216,1,84.13720917489776,0.014430270816647295,-1249.0,1868.0,55,44,SOFT,5
1.3,269.0,100.0,False,7,10836.0,1,88.17916666666667,0.015123502049387106,-1225.977997201654,1899.7306500771972,55,44,SOFT,5
1.4,269.0,100.0,False,7,10836.0,1,88.17916666666667,0.015123502049387106,-1225.977997201654,1899.7306500771972,55,44,SOFT,5
1.5,270.7083328,100.0,False,7,10911.736087466667,1,103.61453070563378,0.017770802636370295,-1143.0,2014.0,55,44,SOFT,5
1.6,272.0,100.0,False,7,10969.0,1,115.37916666666666,0.019788541097650537,-1068.162654120056,2116.6192872583074,55,44,SOFT,5
1.7,273.27499904,100.0,False,7,10973.2499968,1,121.8646315067725,0.020900855315489998,-1027.0,2173.0,55,44,SOFT,5
1.8,275.0,100.0,False,7,10979.0,1,130.65694444444443,0.022408814255886738,-974.8345582206948,2244.4429310971977,55,44,SOFT,5
1.9,275.0,100.0,False,7,11008.6562208,1,135.62237351979206,0.02326042898117641,-946.0,2284.0,55,44,SOFT,5
2.0,275.0,100.0,False,7,11052.0,1,142.87916666666666,0.0245050327824757,-903.7025579407448,2342.1751756332815,55,44,SOFT,5
2.1,275.44166613333334,100.0,False,7,11077.616635733333,1,150.98570969146925,0.025895376155899652,-856.0,2408.0,55,44,SOFT,5
2.2,276.0,100.0,False,7,11110.0,1,161.27916666666664,0.027660794491595076,-794.8253140566138,2492.673469486044,55,44,SOFT,5
2.3,276.5624992,100.0,False,7,11126.874976,1,164.7567203978395,0.028257225519108142,-775.0,2520.0,55,44,SOFT,5
2.4,276.5624992,100.0,False,7,11126.874976,1,164.7567203978395,0.028257225519108142,-775.0,2520.0,55,44,SOFT,5
2.5,280.0,100.0,False,7,11230.0,1,186.16805555555555,0.0319294576730126,-658.3455866509508,2680.391516408401,55,44,SOFT,5
2.6,280.2062496,100.0,False,7,11246.9124672,1,191.3129986555699,0.03281186063119864,-621.0,2734.0,55,44,SOFT,5
2.7,280.2062496,100.0,False,7,11246.9124672,1,191.3129986555699,0.03281186063119864,-621.0,2734.0,55,44,SOFT,5
2.8,280.7031248,100.0,False,7,11287.6562336,1,203.71069966015278,0.03493817531116461,-516.0,2888.0,55,44,SOFT,5
2.9,281.0,100.0,False,7,11312.0,1,211.14583333333331,0.03621336608007804,-465.9679805306446,2961.6267685348685,55,44,SOFT,5
3.0,283.0,100.0,False,7,11364.0,1,223.7236111111111,0.03837056550925868,-412.0235950514067,3040.9370894490917,55,44,SOFT,5
3.1,283.0,100.0,False,7,11364.0,1,223.7236111111111,0.03837056550925868,-412.0235950514067,3040.9370894490917,55,44,SOFT,5
3.2,283.94166613333334,100.0,False,7,11380.9499904,1,241.55062172346453,0.04142805450265704,-340.0,3150.0,55,44,SOFT,5
3.3,284.0,100.0,False,7,11382.0,1,242.6569444444444,0.04161779857226557,-334.4709070003885,3158.5169094126886,55,44,SOFT,5
3.4,284.6083328,100.0,False,7,11439.791616,1,254.20778333944418,0.04359886895775726,-271.0,3256.0,55,44,SOFT,5
3.5,285.0,100.0,False,7,11477.0,1,261.65694444444443,0.044876465554508416,-227.93806476652978,3319.545622886074,55,44,SOFT,5
3.6,285.73366840635344,100.0,False,7,11496.809046971543,1,273.2470767337682,0.04686427510245821,-163.0,3413.0,55,44,SOFT,5
3.7,286.0,100.0,False,7,11504.0,1,277.46638888888884,0.04758792421865123,-141.77813892005307,3443.6788951525905,55,44,SOFT,5
3.8,287.22500053333334,100.0,False,7,11521.150007466667,1,289.21120405682046,0.04960226323971878,-71.0,3544.0,55,44,SOFT,5
3.9,288.0,100.0,False,7,11532.0,1,296.66638888888883,0.05088089295860188,7.165959408230314,3650.9109633542867,55,44,SOFT,5
4.0,288.33500032,100.0,False,7,11546.2375136,1,302.04675269845836,0.05180367263748075,61.0,3724.0,55,44,SOFT,5
4.1,288.33500032,100.0,False,7,11546.2375136,1,302.04675269845836,0.05180367263748075,61.0,3724.0,55,44,SOFT,5
4.2,288.33500032,100.0,False,7,11546.2375136,1,302.04675269845836,0.05180367263748075,61.0,3724.0,55,44,SOFT,5
4.3,290.0,100.0,False,7,11617.0,1,328.888611111111,0.05640728725597277,169.09885169576728,3861.4439667617366,55,44,SOFT,5
4.4,290.1958336,100.0,False,7,11624.4416768,1,332.68652898485766,0.05705866354947005,192.0,3887.0,55,44,SOFT,5
4.5,290.1958336,100.0,False,7,11624.4416768,1,332.68652898485766,0.05705866354947005,192.0,3887.0,55,44,SOFT,5
4.6,291.0,100.0,False,7,11655.0,1,348.28861111111104,0.059734557753631255,337.50295974406464,4048.3860538814297,55,44,SOFT,5
4.7,290.7281248,100.0,False,7,11660.9812544,1,355.309674433125,0.06093873181824616,397.0,4113.0,55,44,SOFT,5
4.8,290.7281248,100.0,False,7,11660.9812544,1,355.309674433125,0.06093873181824616,397.0,4113.0,55,44,SOFT,5
4.9,290.0,100.0,False,7,11677.0,1,374.0663888888888,0.06415567319152797,481.99395871088666,4195.986424401996,55,44,SOFT,5
5.0,289.6214281142857,100.0,False,7,11678.514287542857,1,382.5751269460813,0.06561499654771355,527.0,4230.0,55,44,SOFT,5
5.1,289.6214281142857,100.0,False,7,11678.514287542857,1,382.5751269460813,0.06561499654771355,527.0,4230.0,55,44,SOFT,5
5.2,289.0,100.0,False,7,11681.0,1,396.5441666666666,0.06801080962724568,643.9207071180997,4313.125867691384,55,44,SOFT,5
5.3,290.0,100.0,False,7,11681.0,1,409.4330555555555,0.07022136734619402,758.9186892099208,4380.967459075209,55,44,SOFT,5
5.4,289.83214262857143,100.0,False,7,11674.11784777143,1,413.21310430715783,0.07086967892820008,794.0,4397.0,55,44,SOFT,5
5.5,289.83214262857143,100.0,False,7,11674.11784777143,1,413.21310430715783,0.07086967892820008,794.0,4397.0,55,44,SOFT,5
5.6,289.0,100.0,False,7,11640.0,1,431.9108333333333,0.07407650378191173,1037.2320706924213,4475.716120539231,55,44,SOFT,5
5.7,289.0,100.0,False,7,11625.424971733333,1,437.2097789914302,0.07498531953226646,1101.0,4492.0,55,44,SOFT,5
5.8,289.0,100.0,False,7,11625.424971733333,1,437.2097789914302,0.07498531953226646,1101.0,4492.0,55,44,SOFT,5
5.9,289.0,100.0,False,7,11587.0,1,451.1775,0.07738090644109834,1227.29953517365,4515.345771804499,55,44,SOFT,5
6.0,289.0,100.0,False,7,11587.0,1,451.1775,0.07738090644109834,1227.29953517365,4515.345771804499,55,44,SOFT,5
6.1,288.1062496,100.0,False,7,11630.7937696,1,474.05901510456874,0.08130528737662196,1391.0,4519.0,55,44,SOFT,5
6.2,288.0,100.0,False,7,11636.0,1,478.85645791287277,0.0821280909807598,1439.0,4520.0,55,44,SOFT,5
6.3,288.0,100.0,False,7,11636.0,1,489.5775,0.08396684392099965,1591.737280188087,4515.758221024369,55,44,SOFT,5
6.4,288.0,100.0,False,7,11636.0,1,489.5775,0.08396684392099965,1591.737280188087,4515.758221024369,55,44,SOFT,5
6.5,288.52142902857145,100.0,False,7,11631.307138742857,1,501.2913786705998,0.08597587706088819,1776.0,4504.0,55,44,SOFT,5
6.6,289.0,100.0,False,7,11627.0,1,512.0552777777777,0.08782198035671734,1904.2917448125522,4490.6769254859955,55,44,SOFT,5
6.7,289.0,100.0,False,7,11627.0,1,512.0552777777777,0.08782198035671734,1904.2917448125522,4490.6769254859955,55,44,SOFT,5
6.8,289.0,100.0,False,7,11607.0,1,528.1108333333333,0.09057564923937285,2039.5631132839853,4468.958868155738,55,44,SOFT,5
6.9,289.0,100.0,False,7,11618.9625232,1,533.4057229815588,0.09148376934838823,2080.0,4463.0,55,44,SOFT,5
7.0,289.0,100.0,False,7,11636.0,1,540.9552777777777,0.09277858434549724,2135.133159427329,4455.730667307655,55,44,SOFT,5
7.1,289.0,100.0,False,7,11636.0,1,540.9552777777777,0.09277858434549724,2135.133159427329,4455.730667307655,55,44,SOFT,5
7.2,289.0,100.0,False,7,11636.0,1,540.9552777777777,0.09277858434549724,2135.133159427329,4455.730667307655,55,44,SOFT,5
7.3,291.0,100.0,False,7,11704.0,1,570.1361111111111,0.09778335371905854,2348.7126619836276,4440.404850877762,55,44,SOFT,5
7.4,290.9218752,100.0,False,7,11697.0468928,1,572.1557644528161,0.09812974201696328,2367.0,4440.0,55,44,SOFT,5
7.5,290.9218752,100.0,False,7,11697.0468928,1,572.1557644528161,0.09812974201696328,2367.0,4440.0,55,44,SOFT,5
7.6,290.2968752,100.0,False,7,11641.4218928,1,588.2818807202598,0.1008955126818332,2528.0,4440.0,55,44,SOFT,5
7.7,289.96428617142857,100.0,False,7,11615.053570742857,1,596.3149918628721,0.10227326184210256,2608.0,4443.0,55,44,SOFT,5
7.8,289.96428617142857,100.0,False,7,11615.053570742857,1,596.3149918628721,0.10227326184210256,2608.0,4443.0,55,44,SOFT,5
7.9,288.0,100.0,False,7,11618.0,1,618.3138888888889,0.10604626602023103,2828.681956157213,4472.320732369348,55,44,SOFT,5
8.0,288.0,100.0,False,7,11618.0,1,618.3138888888889,0.10604626602023103,2828.681956157213,4472.320732369348,55,44,SOFT,5
8.1,288.0,100.0,False,7,11556.59003008,1,631.5941487108099,0.10832394729377312,2962.0,4507.0,55,44,SOFT,5
8.2,288.0,100.0,False,7,11556.59003008,1,631.5941487108099,0.10832394729377312,2962.0,4507.0,55,44,SOFT,5
8.3,288.0,100.0,False,7,11511.0,1,647.1138888888888,0.110985719130157,3167.645845028084,4587.262701045608,55,44,SOFT,5
8.4,286.94000128,100.0,False,7,11489.8000256,1,655.54829147865,0.11243229330037795,3271.0,4635.0,55,44,SOFT,5
8.5,286.0,100.0,False,7,11471.0,1,663.0027777777776,0.11371080321472264,3343.774883433727,4673.535240723628,55,44,SOFT,5
8.6,286.0,100.0,False,7,11471.0,1,663.0027777777776,0.11371080321472264,3343.774883433727,4673.535240723628,55,44,SOFT,5
8.7,286.0,100.0,False,7,11471.0,1,663.0027777777776,0.11371080321472264,3343.774883433727,4673.535240723628,55,44,SOFT,5
8.8,284.0,100.0,False,7,11394.0,1,688.247222222222,0.11804044729873182,3505.070778909232,4789.533120444247,55,44,SOFT,5
8.9,284.0,100.0,False,7,11394.0,1,688.247222222222,0.11804044729873182,3505.070778909232,4789.533120444247,55,44,SOFT,5
9.0,282.0,100.0,False,7,11326.0,1,703.9138888888888,0.12072741831917769,3600.3834651262478,4866.331076422777,55,44,SOFT,5
9.1,281.5181824,100.0,False,7,11303.3545728,1,712.1857876351326,0.12214612165206405,3656.0,4915.0,55,44,SOFT,5
