Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Avg_Speed_mps,Avg_Throttle,Brake_Aggression,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Max_Lateral_g,Max_Longitudinal_g,Energy_Index
1,64,75.839,HARD,21,56.81097694416538,68.64180933110822,0.39947055459831665,3315.388285097678,338.1158882787827,73.05192831982512,252.1378481313589,24096858.981919754
3,59,77.932,HARD,10,55.31023658287217,62.6786465320592,0.3840059685962968,3092.0517320876897,341.3020539238069,70.03663075968235,229.76766110761363,23241048.104784925
4,63,77.495,MEDIUM,21,55.56789690599951,62.35629659678788,0.4149494496459061,3598.284406145777,404.3731568432666,167.70356057373834,276.1573355563401,26391345.425215974
5,63,77.956,HARD,44,55.165847095531966,65.32044056200604,0.39831943463609865,3674.560747097177,383.67383408864896,99.5447074308798,357.2776062030151,27308225.46563396
6,61,78.54,HARD,24,54.83830783272957,61.658449418302176,0.41713357739099777,3651.853004402808,331.1247040921032,61.91919989489555,562.5078063422309,28442994.626502533
10,60,77.81,HARD,24,55.32773809051557,64.20173550730921,0.4159114114095753,3725.5528177386473,332.85831094043294,61.8809352422884,608.1624566540795,30321707.72130709
11,7,78.844,HARD,7,54.52596983994072,60.0913316546955,0.4190731366361763,3019.8594474517763,308.5511995144022,57.82309705222095,216.07093891182262,23543331.651809044
14,64,77.01,MEDIUM,15,55.94647402458301,68.7863530468079,0.40103627116656204,3638.440265852468,356.1883656875796,59.819054527088696,291.4673049440143,27171801.14538265
16,62,75.901,MEDIUM,21,56.81358215934068,69.2684603494669,0.39318222402039626,3783.018472317651,372.1132656902525,77.10803184214328,388.2703467880511,27815713.038439628
18,64,77.421,MEDIUM,18,55.51159205852956,67.24894854621773,0.40313433988022446,3656.775836229513,341.5226270178785,54.05430183542912,464.7403838789224,28107364.923120778
20,11,78.046,HARD,4,55.24958889042457,67.63920414238584,0.39714831015880137,3690.5847719887524,306.6132983338956,56.20893625140901,681.1739274721352,29061606.866484262
22,15,78.309,HARD,6,55.07481755789952,66.06593688450343,0.40606979844654195,3470.757628386703,368.46216412906875,168.75489432976252,547.8253546157571,27281547.488826025
23,59,77.951,HARD,11,55.17716531804867,62.35440691249749,0.411352671129559,3390.3720011664136,314.8162495920543,57.8611520792655,267.73680206112857,25880950.234058693
24,63,76.578,HARD,14,56.340745453674444,66.29735533273023,0.407704516884812,3655.8854953471173,383.29265484516856,140.08211077159675,334.9480530689983,27738272.564520337
31,62,77.11,MEDIUM,13,55.73166056667217,68.7646137036407,0.39591775908416466,3588.5155536324423,368.57314931858537,65.8622487203279,558.219642312853,27717775.661843397
44,69,76.167,HARD,25,56.483269265398334,68.95732084747209,0.37982306074735167,3582.664040766527,390.2187052824857,159.2143516601384,524.145653221924,28144621.729439534
47,13,78.967,MEDIUM,13,54.626813589515535,65.7640295027284,0.38735735908423585,3080.1746165825384,292.84099504820006,58.96470212274266,271.6444759426396,23802546.813744433
55,63,75.749,HARD,14,56.6993198328758,68.79486467537717,0.41112107710886153,4027.994072731442,383.1459745781573,66.8983849589333,718.926348194268,33586064.921101965
63,63,76.418,HARD,18,56.38629817186113,69.87471096451391,0.3972883138372841,4120.30161411075,387.01884520840406,69.643926066052,678.6931659998256,32985567.022538252
77,60,76.927,MEDIUM,11,55.96202966777629,66.34008940451406,0.4176396129851906,3780.9637575298316,345.2195973360524,78.53955598094186,576.4438551874033,30255579.559380796
