Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Avg_Speed_mps,Avg_Throttle,Brake_Aggression,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Max_Lateral_g,Max_Longitudinal_g,Energy_Index
1,45,82.126,MEDIUM,7,52.75822013033079,61.75366423441981,0.40701781117239577,3152.627896619638,481.20732904319624,169.812722159488,469.33966319207127,25481911.165003885
3,63,83.654,HARD,17,51.87306535410849,57.06286374512268,0.4167845522728355,3255.079860397855,481.5034564405928,162.62481899951868,382.5798595226353,26328631.999317348
4,47,83.043,HARD,5,52.34511578613616,57.94291349041915,0.42627993615421245,3622.754697823024,496.1265353703665,112.36392916913152,501.12962578436935,30153732.249404956
5,51,82.824,MEDIUM,5,52.300483692575696,60.07008920842764,0.4344867672947443,3097.4644622439837,488.5568798327257,119.66242181927402,300.3269589728356,24704736.133877065
6,60,82.478,SOFT,4,52.507373169710775,59.41817801269437,0.43168832534399787,3435.413049357557,479.5255427084684,171.27818668193865,336.3180287796092,28589248.22660143
10,58,83.199,SOFT,12,52.22656426154914,61.4383174430843,0.4043305996631195,3217.681058285277,482.1822719912522,85.96602388527319,343.43234207656496,25150743.927272428
11,44,81.94,MEDIUM,2,52.89013548059886,60.7749512869243,0.4214021088412289,3147.165898960177,421.5369550752811,58.38669158338073,239.99135513724684,25939636.43451174
14,47,83.979,HARD,26,52.04848142458975,60.900734519955975,0.4216931054723398,3598.490135140632,547.4522074879866,213.09508322838076,392.37422502495303,29565922.4934268
16,57,81.622,SOFT,6,52.977278386473294,63.40797912714906,0.41553894958120485,3367.1288641340493,470.289531589313,83.87736606241114,478.9194728358057,26932645.916673858
18,51,82.437,SOFT,5,52.49060620496586,59.138228821944494,0.4331001703714252,3399.1437250369836,492.9801176289052,70.22872955486561,407.53201989280655,26452330.949222475
20,37,83.511,MEDIUM,2,52.18700049279343,59.93679214503045,0.43188102058474753,3531.860037903031,500.0353433409144,143.7650098806894,621.1814740247349,29047457.580458876
22,58,83.538,SOFT,10,52.081390010052864,60.89047190710887,0.42315545513281994,3516.2691163434038,493.6240952211634,141.51316582492456,341.78819288597236,28356379.576200146
23,43,83.047,SOFT,3,52.04804915052794,55.08744113253367,0.4225221059839238,2993.277617061164,405.7456499641432,70.07452140997721,223.6704806874717,24388782.13999964
24,58,82.029,SOFT,7,52.74084074725405,61.55430791753924,0.4106366293951721,3592.884928967882,479.25576677469115,125.68240081358927,379.89823886017666,29414424.24749507
31,60,84.149,HARD,37,51.556274405834536,59.0435223277346,0.43084195880600146,3370.8517185174037,465.80498382884684,104.73358144699705,290.10256110245194,27647273.748908103
44,57,81.386,SOFT,8,53.1041577609782,65.08233878663192,0.41771757609772936,3741.789414031204,455.3587906824078,63.56839856854445,719.1635465312778,30963756.596329734
47,50,83.151,MEDIUM,9,51.95261937562612,61.29200646208282,0.4215784728556953,3669.1414420838064,497.3960811418704,208.60261089525522,518.557205101166,30187527.075253848
55,51,82.0,SOFT,7,52.89203436061012,62.74798184618838,0.4258199136410512,3696.456351675204,499.6999158763061,220.8802328158573,632.171903462918,31937323.44369094
63,57,82.766,MEDIUM,18,52.46668246691723,61.17467822886967,0.42532278763444603,3469.711468607344,516.2663408546291,212.0255614287324,452.5490704309301,28157097.910358947
77,60,84.002,HARD,34,51.55469898704846,60.27377351373044,0.4358158452760924,3456.0839668311633,451.28831377416935,70.59463140650081,581.7976612138733,29008051.13516569
