Driver,LapNumber,Compound,TyreLife,LapTimeSeconds
1,10,INTERMEDIATE,3,104.911
11,11,INTERMEDIATE,4,106.12
16,10,INTERMEDIATE,3,104.489
31,11,INTERMEDIATE,4,106.559
44,11,INTERMEDIATE,7,105.53
5,13,INTERMEDIATE,8,106.964
14,25,INTERMEDIATE,3,104.412
63,21,INTERMEDIATE,16,107.004
6,12,INTERMEDIATE,7,108.371
4,8,INTERMEDIATE,2,108.175
3,11,INTERMEDIATE,3,107.843
18,21,INTERMEDIATE,2,105.205
22,22,INTERMEDIATE,2,105.893
20,10,INTERMEDIATE,3,108.072
77,11,INTERMEDIATE,5,107.82
24,20,INTERMEDIATE,2,104.411
47,13,INTERMEDIATE,2,106.545
10,22,INTERMEDIATE,3,105.387
