Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TimeSeconds
0 days 00:00:45.385000,19.0,71.0,1016.0,True,22.8,0,0.0,45.385
0 days 00:01:45.378000,19.0,71.0,1016.0,True,22.9,342,0.0,105.378
0 days 00:02:45.386000,19.0,70.0,1016.0,True,23.0,69,0.6,165.386
0 days 00:03:45.386000,18.9,69.0,1016.0,True,23.0,117,0.5,225.386
0 days 00:04:45.385000,18.8,69.0,1016.0,True,22.9,89,0.6,285.385
0 days 00:05:45.390000,18.8,70.0,1015.9,True,22.8,198,0.8,345.39
0 days 00:06:45.391000,18.7,69.0,1015.9,True,22.8,232,0.8,405.391
0 days 00:07:45.387000,18.7,70.0,1015.7,True,22.8,0,0.4,465.387
0 days 00:08:45.387000,18.7,71.0,1015.9,True,22.8,38,0.6,525.387
0 days 00:09:45.410000,18.6,71.0,1015.9,True,22.8,79,0.8,585.41
0 days 00:10:45.386000,18.7,71.0,1015.9,True,22.8,0,0.8,645.386
0 days 00:11:45.386000,18.7,71.0,1016.0,True,22.8,140,0.6,705.386
0 days 00:12:45.388000,18.6,72.0,1015.9,True,22.7,104,0.5,765.388
0 days 00:13:45.389000,18.6,71.0,1015.9,True,22.7,7,0.5,825.389
0 days 00:14:45.388000,18.6,71.0,1015.9,True,22.7,28,0.6,885.388
0 days 00:15:45.388000,18.5,71.0,1015.9,True,22.5,3,0.6,945.388
0 days 00:16:45.386000,18.4,72.0,1015.9,True,22.4,272,0.6,1005.386
0 days 00:17:45.389000,18.4,72.0,1015.9,True,22.4,201,0.8,1065.389
0 days 00:18:45.388000,18.4,71.0,1016.0,True,22.6,210,0.6,1125.388
0 days 00:19:45.388000,18.4,72.0,1016.0,True,22.6,0,0.4,1185.388
0 days 00:20:45.387000,18.5,72.0,1016.0,True,22.5,346,0.3,1245.387
0 days 00:21:45.387000,18.4,72.0,1016.0,True,22.6,16,0.6,1305.387
0 days 00:22:45.396000,18.3,71.0,1016.0,True,22.5,22,0.6,1365.396
0 days 00:23:45.387000,18.2,71.0,1016.0,True,22.4,25,0.6,1425.387
0 days 00:24:45.404000,18.2,71.0,1016.0,True,22.4,49,0.6,1485.404
0 days 00:25:45.416000,18.3,71.0,1016.0,True,22.4,45,0.6,1545.416
0 days 00:26:45.420000,18.3,72.0,1016.0,True,22.4,340,0.6,1605.42
0 days 00:27:45.420000,18.5,74.0,1016.2,True,22.4,19,1.3,1665.42
0 days 00:28:45.419000,18.4,74.0,1016.0,True,22.4,353,1.1,1725.419
0 days 00:29:45.457000,18.4,74.0,1016.2,True,22.5,340,1.6,1785.457
0 days 00:30:45.434000,18.4,75.0,1016.0,True,22.4,331,1.2,1845.434
0 days 00:31:45.434000,18.4,75.0,1016.2,True,22.2,346,1.0,1905.434
0 days 00:32:45.436000,18.3,75.0,1016.2,True,22.2,347,1.0,1965.436
0 days 00:33:45.450000,18.3,75.0,1016.2,True,22.0,358,1.2,2025.45
0 days 00:34:45.544000,18.1,74.0,1016.0,True,21.9,7,1.1,2085.544
0 days 00:35:45.487000,18.1,75.0,1016.0,True,21.9,7,1.0,2145.487
0 days 00:36:45.485000,18.2,76.0,1016.0,True,21.8,4,1.0,2205.485
0 days 00:37:45.496000,18.2,76.0,1016.0,True,21.7,332,1.2,2265.496
0 days 00:38:45.496000,18.1,77.0,1016.0,True,21.8,326,0.8,2325.496
0 days 00:39:45.517000,18.0,76.0,1016.0,True,21.8,300,1.1,2385.517
0 days 00:40:45.518000,18.0,77.0,1016.0,True,21.7,315,1.3,2445.518
0 days 00:41:45.527000,18.0,77.0,1016.0,True,21.8,319,1.2,2505.527
