Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Avg_Speed_mps,Avg_Throttle,Brake_Aggression,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Max_Lateral_g,Max_Longitudinal_g,Energy_Index
1,36,82.046,MEDIUM,11,51.57066322508541,56.49447068501601,0.42506576748459085,3441.54489798931,321.4030200848652,59.536175384928804,759.83435208348,28466867.05706228
3,48,82.022,SOFT,4,51.659233556469786,51.746270749125934,0.4089293288374929,3223.280261051802,328.94426808123484,60.64528953154695,753.1756694336942,27259581.623911146
4,48,83.402,HARD,17,50.65942240888821,52.95087950067175,0.42557494161539144,3255.267557362556,313.5510828287966,54.161690261848115,755.2757293255519,28131375.44567955
5,45,83.086,MEDIUM,8,50.8750044516095,55.672539390929984,0.42553783915639976,3507.7316324261683,367.64504168310674,119.35467166067005,625.0764533879991,27482890.253025517
6,56,83.709,SOFT,4,50.50077800678731,51.80549518261438,0.45566289870563764,3254.163559081867,353.1133121268872,67.85574786309995,320.20636473356404,26903403.495202795
10,42,82.277,SOFT,2,51.537220386541634,57.21517670739295,0.40770299659950365,3108.906731095482,376.80719868783325,131.25374657879527,237.62713573763045,23757110.97283877
11,30,81.775,MEDIUM,7,51.64930217379162,53.4703717414773,0.4169891236638727,3697.170124410186,365.9590659236009,58.800171088992684,658.8668807621355,28799326.72296582
14,48,82.866,HARD,8,51.18149313319095,56.61319763430179,0.4108734339479107,2974.0143744363086,322.004593956998,53.393611999034945,312.79271901803486,24218581.389161486
16,48,82.603,MEDIUM,20,51.22163221400632,60.80359323889852,0.3961934343103244,3143.278175481876,313.86364627669815,65.7028547126063,388.95441041959344,25445670.070382442
18,42,82.463,SOFT,2,51.30260366008708,56.17510443616092,0.41733544445445736,2954.652866482271,326.3277909648373,63.13567565917852,213.30197300189698,22849732.607043367
20,49,83.3,SOFT,14,50.852569213506435,55.404789634428006,0.3976983593359015,3356.8949597366222,339.9883201939762,55.066687501192725,617.8014902337417,28396872.16175498
22,48,83.403,MEDIUM,19,50.82764524406202,54.370031218837696,0.4114628590784133,3230.3216129670845,301.45020977385894,53.81736620979057,780.044747817752,26952483.227244515
23,48,82.914,SOFT,10,50.92015445605075,53.27556218865802,0.43431280266977945,2923.7058127748023,319.67046730480627,51.923961530271136,257.5367982906859,22323418.07396258
24,47,82.26,SOFT,2,51.64364745280735,56.87778177289213,0.4269573097373012,3185.9262648473064,364.76591728079103,81.90232893744927,731.5497592886942,27033024.56044408
31,48,83.279,HARD,15,51.00919881641128,57.935106706870435,0.42368538294528,2913.730472012084,328.22954200431013,107.48880370088825,255.6509277400433,23414226.043808367
44,32,82.062,HARD,3,51.685510736172006,56.96272597792834,0.41148220850263184,3453.327945556554,356.51392701519404,58.138169964326174,410.68134596865093,27558541.375651535
47,30,83.641,MEDIUM,6,50.63258171944708,52.924584124486124,0.41110529417110225,3324.0090502315206,305.12555491562284,54.781581477564025,519.3673919376142,26074474.78184213
55,32,82.199,MEDIUM,3,51.5662808379151,58.50789324069828,0.4278754832463478,3350.971006272504,335.4319868640179,57.79955421289911,307.7199701257577,25802072.923113573
63,71,80.153,SOFT,5,52.95276968825915,58.33810964813484,0.4115711573807633,3090.6997239212974,320.1231293153625,55.813862346532,220.6869627804562,23621324.193062767
77,43,83.363,HARD,4,50.91205651809942,54.15232554421738,0.4541120334169959,3221.4993054252436,328.14523891491075,49.76136792619733,361.04031808928033,25144632.730613325
