Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Avg_Speed_mps,Avg_Throttle,Brake_Aggression,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Max_Lateral_g,Max_Longitudinal_g,Energy_Index
1,47,76.052,MEDIUM,17.0,42.8610845534791,47.102072377742516,0.4524067093818189,2784.8750863246246,490.2289029374996,92.54435933191603,248.82397922934766,19163948.556669608
3,59,77.532,HARD,40.0,42.184699489906016,45.594294141797484,0.4425471966736107,2625.1232446055024,495.7566221043083,88.11442357023923,250.5920652490275,18405035.29505451
4,55,74.693,MEDIUM,4.0,43.81519797701728,50.96277796701502,0.43949822952573797,2460.243245208717,480.70224942801156,93.46321010316029,305.91924721294913,18486403.317429967
5,54,77.558,HARD,32.0,42.216812159121474,46.60222953045324,0.4640716405137236,2516.3644567277024,483.16863928995707,89.82075380140142,196.89818375540028,17030734.800497662
6,43,78.579,MEDIUM,,41.544064025620415,46.14816467755871,0.470336938834099,2541.5234143114667,443.4244817627913,106.98219559997084,253.1953127750585,17669818.534588348
10,61,77.344,HARD,39.0,42.247069644406864,48.88681778092561,0.4394540505494673,2620.2879807202735,483.76389159019135,183.68625859881007,423.8158641517607,20618834.954492375
11,46,76.028,MEDIUM,16.0,43.052587039179755,49.766787422946884,0.45664060767876274,2690.616000780588,462.2784798439805,97.83919318690474,206.41939862860818,19273533.685488798
14,50,75.882,MEDIUM,20.0,43.17540543693179,52.84635017773368,0.46043407902384287,2908.5024738885495,528.7271488691539,94.36821593704758,490.3097039000764,20338822.07405141
16,46,76.249,HARD,25.0,42.8523215094958,52.86569529792977,0.4619671960877681,2705.484260569073,483.2380036460692,80.28066987132978,221.53139529292093,18754121.12163239
18,56,77.672,,33.0,42.00304605889493,45.30057848593666,0.4628598881896618,2932.689407443481,465.23001484972684,74.95303351233038,561.9896512361495,20435276.1766104
20,18,93.754,WET,18.0,34.46331070906212,35.899263358637995,0.4690812110800795,2277.793210564584,306.785499851198,65.37598927229986,308.8580615470602,16219405.147145523
22,61,75.334,SOFT,5.0,43.50142753412777,52.41572009641655,0.4417603355362973,2479.0730237291573,485.7221465255832,98.24571752481395,226.7324292202419,17972963.407667503
23,40,78.023,MEDIUM,18.0,41.99625066480265,44.52550920874538,0.46631852801024926,2669.135355284353,416.0422162038683,80.05441227363234,247.91630848109924,17988325.693442907
24,52,78.2,MEDIUM,23.0,41.923134944733455,48.41754453008076,0.4660001371442328,2591.131261319781,439.85658432240484,106.22346859705137,295.3692157619374,17959699.058202043
31,50,77.571,MEDIUM,20.0,42.106573612482606,48.18507492761235,0.4640716405137236,2954.0568098893887,502.10000505350246,105.3927529579527,671.463142701466,21480056.239273783
44,51,77.203,MEDIUM,21.0,42.40855645881204,50.66756407592697,0.44642752529506674,2497.4234503919656,518.255484791348,101.65984128437474,171.06435265919083,17597957.22171774
47,24,84.778,HARD,,38.868305579929256,39.67299618121483,0.48087055957484653,2545.023923463868,397.8183525705804,78.25586921552883,348.1656951793902,17209749.190791495
55,47,76.421,HARD,26.0,42.749724865424405,51.247006178101906,0.47397448808023646,2907.340237075894,457.27220039517545,94.36629154121584,555.8186006860607,21048175.024377342
63,42,76.83,MEDIUM,12.0,42.6231104279832,50.26219644172573,0.45344683035432887,2599.314258023392,473.4794121451833,78.72045775066825,339.4990604412772,18561932.13036798
77,57,77.6,HARD,37.0,42.19927363168235,49.1695454736365,0.4768903493041737,3042.127988342517,518.379194916292,153.00376071071574,608.7469039427051,22273676.90950886
