Driver,LapNumber,Compound,TyreLife,LapTimeSeconds
11,46,MEDIUM,16.0,76.028
55,47,HARD,26.0,76.421
1,47,MEDIUM,17.0,76.052
16,46,HARD,25.0,76.249
63,42,MEDIUM,12.0,76.83
4,55,MEDIUM,4.0,74.693
14,50,MEDIUM,20.0,75.882
44,51,MEDIUM,21.0,77.203
77,57,HARD,37.0,77.6
5,54,HARD,32.0,77.558
10,61,HARD,39.0,77.344
31,50,MEDIUM,20.0,77.571
3,59,HARD,40.0,77.532
18,56,None,33.0,77.672
6,43,MEDIUM,,78.579
24,52,MEDIUM,23.0,78.2
22,61,SOFT,5.0,75.334
23,40,MEDIUM,18.0,78.023
47,24,HARD,,84.778
20,18,WET,18.0,93.754
