Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TimeSeconds
0 days 00:00:03.938000,24.2,68.0,1002.9,False,42.1,70,0.8,3.938
0 days 00:01:03.941000,24.2,68.0,1002.7,False,41.5,346,0.8,63.941
0 days 00:02:03.935000,24.2,68.0,1002.9,False,41.5,335,2.4,123.935
0 days 00:03:03.939000,24.1,68.0,1002.9,False,41.3,320,0.6,183.939
0 days 00:04:03.938000,24.2,69.0,1002.9,False,41.2,51,0.6,243.938
0 days 00:05:03.930000,24.1,68.0,1002.7,False,41.4,192,1.0,303.93
0 days 00:06:03.939000,24.1,68.0,1002.7,False,41.6,335,0.8,363.939
0 days 00:07:03.938000,24.1,68.0,1002.7,False,41.4,0,0.8,423.938
0 days 00:08:03.938000,24.2,68.0,1002.7,False,41.4,333,1.3,483.938
0 days 00:09:03.946000,24.3,68.0,1002.7,False,41.2,65,0.8,543.946
0 days 00:10:03.953000,24.3,67.0,1002.7,False,41.2,344,0.8,603.953
0 days 00:11:03.944000,24.2,66.0,1002.7,False,40.8,330,2.2,663.944
0 days 00:12:03.940000,24.1,67.0,1002.7,False,40.1,0,1.2,723.94
0 days 00:13:03.939000,24.0,68.0,1002.7,False,40.0,345,0.8,783.939
0 days 00:14:03.943000,24.0,69.0,1002.7,False,40.0,41,1.1,843.943
0 days 00:15:03.941000,23.9,68.0,1002.7,False,39.8,337,1.3,903.941
0 days 00:16:03.944000,23.8,69.0,1002.7,False,39.7,349,2.2,963.944
0 days 00:17:03.940000,23.7,69.0,1002.7,False,39.1,358,1.8,1023.94
0 days 00:18:03.939000,23.6,70.0,1002.9,False,39.2,335,1.2,1083.939
0 days 00:19:03.938000,23.5,70.0,1002.9,False,39.2,355,1.2,1143.938
0 days 00:20:03.939000,23.5,70.0,1002.7,False,39.3,339,1.3,1203.939
0 days 00:21:03.941000,23.5,70.0,1002.7,False,39.0,353,1.6,1263.941
0 days 00:22:03.939000,23.6,70.0,1002.9,False,39.0,345,1.0,1323.939
0 days 00:23:03.941000,23.6,70.0,1002.7,False,39.6,336,1.7,1383.941
0 days 00:24:03.975000,23.5,70.0,1002.9,False,38.9,346,1.5,1443.975
0 days 00:25:03.939000,23.5,70.0,1002.7,False,38.9,325,2.0,1503.939
0 days 00:26:03.944000,23.5,70.0,1002.7,False,39.1,353,1.2,1563.944
0 days 00:27:03.940000,23.5,70.0,1002.7,False,39.1,322,1.7,1623.94
0 days 00:28:03.944000,23.4,70.0,1002.7,False,39.1,354,0.8,1683.944
0 days 00:29:03.940000,23.5,71.0,1002.7,False,39.1,6,1.2,1743.94
0 days 00:30:03.939000,23.5,70.0,1002.7,False,39.6,0,0.8,1803.939
0 days 00:31:03.939000,23.5,69.0,1002.7,False,39.8,351,1.1,1863.939
0 days 00:32:03.936000,23.3,69.0,1002.9,False,39.6,1,1.0,1923.936
0 days 00:33:03.958000,23.2,70.0,1002.9,False,38.0,347,1.2,1983.958
0 days 00:34:03.940000,23.2,70.0,1002.9,False,37.9,348,1.2,2043.94
0 days 00:35:03.940000,23.2,71.0,1002.9,False,37.7,346,1.7,2103.94
0 days 00:36:03.940000,23.0,71.0,1002.9,False,37.7,346,1.7,2163.94
0 days 00:37:03.940000,23.0,71.0,1003.0,False,37.6,4,1.0,2223.94
0 days 00:38:03.941000,23.0,72.0,1002.9,False,37.4,339,1.0,2283.941
0 days 00:39:03.940000,22.9,71.0,1003.0,False,37.7,357,1.8,2343.94
0 days 00:40:03.940000,23.0,71.0,1003.0,False,37.4,57,1.2,2403.94
0 days 00:41:03.941000,23.0,71.0,1003.0,False,37.4,334,0.6,2463.941
0 days 00:42:03.939000,23.0,72.0,1003.0,False,37.5,340,1.7,2523.939
0 days 00:43:03.943000,23.1,72.0,1002.9,False,37.5,340,1.6,2583.943
0 days 00:44:03.939000,23.1,71.0,1002.9,False,37.5,37,1.7,2643.939
0 days 00:45:03.943000,23.0,70.0,1002.9,False,37.3,341,1.3,2703.943
0 days 00:46:03.941000,22.9,70.0,1002.9,False,36.6,341,1.2,2763.941
0 days 00:47:03.962000,22.9,70.0,1002.9,False,36.5,332,1.7,2823.962
0 days 00:48:03.940000,22.9,72.0,1002.9,True,36.4,341,1.2,2883.94
0 days 00:49:03.940000,22.8,72.0,1002.7,True,36.0,335,1.5,2943.94
0 days 00:50:03.940000,22.8,72.0,1002.7,True,36.0,341,1.6,3003.94
0 days 00:51:03.950000,22.9,73.0,1002.7,True,35.0,3,1.1,3063.95
0 days 00:52:03.942000,22.9,74.0,1002.7,True,34.2,338,0.8,3123.942
0 days 00:53:03.941000,23.0,74.0,1002.7,True,33.9,18,0.8,3183.941
0 days 00:54:03.964000,23.1,74.0,1002.7,True,33.4,329,0.8,3243.964
0 days 00:55:03.974000,22.9,75.0,1002.9,True,32.5,342,1.2,3303.974
0 days 00:56:03.941000,22.9,76.0,1002.7,True,32.5,341,1.7,3363.941
0 days 00:57:03.942000,22.9,77.0,1002.7,True,32.4,330,2.0,3423.942
0 days 00:58:03.942000,22.6,76.0,1002.7,True,32.3,337,1.5,3483.942
0 days 00:59:03.942000,22.5,77.0,1002.7,True,32.0,338,1.2,3543.942
0 days 01:00:03.943000,22.5,77.0,1002.7,True,32.3,332,1.0,3603.943
0 days 01:01:03.943000,22.6,77.0,1002.7,True,32.3,354,1.2,3663.943
0 days 01:02:03.953000,22.4,78.0,1002.7,True,32.2,334,0.5,3723.953
0 days 01:03:03.941000,22.4,77.0,1002.5,True,32.2,343,1.5,3783.941
0 days 01:04:03.933000,22.3,77.0,1002.7,True,32.2,343,1.8,3843.933
0 days 01:05:03.951000,22.2,77.0,1002.7,True,31.3,329,2.0,3903.951
0 days 01:06:03.941000,22.2,77.0,1002.7,True,30.4,352,1.6,3963.941
0 days 01:07:03.943000,22.2,77.0,1002.7,True,30.4,3,1.6,4023.943
0 days 01:08:03.942000,22.1,78.0,1002.7,True,30.3,348,1.3,4083.942
0 days 01:09:03.943000,22.2,79.0,1002.7,True,30.0,344,1.6,4143.943
0 days 01:10:03.944000,22.1,78.0,1002.7,True,30.0,40,1.5,4203.944
0 days 01:11:03.948000,22.0,80.0,1002.7,True,29.0,342,0.6,4263.948
0 days 01:12:03.943000,21.9,80.0,1002.7,True,28.7,338,1.0,4323.943
0 days 01:13:03.947000,21.9,81.0,1002.7,True,28.7,344,1.0,4383.947
0 days 01:14:03.943000,21.9,81.0,1002.7,True,28.7,344,1.0,4443.943
0 days 01:15:03.944000,21.9,81.0,1002.7,True,28.7,344,1.0,4503.944
0 days 01:16:03.944000,21.7,81.0,1002.7,True,28.7,344,1.0,4563.944
0 days 01:17:03.957000,21.8,81.0,1002.7,True,28.7,344,1.0,4623.957
0 days 01:18:03.946000,21.7,83.0,1002.7,True,29.6,339,1.1,4683.946
0 days 01:19:03.943000,21.8,84.0,1002.7,True,30.2,234,0.5,4743.943
0 days 01:20:03.946000,21.9,85.0,1002.7,True,28.6,337,1.1,4803.946
0 days 01:21:03.961000,22.1,82.0,1002.9,True,27.6,349,2.2,4863.961
0 days 01:22:03.942000,22.0,84.0,1002.9,True,26.4,336,1.3,4923.942
0 days 01:23:03.943000,21.8,86.0,1002.7,True,26.3,320,0.6,4983.943
0 days 01:24:03.949000,21.8,86.0,1002.9,True,26.3,330,0.6,5043.949
0 days 01:25:03.953000,21.8,87.0,1002.9,True,27.5,321,1.0,5103.953
0 days 01:26:03.945000,21.7,86.0,1002.7,True,28.4,328,0.8,5163.945
0 days 01:27:03.943000,21.7,86.0,1002.9,True,28.6,335,0.8,5223.943
0 days 01:28:03.942000,21.4,87.0,1003.0,True,28.9,0,1.1,5283.942
0 days 01:29:03.941000,21.3,87.0,1002.9,True,29.0,268,0.0,5343.941
0 days 01:30:03.946000,21.3,88.0,1002.9,True,29.2,344,0.6,5403.946
0 days 01:31:03.962000,21.4,88.0,1002.9,True,29.6,344,0.8,5463.962
0 days 01:32:03.974000,21.4,88.0,1003.0,True,29.6,346,0.5,5523.974
0 days 01:33:03.993000,21.4,87.0,1003.0,True,29.9,311,0.8,5583.993
0 days 01:34:03.978000,21.5,87.0,1003.0,True,29.9,311,0.8,5643.978
0 days 01:35:03.994000,21.4,86.0,1002.9,True,29.5,258,0.6,5703.994
0 days 01:36:04,21.4,87.0,1002.9,True,29.6,326,0.6,5764.0
0 days 01:37:04.006000,21.2,87.0,1002.9,True,29.6,351,0.8,5824.006
0 days 01:38:04.022000,21.2,87.0,1002.9,True,29.6,352,1.2,5884.022
0 days 01:39:04.037000,21.2,86.0,1002.9,True,29.5,337,1.0,5944.037
0 days 01:40:04.038000,21.3,87.0,1002.9,True,29.2,343,1.2,6004.038
0 days 01:41:04.053000,21.1,86.0,1002.9,True,28.7,1,2.0,6064.053
0 days 01:42:04.061000,21.1,87.0,1002.9,True,28.7,348,1.2,6124.061
0 days 01:43:04.079000,21.1,86.0,1002.9,True,28.7,340,1.6,6184.079
0 days 01:44:04.080000,21.1,87.0,1002.9,True,28.4,353,1.1,6244.08
0 days 01:45:04.068000,21.1,87.0,1002.7,True,27.9,349,2.2,6304.068
0 days 01:46:04.069000,21.1,87.0,1002.9,True,27.9,343,1.3,6364.069
0 days 01:47:04.068000,21.0,87.0,1002.9,True,28.4,20,1.7,6424.068
0 days 01:48:04.069000,21.1,86.0,1002.9,True,28.4,341,1.0,6484.069
0 days 01:49:04.077000,21.1,86.0,1003.0,True,28.6,318,1.1,6544.077
0 days 01:50:04.070000,21.2,86.0,1003.0,True,28.6,351,1.1,6604.07
0 days 01:51:04.072000,21.1,86.0,1003.0,True,28.6,6,1.7,6664.072
