RelativeTime_s,Speed,Throttle,Brake,nGear,RPM,DRS,Distance,RelativeDistance,X,Y,Driver,LapNumber,Compound,TyreLife
0.0,293.1937488,100.0,False,7,11571.4187536,0,0.19745311560883322,3.241485619580263e-05,-1272.225805991716,163.66605243103226,1,50,HARD,34
0.1,294.0,100.0,False,7,11569.0,0,7.218333333333337,0.001184996429415054,-1295.6478240354572,229.5945912065364,1,50,HARD,34
0.2,294.0,100.0,False,7,11569.0,0,7.218333333333337,0.001184996429415054,-1295.6478240354572,229.5945912065364,1,50,HARD,34
0.3,294.0,100.0,False,7,10636.1839488,0,23.055691317694524,0.0037849335334791488,-1350.0,378.0,1,50,HARD,34
0.4,294.0,100.0,False,8,10415.0,0,26.81833333333334,0.004402627002012844,-1363.1726989243243,413.3098345530133,1,50,HARD,34
0.5,295.0,100.0,False,8,10580.0,0,39.92944444444445,0.0065550102648617055,-1409.1328605130539,536.3846550875297,1,50,HARD,34
0.6,295.0,100.0,False,8,10580.0,0,39.92944444444445,0.0065550102648617055,-1409.1328605130539,536.3846550875297,1,50,HARD,34
0.7,295.0,100.0,False,8,10637.0,0,53.040555555555564,0.008707393527710567,-1454.2477799374956,659.4543727987547,1,50,HARD,34
0.8,296.6855350164951,100.0,False,8,10629.415092425772,0,64.09068468421903,0.010521436043809593,-1492.0,763.0,1,50,HARD,34
0.9,297.0,100.0,False,8,10628.0,0,66.15805555555556,0.010860825621386665,-1499.073605394805,782.3912371107015,1,50,HARD,34
1.0,297.86111146666667,100.0,False,8,10650.388898133333,0,79.00731724387686,0.01297022241953218,-1543.0,903.0,1,50,HARD,34
1.1,297.86111146666667,100.0,False,8,10650.388898133333,0,79.00731724387686,0.01297022241953218,-1543.0,903.0,1,50,HARD,34
1.2,299.0,100.0,False,8,10680.0,0,96.05805555555557,0.01576935389284962,-1601.487163029386,1062.9118813470586,1,50,HARD,34
1.3,299.2291669333333,100.0,False,8,10697.416686933333,0,100.63710948103048,0.016521073479797685,-1618.0,1106.0,1,50,HARD,34
1.4,299.2291669333333,100.0,False,8,10697.416686933333,0,100.63710948103048,0.016521073479797685,-1618.0,1106.0,1,50,HARD,34
1.5,300.47500032,100.0,False,8,10756.0,0,123.99392794209865,0.02035544149811143,-1698.0,1325.0,1,50,HARD,34
1.6,300.47500032,100.0,False,8,10756.0,0,123.99392794209865,0.02035544149811143,-1698.0,1325.0,1,50,HARD,34
1.7,301.5937504,100.0,False,8,10781.5312672,0,140.74463018367885,0.023105317602447693,-1755.0,1482.0,1,50,HARD,34
1.8,302.0,100.0,False,8,10799.0,0,146.20250000000001,0.024001307846440226,-1777.6263454207037,1543.856278345626,1,50,HARD,34
1.9,302.0,100.0,False,8,10799.0,0,146.20250000000001,0.024001307846440226,-1777.6263454207037,1543.856278345626,1,50,HARD,34
2.0,302.0,100.0,False,8,10799.0,0,146.20250000000001,0.024001307846440226,-1777.6263454207037,1543.856278345626,1,50,HARD,34
2.1,303.0,100.0,False,8,10808.0,0,167.66522153793682,0.027524731774584026,-1871.0,1798.0,1,50,HARD,34
2.2,303.0,100.0,False,8,10808.0,0,179.86916666666667,0.02952819029256908,-1900.309402666852,1877.784688737653,1,50,HARD,34
2.3,303.0,100.0,False,8,10808.0,0,179.86916666666667,0.02952819029256908,-1900.309402666852,1877.784688737653,1,50,HARD,34
