Driver,LapNumber,Compound,TyreLife,LapTimeSeconds
11,57,MEDIUM,22,108.165
16,54,MEDIUM,20,108.753
55,59,MEDIUM,24,108.414
4,56,MEDIUM,20,109.212
3,57,SOFT,21,111.006
18,58,MEDIUM,23,110.283
1,52,SOFT,12,109.142
5,58,MEDIUM,24,110.669
44,58,MEDIUM,24,110.622
10,56,MEDIUM,23,110.569
77,52,SOFT,19,111.864
20,59,MEDIUM,26,112.067
47,58,SOFT,17,110.29
63,54,SOFT,3,106.458
22,32,INTERMEDIATE,38,118.716
31,24,INTERMEDIATE,24,121.105
23,24,INTERMEDIATE,24,122.121
14,19,INTERMEDIATE,19,120.463
6,5,INTERMEDIATE,5,125.585
24,5,INTERMEDIATE,5,125.556
