Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TimeSeconds
0 days 00:00:06.172000,27.7,49.0,1014.4,False,38.2,358,3.0,6.172
0 days 00:01:06.171000,27.7,49.0,1014.2,False,38.2,285,2.2,66.171
0 days 00:02:06.186000,27.7,49.0,1014.2,False,38.2,272,3.0,126.186
0 days 00:03:06.185000,27.7,50.0,1014.4,False,38.2,266,2.2,186.185
0 days 00:04:06.184000,27.6,48.0,1014.2,False,38.2,341,2.2,246.184
0 days 00:05:06.184000,27.6,49.0,1014.2,False,37.6,287,2.7,306.184
0 days 00:06:06.183000,27.6,50.0,1014.4,False,37.8,306,2.7,366.183
0 days 00:07:06.182000,27.6,50.0,1014.4,False,37.8,276,2.7,426.182
0 days 00:08:06.182000,27.5,51.0,1014.2,False,37.7,330,2.5,486.182
0 days 00:09:06.181000,27.5,51.0,1014.5,False,37.6,256,2.5,546.181
0 days 00:10:06.180000,27.5,50.0,1014.4,False,37.4,270,2.5,606.18
0 days 00:11:06.180000,27.5,50.0,1014.4,False,37.4,272,0.8,666.18
0 days 00:12:06.179000,27.5,50.0,1014.4,False,37.3,18,1.8,726.179
0 days 00:13:06.178000,27.6,50.0,1014.5,False,37.5,260,2.0,786.178
0 days 00:14:06.193000,27.6,50.0,1014.4,False,37.3,297,2.2,846.193
0 days 00:15:06.192000,27.6,50.0,1014.5,False,37.1,284,2.0,906.192
0 days 00:16:06.192000,27.5,50.0,1014.4,False,36.8,278,2.0,966.192
0 days 00:17:06.191000,27.5,50.0,1014.4,False,36.8,267,1.7,1026.191
0 days 00:18:06.190000,27.6,50.0,1014.4,False,36.7,281,2.4,1086.19
0 days 00:19:06.190000,27.6,50.0,1014.4,False,36.5,345,2.0,1146.19
0 days 00:20:06.189000,27.5,51.0,1014.2,False,36.5,288,2.2,1206.189
0 days 00:21:06.188000,27.5,49.0,1014.2,False,36.6,263,2.4,1266.188
0 days 00:22:06.188000,27.5,50.0,1014.4,False,35.9,339,1.5,1326.188
0 days 00:23:06.187000,27.5,49.0,1014.4,False,35.9,2,1.8,1386.187
0 days 00:24:06.186000,27.5,49.0,1014.4,False,36.4,323,2.2,1446.186
0 days 00:25:06.186000,27.5,48.0,1014.4,False,36.4,295,2.0,1506.186
0 days 00:26:06.185000,27.5,48.0,1014.4,False,35.5,297,1.2,1566.185
0 days 00:27:06.200000,27.5,49.0,1014.4,False,35.8,294,1.3,1626.2
0 days 00:28:06.199000,27.5,49.0,1014.5,False,35.8,247,1.8,1686.199
0 days 00:29:06.198000,27.5,48.0,1014.5,False,35.8,317,1.8,1746.198
0 days 00:30:06.198000,27.5,48.0,1014.5,False,35.6,282,2.0,1806.198
0 days 00:31:06.197000,27.4,49.0,1014.5,False,35.6,256,1.8,1866.197
0 days 00:32:06.196000,27.4,49.0,1014.5,False,35.6,256,1.8,1926.196
0 days 00:33:06.196000,27.4,49.0,1014.7,False,35.5,275,2.0,1986.196
0 days 00:34:06.195000,27.4,49.0,1014.5,False,35.5,343,1.7,2046.195
0 days 00:35:06.194000,27.4,49.0,1014.5,False,35.5,250,1.7,2106.194
0 days 00:36:06.194000,27.4,49.0,1014.5,False,35.4,281,2.2,2166.194
0 days 00:37:06.209000,27.3,50.0,1014.5,False,35.4,301,2.4,2226.209
0 days 00:38:06.208000,27.3,50.0,1014.7,False,35.3,278,2.0,2286.208
0 days 00:39:06.207000,27.3,50.0,1014.5,False,35.1,297,1.2,2346.207
0 days 00:40:06.207000,27.3,49.0,1014.5,False,35.1,325,2.2,2406.207
0 days 00:41:06.206000,27.3,48.0,1014.7,False,34.8,314,2.2,2466.206
0 days 00:42:06.205000,27.3,49.0,1014.7,False,34.8,284,2.0,2526.205
0 days 00:43:06.205000,27.3,48.0,1014.7,False,34.7,308,1.7,2586.205
0 days 00:44:06.204000,27.3,48.0,1014.7,False,34.7,297,2.2,2646.204
0 days 00:45:06.203000,27.3,49.0,1014.7,False,34.6,271,1.7,2706.203
0 days 00:46:06.202000,27.3,49.0,1014.7,False,34.6,275,1.8,2766.202
0 days 00:47:06.202000,27.3,50.0,1014.7,False,34.4,269,2.0,2826.202
0 days 00:48:06.201000,27.3,49.0,1014.7,False,34.3,269,1.7,2886.201
0 days 00:49:06.200000,27.3,49.0,1014.7,False,34.3,308,1.8,2946.2
0 days 00:50:06.200000,27.3,49.0,1014.7,False,34.4,271,1.8,3006.2
0 days 00:51:06.215000,27.3,50.0,1014.7,False,34.4,266,1.5,3066.215
0 days 00:52:06.214000,27.3,49.0,1014.7,False,34.4,265,1.8,3126.214
0 days 00:53:06.213000,27.3,49.0,1014.7,False,34.4,266,1.7,3186.213
0 days 00:54:06.213000,27.2,49.0,1014.7,False,34.3,286,1.5,3246.213
0 days 00:55:06.212000,27.2,49.0,1014.7,False,34.3,288,1.6,3306.212
0 days 00:56:06.211000,27.2,50.0,1014.7,False,34.0,257,1.8,3366.211
0 days 00:57:06.211000,27.2,49.0,1014.7,False,33.6,293,2.2,3426.211
0 days 00:58:06.210000,27.2,50.0,1014.7,False,33.7,273,1.7,3486.21
0 days 00:59:06.209000,27.2,50.0,1014.9,False,33.7,290,1.8,3546.209
0 days 01:00:06.224000,27.1,49.0,1014.9,False,33.7,284,2.0,3606.224
0 days 01:01:06.208000,27.1,49.0,1015.0,False,33.6,273,1.8,3666.208
0 days 01:02:06.223000,27.0,49.0,1014.9,False,33.6,309,2.2,3726.223
0 days 01:03:06.222000,27.1,49.0,1014.7,False,33.6,345,2.0,3786.222
0 days 01:04:06.221000,27.0,49.0,1014.7,False,33.6,263,2.4,3846.221
0 days 01:05:06.221000,27.0,51.0,1014.9,False,33.4,359,1.7,3906.221
0 days 01:06:06.220000,27.1,49.0,1014.9,False,33.7,344,1.7,3966.22
0 days 01:07:06.219000,27.0,50.0,1014.9,False,33.7,313,2.2,4026.219
0 days 01:08:06.219000,27.0,50.0,1014.9,False,33.2,262,1.8,4086.219
0 days 01:09:06.218000,27.0,50.0,1014.7,False,33.1,273,2.4,4146.218
0 days 01:10:06.217000,27.0,50.0,1014.9,False,33.0,275,2.5,4206.217
0 days 01:11:06.217000,27.0,50.0,1014.9,False,33.0,264,1.7,4266.217
0 days 01:12:06.216000,27.0,51.0,1014.9,False,33.2,276,2.0,4326.216
0 days 01:13:06.231000,27.0,50.0,1015.0,False,33.1,289,2.0,4386.231
0 days 01:14:06.246000,26.9,51.0,1014.9,False,33.0,242,2.0,4446.246
0 days 01:15:06.261000,26.9,51.0,1014.9,False,32.8,278,2.0,4506.261
