RelativeTime_s,Speed,Throttle,Brake,nGear,RPM,DRS,Distance,RelativeDistance,X,Y,Driver,LapNumber,Compound,TyreLife
0.0,293.02857142857147,100.0,False,7,11483.142857142857,0,0.057852262806478816,1.1068498609041679e-05,-1199.7062192822268,-1328.4745605352232,1,49,HARD,41
0.1,293.02857142857147,100.0,False,7,11483.142857142857,0,0.057852262806478816,1.1068498609041679e-05,-1199.7062192822268,-1328.4745605352232,1,49,HARD,41
0.2,294.0,100.0,False,7,11454.0,0,11.18666666666667,0.0021402724531969534,-1298.8456244974172,-1234.1349163701107,1,49,HARD,41
0.3,294.0,100.0,False,7,11454.0,0,11.18666666666667,0.0021402724531969534,-1298.8456244974172,-1234.1349163701107,1,49,HARD,41
0.4,295.5312512,100.0,False,7,10836.9057664,0,31.329494355318914,0.005994069166383656,-1374.0,-1163.0,1,49,HARD,41
0.5,296.0,100.0,False,8,10648.0,0,37.49777777777778,0.007174206868344335,-1407.4117175353172,-1131.3083147277598,1,49,HARD,41
0.6,296.0,100.0,False,8,10648.0,0,37.49777777777778,0.007174206868344335,-1407.4117175353172,-1131.3083147277598,1,49,HARD,41
0.7,296.1136360727273,100.0,False,8,10598.090924218182,0,56.003559916624766,0.010714798263157063,-1554.0,-992.0,1,49,HARD,41
0.8,296.1136360727273,100.0,False,8,10598.090924218182,0,56.003559916624766,0.010714798263157063,-1554.0,-992.0,1,49,HARD,41
0.9,296.1136360727273,100.0,False,8,10598.090924218182,0,56.003559916624766,0.010714798263157063,-1554.0,-992.0,1,49,HARD,41
1.0,297.3863633454545,100.0,False,8,10531.909106036364,0,79.19572897991345,0.015152005704400506,-1782.0,-775.0,1,49,HARD,41
1.1,298.0,100.0,False,8,10500.0,0,90.36444444444444,0.017288843670401448,-1849.2812843066158,-710.9619150734176,1,49,HARD,41
1.2,298.0,100.0,False,8,10500.0,0,90.36444444444444,0.017288843670401448,-1849.2812843066158,-710.9619150734176,1,49,HARD,41
1.3,298.0,100.0,False,8,10500.0,0,90.36444444444444,0.017288843670401448,-1849.2812843066158,-710.9619150734176,1,49,HARD,41
1.4,298.0,100.0,False,8,10500.0,0,90.36444444444444,0.017288843670401448,-1849.2812843066158,-710.9619150734176,1,49,HARD,41
1.5,296.6136366545455,100.0,False,8,10475.738641454545,0,115.46253652602215,0.022090699013965334,-1985.0,-582.0,1,49,HARD,41
1.6,295.8749994666667,100.0,False,8,10463.4999936,0,130.23402121512808,0.024916831472807467,-2164.0,-412.0,1,49,HARD,41
1.7,295.8749994666667,100.0,False,8,10463.4999936,0,130.23402121512808,0.024916831472807467,-2164.0,-412.0,1,49,HARD,41
1.8,295.8749994666667,100.0,False,8,10463.4999936,0,130.23402121512808,0.024916831472807467,-2164.0,-412.0,1,49,HARD,41
1.9,295.0,100.0,False,8,10453.0,0,156.04222222222222,0.029854547356185306,-2376.1797621679407,-210.08164565033772,1,49,HARD,41
2.0,294.4687488,100.0,False,8,10465.2187776,0,162.9876847738143,0.03118337770545976,-2413.0,-175.0,1,49,HARD,41
2.1,294.0,100.0,False,8,10476.0,0,169.1088888888889,0.03235450802857269,-2439.9539903741243,-149.3192516621124,1,49,HARD,41
2.2,294.0,100.0,False,8,10476.0,0,169.1088888888889,0.03235450802857269,-2439.9539903741243,-149.3192516621124,1,49,HARD,41
2.3,294.0,100.0,False,8,10476.0,0,169.1088888888889,0.03235450802857269,-2439.9539903741243,-149.3192516621124,1,49,HARD,41
2.4,293.0,100.0,False,8,10384.0,0,195.15333333333334,0.03733742283816115,-2562.111059080496,-33.67712651281648,1,49,HARD,41
2.5,293.0,100.0,False,8,10384.0,0,195.15333333333334,0.03733742283816115,-2562.111059080496,-33.67712651281648,1,49,HARD,41
2.6,292.0,100.0,False,8,10310.0,0,208.13111111111112,0.03982037697536222,-2678.356852748203,75.74181355000776,1,49,HARD,41
2.7,291.5535707428571,100.0,False,8,10302.410702628571,0,218.24798952842144,0.041755973774132656,-2763.0,156.0,1,49,HARD,41
2.8,291.12499931428573,100.0,False,8,10295.124988342857,0,227.94106102112477,0.043610486339928395,-2833.0,223.0,1,49,HARD,41
2.9,291.0,100.0,False,8,10293.0,0,230.76444444444445,0.044150665997176076,-2857.427537154775,246.21865568774587,1,49,HARD,41
3.0,291.0,100.0,False,8,10293.0,0,230.76444444444445,0.044150665997176076,-2857.427537154775,246.21865568774587,1,49,HARD,41
3.1,291.0,100.0,False,8,10293.0,0,230.76444444444445,0.044150665997176076,-2857.427537154775,246.21865568774587,1,49,HARD,41
3.2,287.1047815428109,35.07969238018153,False,8,9918.409825033646,0,253.64603292635195,0.0485284520680833,-3093.0,468.0,1,49,HARD,41
3.3,285.0,0.0,True,8,9716.0,0,265.5186111111111,0.0507999555279105,-3153.7073452698505,525.1038355485754,1,49,HARD,41
3.4,285.0,0.0,True,8,9716.0,0,265.5186111111111,0.0507999555279105,-3153.7073452698505,525.1038355485754,1,49,HARD,41
3.5,261.4000128,0.0,True,8,9273.13995008,0,279.08596088068765,0.05339570865437469,-3202.0,571.0,1,49,HARD,41
3.6,261.4000128,0.0,True,8,9273.13995008,0,279.08596088068765,0.05339570865437469,-3202.0,571.0,1,49,HARD,41
3.7,244.0,0.0,True,8,9341.0,0,290.8075,0.055638314788415334,-3286.8211865133926,652.1021475405795,1,49,HARD,41
3.8,233.49998933333333,0.0,True,8,9682.600347022222,0,298.7070929665824,0.05714969272803196,-3349.0,713.0,1,49,HARD,41
3.9,233.49998933333333,0.0,True,8,9682.600347022222,0,298.7070929665824,0.05714969272803196,-3349.0,713.0,1,49,HARD,41
4.0,213.61111608888888,0.0,True,8,10322.9999232,0,312.48220511867066,0.05978519568501764,-3435.0,804.0,1,49,HARD,41
4.1,213.61111608888888,0.0,True,8,10322.9999232,0,312.48220511867066,0.05978519568501764,-3435.0,804.0,1,49,HARD,41
4.2,201.16667164444445,0.0,True,8,10514.9999232,0,320.9746616491104,0.06141000236905275,-3493.0,872.0,1,49,HARD,41
4.3,201.16667164444445,0.0,True,8,10514.9999232,0,320.9746616491104,0.06141000236905275,-3493.0,872.0,1,49,HARD,41
4.4,184.76250176,0.67499904,True,5,10714.57504896,0,333.0424008000458,0.06371884471206053,-3576.0,989.0,1,49,HARD,41
4.5,184.76250176,0.67499904,True,5,10714.57504896,0,333.0424008000458,0.06371884471206053,-3576.0,989.0,1,49,HARD,41
