Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TimeSeconds
0 days 00:00:35.812000,17.1,53.0,1018.5,False,35.0,0,1.6,35.812
0 days 00:01:35.812000,17.2,52.0,1018.7,False,35.1,0,0.8,95.812
0 days 00:02:35.811000,17.2,52.0,1018.7,False,35.1,168,0.6,155.811
0 days 00:03:35.826000,17.3,51.0,1018.7,False,35.1,8,0.8,215.826
0 days 00:04:35.825000,17.3,51.0,1018.7,False,34.8,200,0.8,275.825
0 days 00:05:35.824000,17.3,51.0,1018.7,False,34.9,300,0.6,335.824
0 days 00:06:35.808000,17.3,51.0,1018.5,False,34.8,286,0.8,395.808
0 days 00:07:35.823000,17.3,51.0,1018.5,False,34.5,213,1.0,455.823
0 days 00:08:35.822000,17.2,52.0,1018.5,False,34.5,284,1.5,515.822
0 days 00:09:35.822000,17.2,51.0,1018.5,False,34.6,152,1.1,575.822
0 days 00:10:35.821000,17.3,52.0,1018.5,False,34.7,155,0.8,635.821
0 days 00:11:35.820000,17.1,53.0,1018.5,False,34.6,351,1.0,695.82
0 days 00:12:35.820000,17.1,50.0,1018.5,False,34.9,0,1.1,755.82
0 days 00:13:35.834000,17.1,51.0,1018.5,False,34.6,146,0.5,815.834
0 days 00:14:35.818000,17.2,51.0,1018.7,False,34.5,165,1.3,875.818
0 days 00:15:35.817000,17.3,51.0,1018.5,False,34.8,195,2.0,935.817
0 days 00:16:35.832000,17.2,52.0,1018.5,False,34.8,176,1.2,995.832
0 days 00:17:35.816000,17.2,52.0,1018.5,False,34.5,263,1.2,1055.816
0 days 00:18:35.815000,17.2,53.0,1018.5,False,34.5,64,1.2,1115.815
0 days 00:19:35.815000,17.2,53.0,1018.5,False,34.8,178,1.1,1175.815
0 days 00:20:35.814000,17.2,51.0,1018.5,False,34.8,151,1.1,1235.814
0 days 00:21:35.829000,17.1,52.0,1018.5,False,34.8,274,1.3,1295.829
0 days 00:22:35.813000,17.0,53.0,1018.5,False,34.5,0,0.8,1355.813
0 days 00:23:35.812000,17.2,53.0,1018.5,False,34.5,120,1.0,1415.812
0 days 00:24:35.811000,17.6,50.0,1018.5,False,34.8,67,0.6,1475.811
0 days 00:25:35.826000,17.7,50.0,1018.5,False,35.2,199,0.6,1535.826
0 days 00:26:35.810000,17.5,51.0,1018.5,False,34.7,54,0.4,1595.81
0 days 00:27:35.825000,17.5,51.0,1018.5,False,34.1,99,1.0,1655.825
0 days 00:28:35.824000,17.5,51.0,1018.5,False,34.1,0,1.1,1715.824
0 days 00:29:35.823000,17.6,51.0,1018.5,False,34.5,249,1.0,1775.823
0 days 00:30:35.823000,17.5,51.0,1018.5,False,34.5,185,0.8,1835.823
0 days 00:31:35.822000,17.5,52.0,1018.7,False,34.2,95,0.8,1895.822
0 days 00:32:35.821000,17.2,52.0,1018.5,False,34.2,262,1.2,1955.821
