Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TimeSeconds
0 days 00:00:23.484000,17.0,66.0,966.5,False,26.3,83,2.5,23.484
0 days 00:01:23.452000,17.0,65.0,966.5,False,26.5,269,1.3,83.452
0 days 00:02:23.467000,17.0,66.0,966.5,False,26.6,81,1.2,143.467
0 days 00:03:23.467000,17.0,66.0,966.5,False,26.6,92,0.6,203.467
0 days 00:04:23.466000,17.0,65.0,966.4,False,27.1,215,1.2,263.466
0 days 00:05:23.450000,17.1,65.0,966.4,False,27.0,133,1.5,323.45
0 days 00:06:23.464000,17.1,65.0,966.4,False,27.0,108,2.0,383.464
0 days 00:07:23.464000,17.1,64.0,966.4,False,27.3,158,1.8,443.464
0 days 00:08:23.479000,17.1,64.0,966.5,False,27.1,1,1.3,503.479
0 days 00:09:23.478000,17.2,63.0,966.5,False,27.1,127,0.8,563.478
0 days 00:10:23.493000,17.2,63.0,966.5,False,27.2,86,1.7,623.493
0 days 00:11:23.524000,17.3,62.0,966.5,False,27.9,111,1.1,683.524
0 days 00:12:23.507000,17.3,63.0,966.5,False,28.0,100,1.0,743.507
0 days 00:13:23.538000,17.4,63.0,966.5,False,28.0,42,2.5,803.538
0 days 00:14:23.522000,17.4,63.0,966.5,False,27.5,146,2.2,863.522
0 days 00:15:23.552000,17.5,63.0,966.5,False,27.4,135,2.0,923.552
0 days 00:16:23.551000,17.4,63.0,966.5,False,27.4,71,1.8,983.551
0 days 00:17:23.551000,17.7,62.0,966.4,False,27.8,149,1.1,1043.551
0 days 00:18:23.550000,17.7,61.0,966.5,False,27.8,228,2.0,1103.55
0 days 00:19:23.550000,17.8,62.0,966.5,False,27.8,187,1.7,1163.55
0 days 00:20:23.549000,17.8,62.0,966.5,False,27.6,264,0.8,1223.549
0 days 00:21:23.548000,17.6,62.0,966.5,False,27.7,0,0.8,1283.548
0 days 00:22:23.547000,17.6,63.0,966.5,False,28.0,193,0.5,1343.547
0 days 00:23:23.563000,17.5,63.0,966.5,False,28.2,110,0.8,1403.563
0 days 00:24:23.546000,17.5,63.0,966.5,False,28.3,134,1.6,1463.546
0 days 00:25:23.561000,17.5,62.0,966.5,False,28.2,159,1.8,1523.561
0 days 00:26:23.576000,17.5,62.0,966.5,False,27.7,14,2.0,1583.576
0 days 00:27:23.544000,17.5,62.0,966.5,False,27.5,107,0.4,1643.544
0 days 00:28:23.543000,17.4,63.0,966.5,False,27.4,35,0.8,1703.543
0 days 00:29:23.558000,17.4,62.0,966.5,False,27.7,136,1.7,1763.558
0 days 00:30:23.558000,17.5,63.0,966.7,False,28.0,89,2.0,1823.558
0 days 00:31:23.541000,17.6,63.0,966.5,False,28.2,136,1.1,1883.541
0 days 00:32:23.572000,17.7,62.0,966.5,False,28.2,110,2.0,1943.572
0 days 00:33:23.540000,17.7,62.0,966.5,False,28.1,123,2.4,2003.54
0 days 00:34:23.539000,17.7,63.0,966.5,False,27.7,115,1.7,2063.539
0 days 00:35:23.570000,17.7,62.0,966.5,False,27.4,330,1.2,2123.57
0 days 00:36:23.554000,17.7,63.0,966.5,False,27.2,83,0.6,2183.554
0 days 00:37:23.553000,17.7,63.0,966.5,False,27.1,133,1.1,2243.553
0 days 00:38:23.552000,17.7,63.0,966.5,False,27.1,48,1.2,2303.552
0 days 00:39:23.552000,17.7,62.0,966.5,False,26.6,94,1.5,2363.552
0 days 00:40:23.567000,17.7,62.0,966.7,False,26.6,94,1.0,2423.567
0 days 00:41:23.550000,17.7,62.0,966.7,True,26.7,0,1.2,2483.55
0 days 00:42:23.565000,17.7,62.0,966.5,False,26.7,127,0.8,2543.565
0 days 00:43:23.565000,17.5,62.0,966.7,False,26.5,139,1.6,2603.565
0 days 00:44:23.564000,17.5,63.0,966.7,False,26.5,135,1.5,2663.564
0 days 00:45:23.563000,17.5,63.0,966.7,False,26.6,131,0.8,2723.563
0 days 00:46:23.594000,17.5,63.0,966.7,False,26.6,200,2.7,2783.594
0 days 00:47:23.562000,17.6,62.0,966.7,False,27.2,338,1.7,2843.562
0 days 00:48:23.561000,17.6,63.0,966.7,False,27.5,161,0.8,2903.561
0 days 00:49:23.576000,17.7,63.0,966.5,False,28.4,79,0.8,2963.576
0 days 00:50:23.576000,17.8,62.0,966.7,False,28.5,106,1.7,3023.576
0 days 00:51:23.559000,17.9,63.0,966.7,False,28.4,108,1.0,3083.559
0 days 00:52:23.559000,17.9,62.0,966.5,False,28.6,118,1.5,3143.559
0 days 00:53:23.574000,17.9,62.0,966.5,False,28.6,157,1.8,3203.574
0 days 00:54:23.604000,18.0,61.0,966.5,False,28.3,149,2.0,3263.604
0 days 00:55:23.650000,18.0,62.0,966.5,False,27.9,111,2.5,3323.65
0 days 00:56:23.618000,18.0,62.0,966.5,False,27.9,209,1.7,3383.618
0 days 00:57:23.618000,18.1,61.0,966.5,False,27.7,38,1.2,3443.618
0 days 00:58:23.617000,18.0,61.0,966.5,False,27.4,109,1.1,3503.617
0 days 00:59:23.616000,18.0,61.0,966.5,False,27.0,204,0.8,3563.616
0 days 01:00:23.631000,18.0,61.0,966.7,False,27.0,131,0.8,3623.631
0 days 01:01:23.615000,18.0,63.0,966.5,False,27.4,147,1.7,3683.615
0 days 01:02:23.614000,18.1,59.0,966.5,False,29.7,141,4.5,3743.614
0 days 01:03:23.614000,18.0,58.0,966.7,False,29.2,165,3.0,3803.614
0 days 01:04:23.613000,18.0,59.0,966.7,False,28.6,150,2.7,3863.613
0 days 01:05:23.628000,18.0,60.0,966.7,False,28.7,132,2.9,3923.628
0 days 01:06:23.643000,18.0,58.0,966.7,False,29.0,23,0.8,3983.643
0 days 01:07:23.658000,18.1,58.0,966.5,False,29.4,103,2.4,4043.658
0 days 01:08:23.673000,18.1,58.0,966.5,False,30.1,306,2.0,4103.673
0 days 01:09:23.688000,18.1,57.0,966.5,False,30.1,235,1.7,4163.688
0 days 01:10:23.687000,18.1,57.0,966.5,False,30.4,126,2.0,4223.687
0 days 01:11:23.687000,18.1,57.0,966.5,False,30.6,132,1.2,4283.687
0 days 01:12:23.702000,18.1,57.0,966.5,False,31.4,95,1.5,4343.702
0 days 01:13:23.701000,18.1,57.0,966.5,False,31.5,13,1.8,4403.701
0 days 01:14:23.700000,18.1,57.0,966.5,False,31.5,110,0.8,4463.7
0 days 01:15:23.715000,18.1,58.0,966.5,False,30.7,104,1.8,4523.715
0 days 01:16:23.699000,18.1,58.0,966.5,False,30.6,112,1.2,4583.699
0 days 01:17:23.698000,18.1,57.0,966.5,False,30.2,136,2.7,4643.698
0 days 01:18:23.698000,18.1,57.0,966.7,False,30.1,311,2.2,4703.698
0 days 01:19:23.697000,18.2,57.0,966.5,False,29.6,283,3.0,4763.697
0 days 01:20:23.712000,18.2,58.0,966.7,False,29.6,168,1.7,4823.712
0 days 01:21:23.711000,18.2,59.0,966.7,False,29.8,67,1.8,4883.711
0 days 01:22:23.726000,18.3,58.0,966.7,False,29.9,266,1.2,4943.726
0 days 01:23:23.741000,18.1,60.0,966.7,False,29.5,128,1.2,5003.741
0 days 01:24:23.756000,18.2,60.0,966.7,False,29.2,159,2.5,5063.756
0 days 01:25:23.787000,18.0,60.0,966.7,False,29.1,349,1.7,5123.787
0 days 01:26:23.755000,18.1,60.0,966.7,False,28.8,21,1.1,5183.755
0 days 01:27:23.754000,18.0,60.0,966.9,False,28.4,305,1.0,5243.754
0 days 01:28:23.785000,17.9,61.0,966.7,False,28.4,61,0.8,5303.785
0 days 01:29:23.784000,18.0,61.0,966.7,False,28.3,93,2.7,5363.784
0 days 01:30:23.783000,18.0,61.0,966.7,False,28.3,111,1.5,5423.783
0 days 01:31:23.783000,18.2,61.0,966.7,False,28.3,55,1.0,5483.783
0 days 01:32:23.798000,18.3,61.0,966.7,False,28.8,113,1.2,5543.798
0 days 01:33:23.828000,18.2,61.0,966.7,False,28.8,133,2.4,5603.828
0 days 01:34:23.812000,18.3,61.0,966.7,False,28.7,39,2.9,5663.812
0 days 01:35:23.811000,18.2,61.0,966.7,False,28.3,144,1.0,5723.811
0 days 01:36:23.811000,18.1,61.0,966.7,False,28.2,144,3.0,5783.811
0 days 01:37:23.826000,18.0,61.0,966.7,False,27.9,134,0.8,5843.826
0 days 01:38:23.825000,17.9,62.0,966.7,False,27.8,144,1.2,5903.825
0 days 01:39:23.855000,17.9,62.0,966.7,True,27.5,37,0.3,5963.855
0 days 01:40:23.855000,17.7,63.0,966.7,True,27.4,117,1.0,6023.855
0 days 01:41:23.838000,17.7,63.0,966.7,True,27.2,55,1.5,6083.838
0 days 01:42:23.838000,17.6,63.0,966.9,True,27.2,111,1.5,6143.838
0 days 01:43:23.931000,17.5,65.0,966.9,True,26.0,123,1.5,6203.931
0 days 01:44:23.852000,17.4,65.0,967.0,True,25.6,179,1.7,6263.852
0 days 01:45:23.851000,17.3,65.0,966.9,True,25.3,336,1.3,6323.851
0 days 01:46:23.851000,17.1,66.0,967.0,True,25.1,84,1.7,6383.851
0 days 01:47:23.850000,17.1,67.0,966.9,True,25.0,140,2.2,6443.85
0 days 01:48:23.849000,17.0,68.0,966.9,True,25.0,128,1.7,6503.849
0 days 01:49:23.849000,17.0,68.0,966.9,False,25.0,96,1.5,6563.849
0 days 01:50:23.848000,16.9,69.0,966.9,False,25.0,103,1.1,6623.848
0 days 01:51:23.863000,16.8,69.0,966.9,False,25.6,71,1.7,6683.863
0 days 01:52:23.847000,16.9,67.0,966.9,False,25.9,107,1.0,6743.847
0 days 01:53:23.846000,16.9,69.0,966.7,False,26.1,211,1.0,6803.846
0 days 01:54:23.877000,17.0,69.0,966.7,False,26.9,106,0.8,6863.877
0 days 01:55:23.860000,17.1,68.0,966.7,False,27.9,51,1.7,6923.86
0 days 01:56:23.844000,17.3,66.0,966.7,False,27.9,78,1.6,6983.844
0 days 01:57:23.859000,17.4,66.0,966.7,False,29.3,94,1.0,7043.859
0 days 01:58:23.874000,17.6,66.0,966.7,False,29.5,171,1.8,7103.874
0 days 01:59:23.858000,17.6,66.0,966.7,False,30.3,146,1.1,7163.858
0 days 02:00:23.857000,17.7,65.0,966.7,False,30.6,164,1.6,7223.857
0 days 02:01:23.857000,18.0,63.0,966.7,False,31.0,178,1.7,7283.857
0 days 02:02:23.856000,18.1,62.0,966.7,False,31.0,135,2.4,7343.856
0 days 02:03:23.886000,18.3,61.0,966.7,False,31.1,122,2.7,7403.886
0 days 02:04:23.870000,18.4,61.0,966.7,False,31.0,355,2.0,7463.87
0 days 02:05:23.885000,18.5,62.0,966.7,False,30.0,68,1.3,7523.885
0 days 02:06:23.869000,18.5,61.0,966.7,False,29.7,37,1.3,7583.869
0 days 02:07:23.853000,18.4,61.0,966.7,False,29.3,65,0.6,7643.853
0 days 02:08:23.868000,18.4,60.0,966.9,False,29.3,79,0.8,7703.868
0 days 02:09:23.867000,18.5,60.0,966.7,False,30.1,77,1.0,7763.867
0 days 02:10:23.882000,18.8,59.0,966.7,False,30.7,43,1.7,7823.882
0 days 02:11:23.881000,18.8,59.0,966.7,False,30.7,106,1.3,7883.881
0 days 02:12:23.881000,18.9,59.0,966.7,False,30.0,25,1.2,7943.881
0 days 02:13:23.895000,18.8,60.0,966.7,False,29.1,141,1.7,8003.895
0 days 02:14:23.879000,18.8,60.0,966.7,False,29.1,203,2.0,8063.879
0 days 02:15:23.941000,18.7,62.0,966.5,False,28.8,223,2.5,8123.941
0 days 02:16:23.909000,18.8,62.0,966.5,False,28.8,94,1.7,8183.909
0 days 02:17:23.908000,18.8,61.0,966.7,False,28.8,111,1.6,8243.908
0 days 02:18:23.923000,18.9,62.0,966.7,False,29.0,149,1.5,8303.923
0 days 02:19:23.907000,19.0,61.0,966.7,False,29.9,108,1.2,8363.907
0 days 02:20:23.922000,19.0,60.0,966.7,False,30.0,89,1.5,8423.922
0 days 02:21:23.921000,19.1,59.0,966.5,False,29.7,155,1.5,8483.921
0 days 02:22:23.905000,19.2,59.0,966.7,False,29.3,119,2.2,8543.905
0 days 02:23:23.920000,19.1,60.0,966.7,False,28.9,110,1.2,8603.92
0 days 02:24:23.919000,18.8,61.0,966.7,False,28.4,156,1.2,8663.919
0 days 02:25:23.919000,18.9,61.0,966.7,False,28.4,186,3.2,8723.919
0 days 02:26:23.918000,18.7,61.0,966.7,False,28.3,133,2.0,8783.918
0 days 02:27:23.917000,18.7,61.0,966.7,False,28.0,104,3.5,8843.917
0 days 02:28:23.917000,18.5,59.0,966.7,False,27.9,191,3.5,8903.917
0 days 02:29:23.916000,18.5,61.0,966.7,False,27.7,0,2.0,8963.916
