Driver,LapNumber,Compound,TyreLife,LapTimeSeconds
1,68,MEDIUM,26.0,75.594
14,62,HARD,21.0,75.779
44,47,MEDIUM,7.0,75.396
16,47,HARD,8.0,75.907
55,47,HARD,9.0,75.911
11,70,SOFT,2.0,74.481
23,68,HARD,56.0,76.917
31,63,HARD,27.0,76.782
18,58,HARD,31.0,76.564
77,52,MEDIUM,16.0,76.625
81,59,HARD,22.0,76.598
10,67,HARD,34.0,76.425
4,65,HARD,31.0,76.374
22,68,None,,76.666
27,37,HARD,6.0,77.232
24,58,HARD,26.0,77.09
20,55,MEDIUM,2.0,76.126
21,52,HARD,2.0,76.656
63,44,HARD,32.0,77.097
2,4,MEDIUM,4.0,78.437
