RelativeTime_s,Speed,Throttle,Brake,nGear,RPM,DRS,Distance,RelativeDistance,X,Y,Driver,LapNumber,Compound,TyreLife,Speed_mps,VX,VY,AX_long,AY_lat,Jerk_long,Jerk_lat,TireEnergyProxy
0.0,288.2437504,100.0,False,7,11354.3656256,0,0.0127225718426906,3.0056080370693456e-06,-133.02454597204638,2127.550804515416,1,58,SOFT,10,80.02652254234654,265.36735487835927,685.3668516319613,147.2797126144774,-1.40572437436424,736.4024780679506,-6.614372794414784,10927.596254538284
0.1,288.2437504,100.0,False,7,11354.3656256,0,0.0127225718426906,3.0056080370693456e-06,-133.02454597204638,2127.550804515416,1,58,SOFT,10,80.17604465330227,270.554092777669,699.1520120609175,220.91996042127246,-2.0671616538057185,736.4059560386162,-6.2314447893558516,27644.38998347694
0.2,289.35,100.0,False,7,11356.025,0,14.261628984752097,0.0033691982429558,-78.0,2270.0,1,58,SOFT,10,80.32378533354056,280.92756857628825,726.7223329188278,294.56090382220066,-2.6520133322354105,368.2089868396677,-2.4412057724359304,50801.17988108042
0.3,290.0,100.0,False,7,11357.0,0,22.65777777777777,0.0053527226910608,-49.626382310090655,2343.0367015814027,1,58,SOFT,10,80.4697445830614,291.3010443749076,754.292653776738,294.561757789206,-2.5554028082929046,2070.648165309108,-3.725006578401253,74825.70137105783
0.4,290.0,100.0,False,7,11357.0,0,22.65777777777777,0.0053527226910608,-49.626382310090655,2343.0367015814027,1,58,SOFT,10,80.61392240186483,301.67452017352736,781.8629746346892,708.6905368840223,-3.397014647915661,2145.6815774315296,-5.150071005096422,134501.74933723675
0.5,290.78,100.0,False,7,11432.27,0,35.28517085595834,0.0083358454898383,-2.0,2466.0,1,58,SOFT,10,80.75631878995107,341.6893188947183,886.7734994187231,723.698073275512,-3.585417009312189,-6214.962099323957,2.0234999937166487,203617.3644752726
0.6,290.78,100.0,False,7,11432.27,0,35.28517085595834,0.0083358454898383,-2.0,2466.0,1,58,SOFT,10,80.92114412432039,353.04647892447326,917.1810891397467,-534.301882980769,-2.9923146491723314,-9347.703143903169,10.136572146703626,256421.73961940585
0.7,292.1,100.0,False,7,11543.3,0,56.40376168693098,0.0133249473096578,108.0,2753.0,1,58,SOFT,10,81.05027195027222,302.7432159942102,787.2611920742884,-1145.842555505122,-1.5581025799714636,-344.41617310968695,30.48387904063592,353200.99868829607
0.8,292.1,100.0,False,7,11543.3,0,56.40376168693098,0.0133249473096578,108.0,2753.0,1,58,SOFT,10,81.16235431235458,270.50064999381425,703.395005135767,-603.1851176027064,3.104461158954853,4134.096184523909,46.843308369434595,398891.8733473403
0.9,293.0,100.0,False,7,11483.0,0,68.12444444444444,0.0160938668906592,134.85697375372996,2822.4583989502903,1,58,SOFT,10,81.26745338741286,260.0215702420512,674.4403698148926,-319.0233186003401,7.810559093915456,-1384.997846354604,36.6488073003851,422516.3572552825
