RelativeTime_s,Speed,Throttle,Brake,nGear,RPM,DRS,Distance,RelativeDistance,X,Y,Driver,LapNumber,Compound,TyreLife
0.0,309.6874992,100.0,False,8,11012.8437048,0,0.029496051571176185,5.1149614130587755e-06,-1382.175606515315,-780.1109057604731,1,33,HARD,13
0.1,309.6874992,100.0,False,8,11012.8437048,0,0.029496051571176185,5.1149614130587755e-06,-1382.175606515315,-780.1109057604731,1,33,HARD,13
0.2,310.3312496,100.0,False,8,11049.2156024,0,8.92797874351548,0.00154821626411569,-1376.0,-705.0,1,33,HARD,13
0.3,311.6,100.0,False,8,11100.4,0,24.461393531087865,0.004241892638383709,-1363.0,-550.0,1,33,HARD,13
0.4,311.6,100.0,False,8,11100.4,0,24.461393531087865,0.004241892638383709,-1363.0,-550.0,1,33,HARD,13
0.5,311.6,100.0,False,8,11100.4,0,24.461393531087865,0.004241892638383709,-1363.0,-550.0,1,33,HARD,13
0.6,314.0,100.0,False,8,11154.0,0,49.602777777777774,0.008601703645032734,-1328.4804565215245,-165.8709599164039,1,33,HARD,13
0.7,314.0,100.0,False,8,11154.0,0,49.602777777777774,0.008601703645032734,-1328.4804565215245,-165.8709599164039,1,33,HARD,13
0.8,315.0,100.0,False,8,11169.0,0,67.10277777777779,0.011636408968642875,-1319.031755540542,-61.308769713435794,1,33,HARD,13
0.9,315.0,100.0,False,8,11169.0,0,67.10277777777779,0.011636408968642875,-1319.031755540542,-61.308769713435794,1,33,HARD,13
1.0,316.44166613333334,100.0,False,8,11235.888881777777,0,85.82054167025034,0.014882288838960816,-1309.0,57.0,1,33,HARD,13
1.1,317.1,100.0,False,8,11244.666666666666,0,92.80886434219035,0.016094145982711777,-1303.0,128.0,1,33,HARD,13
1.2,317.1,100.0,False,8,11244.666666666666,0,92.80886434219035,0.016094145982711777,-1303.0,128.0,1,33,HARD,13
1.3,319.0,100.0,False,8,11270.0,0,113.04722222222225,0.019603714691263777,-1284.9765469063552,326.3126465613499,1,33,HARD,13
1.4,319.0,100.0,False,8,11270.0,0,113.04722222222225,0.019603714691263777,-1284.9765469063552,326.3126465613499,1,33,HARD,13
1.5,319.0,100.0,False,8,11277.125,0,126.52319386402951,0.02194060628453302,-1274.0,462.0,1,33,HARD,13
1.6,319.0,100.0,False,8,11277.125,0,126.52319386402951,0.02194060628453302,-1274.0,462.0,1,33,HARD,13
1.7,319.0,100.0,False,8,11285.0,0,141.4027777777778,0.024520900714027634,-1258.9033472106598,638.0987952242499,1,33,HARD,13
1.8,319.0,100.0,False,8,11285.0,0,155.58055555555558,0.02697949372540956,-1244.015063026383,806.4711462701107,1,33,HARD,13
1.9,319.4875,100.0,False,8,11296.2125,0,160.2102115347966,0.027782330390934484,-1240.0,852.0,1,33,HARD,13
2.0,319.4875,100.0,False,8,11296.2125,0,160.2102115347966,0.027782330390934484,-1240.0,852.0,1,33,HARD,13
2.1,322.0,100.0,False,8,11354.0,0,184.20277777777778,0.03194292287691414,-1223.8681931637805,1037.34659270989,1,33,HARD,13
2.2,322.0,100.0,False,8,11366.35,0,188.8536289168983,0.03274943503184027,-1220.0,1083.0,1,33,HARD,13
2.3,322.0,100.0,False,8,11392.0,0,198.5138888888889,0.03442463745266643,-1210.309747117058,1198.4381459208348,1,33,HARD,13
2.4,322.0,100.0,False,8,11392.0,0,198.5138888888889,0.03442463745266643,-1210.309747117058,1198.4381459208348,1,33,HARD,13
2.5,322.86,100.0,False,8,11418.23,0,213.9595621783978,0.037103098421718744,-1193.0,1404.0,1,33,HARD,13
2.6,322.86,100.0,False,8,11418.23,0,213.9595621783978,0.037103098421718744,-1193.0,1404.0,1,33,HARD,13
2.7,324.0,100.0,False,8,11453.0,0,234.5138888888889,0.04066745983266443,-1173.8423250596106,1622.0380430912955,1,33,HARD,13
2.8,324.0,100.0,False,8,11453.0,0,234.5138888888889,0.04066745983266443,-1173.8423250596106,1622.0380430912955,1,33,HARD,13
2.9,324.54285714285714,100.0,False,8,11473.628571428571,0,248.23527705255862,0.04304690953024212,-1163.0,1745.0,1,33,HARD,13
3.0,325.0,100.0,False,8,11491.0,0,259.79166666666674,0.045050923077879085,-1154.7982261415982,1840.8716029249408,1,33,HARD,13
