Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TimeSeconds
0 days 00:00:06.635000,18.1,45.0,940.2,False,20.3,227,2.5,6.635
0 days 00:01:06.634000,18.0,46.0,940.2,False,19.5,246,2.9,66.634
0 days 00:02:06.633000,18.1,46.0,940.0,False,19.1,227,1.7,126.633
0 days 00:03:06.632000,18.1,46.0,940.0,False,19.0,232,1.5,186.632
0 days 00:04:06.631000,18.0,45.0,940.0,False,18.9,217,2.0,246.631
0 days 00:05:06.630000,18.1,45.0,940.2,False,18.8,203,2.2,306.63
0 days 00:06:06.645000,18.0,45.0,940.2,False,18.8,185,2.2,366.645
0 days 00:07:06.644000,18.1,46.0,940.2,False,18.9,239,2.5,426.644
0 days 00:08:06.658000,18.0,46.0,940.2,False,18.8,206,2.7,486.658
0 days 00:09:06.642000,17.9,46.0,940.2,False,18.5,212,2.7,546.642
0 days 00:10:06.640000,17.9,46.0,940.0,False,18.4,228,1.3,606.64
0 days 00:11:06.639000,17.9,47.0,940.2,False,18.5,220,1.6,666.639
0 days 00:12:06.638000,17.9,47.0,940.0,False,18.5,232,2.0,726.638
0 days 00:13:06.653000,17.9,46.0,940.0,False,18.6,232,1.3,786.653
0 days 00:14:06.652000,17.9,47.0,940.0,False,18.5,223,2.7,846.652
0 days 00:15:06.651000,18.0,47.0,940.0,False,18.3,245,2.5,906.651
0 days 00:16:06.650000,18.0,47.0,940.0,False,18.3,202,3.5,966.65
0 days 00:17:06.649000,18.0,47.0,940.0,False,18.3,225,2.2,1026.649
0 days 00:18:06.648000,18.0,47.0,940.0,False,18.3,230,2.5,1086.648
0 days 00:19:06.647000,18.0,47.0,940.0,False,18.3,209,2.2,1146.647
0 days 00:20:06.645000,18.1,47.0,940.0,False,18.3,228,1.3,1206.645
0 days 00:21:06.644000,18.1,47.0,940.0,False,18.2,220,2.2,1266.644
0 days 00:22:06.643000,18.1,47.0,940.0,False,18.3,207,3.2,1326.643
0 days 00:23:06.642000,18.1,47.0,939.9,False,18.2,160,3.0,1386.642
0 days 00:24:06.641000,18.1,47.0,939.9,False,18.2,240,1.7,1446.641
0 days 00:25:06.656000,18.0,47.0,940.0,False,18.2,219,2.2,1506.656
0 days 00:26:06.655000,18.0,47.0,940.0,False,18.2,217,3.5,1566.655
0 days 00:27:06.654000,18.0,47.0,939.9,False,18.1,214,3.7,1626.654
0 days 00:28:06.653000,18.0,47.0,939.9,False,18.1,220,2.2,1686.653
0 days 00:29:06.652000,18.0,47.0,940.0,False,18.2,223,2.4,1746.652
0 days 00:30:06.651000,18.0,47.0,940.0,False,18.2,227,3.4,1806.651
0 days 00:31:06.650000,18.1,47.0,939.9,False,18.1,206,2.7,1866.65
0 days 00:32:06.648000,18.1,47.0,939.9,False,18.1,197,2.4,1926.648
0 days 00:33:06.663000,18.1,47.0,939.9,False,18.1,216,2.7,1986.663
0 days 00:34:06.662000,18.1,48.0,939.9,False,18.0,224,2.5,2046.662
0 days 00:35:06.661000,18.1,48.0,940.0,False,17.9,234,2.7,2106.661
0 days 00:36:06.660000,18.1,48.0,939.9,False,17.8,244,3.2,2166.66
0 days 00:37:06.674000,18.1,48.0,939.9,False,17.8,228,2.5,2226.674
0 days 00:38:06.673000,18.1,48.0,939.9,False,17.8,190,2.0,2286.673
0 days 00:39:06.672000,18.1,49.0,939.9,False,17.8,235,0.8,2346.672
0 days 00:40:06.687000,18.2,48.0,939.9,False,17.9,255,1.7,2406.687
0 days 00:41:06.717000,18.2,48.0,939.9,False,17.9,232,2.7,2466.717
0 days 00:42:06.716000,18.2,48.0,939.9,False,17.9,233,2.2,2526.716
0 days 00:43:06.715000,18.2,48.0,939.9,False,17.9,255,2.2,2586.715
0 days 00:44:06.729000,18.2,48.0,939.9,False,17.9,243,2.2,2646.729
0 days 00:45:06.744000,18.1,48.0,939.9,False,17.9,242,2.0,2706.744
0 days 00:46:06.743000,18.2,48.0,939.9,False,17.9,239,2.2,2766.743
0 days 00:47:06.757000,18.1,48.0,940.0,False,17.9,226,2.7,2826.757
0 days 00:48:06.756000,18.1,48.0,939.9,False,17.8,210,3.0,2886.756
0 days 00:49:06.755000,18.1,48.0,939.9,False,17.8,213,2.5,2946.755
0 days 00:50:06.754000,18.1,48.0,939.7,False,17.9,227,2.5,3006.754
0 days 00:51:06.784000,18.0,48.0,939.9,False,17.9,238,2.2,3066.784
0 days 00:52:06.783000,18.0,48.0,939.9,False,17.9,231,3.2,3126.783
0 days 00:53:06.782000,18.0,48.0,939.7,False,17.8,222,3.4,3186.782
0 days 00:54:06.797000,18.0,48.0,939.7,False,17.7,230,2.2,3246.797
0 days 00:55:06.796000,18.0,48.0,939.7,False,17.7,242,2.4,3306.796
0 days 00:56:06.795000,18.0,48.0,939.7,False,17.8,204,2.5,3366.795
0 days 00:57:06.794000,18.0,48.0,939.7,False,17.8,239,3.2,3426.794
0 days 00:58:06.793000,18.0,48.0,939.7,False,17.9,220,2.5,3486.793
0 days 00:59:06.792000,18.0,48.0,939.7,False,17.9,237,2.7,3546.792
0 days 01:00:06.807000,18.1,48.0,939.7,False,17.8,241,2.4,3606.807
0 days 01:01:06.805000,18.1,48.0,939.7,False,17.7,224,3.5,3666.805
0 days 01:02:06.804000,18.0,48.0,939.7,False,17.8,227,2.0,3726.804
0 days 01:03:06.803000,18.1,48.0,939.7,False,17.8,251,3.2,3786.803
