Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TimeSeconds
0 days 00:00:53.040000,24.7,31.0,781.2,False,47.3,278,1.0,53.04
0 days 00:01:53.039000,24.7,30.0,781.0,False,47.3,289,2.5,113.039
0 days 00:02:53.038000,24.5,29.0,781.2,False,47.2,281,1.7,173.038
0 days 00:03:53.037000,24.5,30.0,781.0,False,47.3,275,1.6,233.037
0 days 00:04:53.036000,24.6,27.0,781.2,False,47.5,257,2.0,293.036
0 days 00:05:53.035000,24.6,26.0,781.0,False,47.6,268,1.2,353.035
0 days 00:06:53.050000,24.4,28.0,781.0,False,47.6,277,2.2,413.05
0 days 00:07:53.049000,24.1,28.0,781.0,False,47.6,288,1.6,473.049
0 days 00:08:53.047000,24.2,29.0,781.0,False,47.1,269,1.1,533.047
0 days 00:09:53.046000,24.2,29.0,781.0,False,47.2,273,2.0,593.046
0 days 00:10:53.045000,24.4,27.0,781.0,False,47.2,271,2.2,653.045
0 days 00:11:53.044000,24.5,28.0,781.0,False,47.0,23,1.6,713.044
0 days 00:12:53.059000,24.5,29.0,781.0,False,46.7,199,1.0,773.059
0 days 00:13:53.042000,24.6,29.0,780.9,False,46.6,286,1.0,833.042
0 days 00:14:53.041000,24.6,29.0,780.9,False,46.9,248,0.8,893.041
0 days 00:15:53.056000,24.5,28.0,780.7,False,47.1,240,0.8,953.056
0 days 00:16:53.055000,24.3,27.0,780.9,False,47.1,249,0.8,1013.055
0 days 00:17:53.054000,24.3,27.0,780.7,False,47.3,157,1.0,1073.054
0 days 00:18:53.053000,24.2,28.0,780.7,False,47.4,104,2.2,1133.053
0 days 00:19:53.052000,24.3,29.0,780.7,False,47.4,115,2.5,1193.052
0 days 00:20:53.050000,24.2,29.0,780.7,False,47.8,68,4.0,1253.05
0 days 00:21:53.049000,24.2,29.0,780.7,False,47.6,260,1.5,1313.049
0 days 00:22:53.048000,24.2,28.0,780.5,False,47.6,117,1.2,1373.048
0 days 00:23:53.047000,24.1,28.0,780.5,False,47.6,109,2.2,1433.047
0 days 00:24:53.062000,24.2,27.0,780.5,False,47.9,84,1.2,1493.062
0 days 00:25:53.061000,24.1,27.0,780.5,False,47.9,112,0.6,1553.061
0 days 00:26:53.060000,24.2,27.0,780.5,False,47.8,123,2.0,1613.06
0 days 00:27:53.059000,24.3,26.0,780.5,False,48.2,106,1.2,1673.059
0 days 00:28:53.042000,24.3,26.0,780.5,False,48.2,106,1.2,1733.042
0 days 00:29:53.057000,24.4,26.0,780.5,False,47.8,135,1.3,1793.057
0 days 00:30:53.056000,24.4,27.0,780.5,False,47.8,267,0.8,1853.056
0 days 00:31:53.054000,24.4,28.0,780.5,False,48.1,243,0.5,1913.054
0 days 00:32:53.053000,24.4,29.0,780.5,False,48.1,335,0.6,1973.053
0 days 00:33:53.068000,24.3,28.0,780.5,False,48.1,270,1.7,2033.068
0 days 00:34:53.051000,24.6,27.0,780.5,False,48.1,254,1.5,2093.051
0 days 00:35:53.066000,24.9,26.0,780.4,False,47.7,218,1.7,2153.066
0 days 00:36:53.065000,25.0,26.0,780.2,False,47.7,271,1.6,2213.065
0 days 00:37:53.064000,25.0,26.0,780.4,False,47.7,237,1.3,2273.064
0 days 00:38:53.063000,25.0,27.0,780.4,False,47.7,271,1.2,2333.063
