Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TimeSeconds
0 days 00:00:23.984000,27.2,60.0,1019.0,False,36.5,134,4.0,23.984
0 days 00:01:23.983000,27.3,60.0,1019.0,False,47.5,146,3.9,83.983
0 days 00:02:23.982000,27.4,58.0,1019.0,False,49.7,103,4.0,143.982
0 days 00:03:23.982000,27.4,58.0,1019.0,False,49.3,123,3.7,203.982
0 days 00:04:23.981000,27.4,57.0,1019.0,False,50.7,142,4.4,263.981
0 days 00:05:23.980000,27.6,57.0,1019.0,False,51.0,131,4.4,323.98
0 days 00:06:23.980000,27.7,58.0,1018.9,False,51.0,99,4.9,383.98
0 days 00:07:23.979000,27.7,58.0,1018.9,False,46.9,108,3.2,443.979
0 days 00:08:24.025000,27.8,57.0,1019.0,False,46.9,83,3.0,504.025
0 days 00:09:23.977000,27.8,57.0,1018.7,False,47.4,119,3.5,563.977
0 days 00:10:23.961000,27.7,58.0,1018.7,False,52.5,101,3.0,623.961
0 days 00:11:23.976000,27.8,58.0,1018.7,False,52.5,136,2.4,683.976
0 days 00:12:23.975000,27.8,57.0,1018.7,False,51.4,132,3.7,743.975
0 days 00:13:23.990000,27.8,58.0,1018.7,False,43.2,131,3.0,803.99
0 days 00:14:23.974000,27.7,57.0,1018.7,False,41.0,133,4.0,863.974
0 days 00:15:23.989000,27.6,58.0,1018.7,False,37.4,113,4.9,923.989
0 days 00:16:23.973000,27.4,58.0,1018.7,False,36.4,146,4.5,983.973
0 days 00:17:23.972000,27.3,58.0,1018.9,False,34.9,137,3.2,1043.972
0 days 00:18:23.971000,27.2,57.0,1018.7,False,34.8,146,4.6,1103.971
0 days 00:19:23.971000,27.1,58.0,1018.7,False,35.5,131,4.5,1163.971
0 days 00:20:23.970000,27.0,59.0,1018.7,False,36.3,129,3.4,1223.97
0 days 00:21:23.985000,27.1,59.0,1018.7,False,36.3,143,4.5,1283.985
0 days 00:22:23.984000,27.2,59.0,1018.7,False,36.4,147,5.5,1343.984
0 days 00:23:23.984000,27.0,59.0,1018.7,False,35.7,141,5.4,1403.984
0 days 00:24:23.983000,26.8,61.0,1018.7,False,36.1,137,4.5,1463.983
0 days 00:25:23.982000,26.9,60.0,1018.7,False,35.9,142,3.5,1523.982
0 days 00:26:23.982000,26.9,61.0,1018.7,False,35.9,108,4.1,1583.982
0 days 00:27:23.996000,26.9,61.0,1018.7,False,36.1,136,3.4,1643.996
0 days 00:28:24.043000,26.9,60.0,1018.7,False,35.5,125,3.5,1704.043
0 days 00:29:23.995000,27.0,60.0,1018.7,False,36.2,111,3.7,1763.995
0 days 00:30:24.010000,27.0,60.0,1018.7,False,35.1,128,3.0,1824.01
0 days 00:31:24.025000,27.0,60.0,1018.7,False,35.6,136,3.5,1884.025
0 days 00:32:24.040000,27.0,60.0,1018.7,False,35.6,129,3.9,1944.04
0 days 00:33:24.055000,26.9,60.0,1018.7,False,35.9,116,4.5,2004.055
0 days 00:34:24.070000,26.9,60.0,1018.7,False,35.2,132,4.6,2064.07
