Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TimeSeconds
0 days 00:00:20.937000,32.3,64.0,1009.5,False,38.1,282,1.1,20.937
0 days 00:01:20.937000,32.3,64.0,1009.5,False,38.5,278,1.2,80.937
0 days 00:02:20.936000,32.2,65.0,1009.5,False,38.4,287,1.0,140.936
0 days 00:03:20.935000,32.3,65.0,1009.5,False,38.1,289,1.0,200.935
0 days 00:04:20.935000,32.2,65.0,1009.5,False,38.1,291,1.2,260.935
0 days 00:05:20.949000,32.2,66.0,1009.5,False,38.1,281,1.0,320.949
0 days 00:06:20.949000,32.2,66.0,1009.5,False,38.0,287,1.2,380.949
0 days 00:07:20.948000,32.2,66.0,1009.5,False,38.0,285,1.3,440.948
0 days 00:08:20.948000,32.1,65.0,1009.5,False,37.9,295,0.8,500.948
0 days 00:09:20.947000,32.1,67.0,1009.5,False,37.9,297,1.1,560.947
0 days 00:10:20.946000,32.0,67.0,1009.5,False,37.9,295,1.1,620.946
0 days 00:11:20.945000,32.1,68.0,1009.5,False,37.7,285,1.5,680.945
0 days 00:12:20.945000,32.0,67.0,1009.5,False,37.9,288,0.8,740.945
0 days 00:13:20.944000,32.0,68.0,1009.5,False,37.9,299,1.2,800.944
0 days 00:14:20.943000,32.0,68.0,1009.5,False,38.0,259,1.0,860.943
0 days 00:15:20.943000,32.0,68.0,1009.5,False,37.7,271,1.1,920.943
0 days 00:16:20.942000,32.0,69.0,1009.5,False,37.6,266,1.2,980.942
0 days 00:17:20.957000,32.0,69.0,1009.5,False,38.0,281,1.2,1040.957
0 days 00:18:20.957000,32.0,69.0,1009.5,False,38.0,287,1.0,1100.957
0 days 00:19:20.956000,32.0,69.0,1009.5,False,38.1,252,0.6,1160.956
0 days 00:20:20.955000,31.9,69.0,1009.5,False,38.1,277,0.6,1220.955
0 days 00:21:20.954000,32.0,69.0,1009.5,False,38.4,295,0.8,1280.954
0 days 00:22:20.969000,31.9,69.0,1009.5,False,38.5,283,0.8,1340.969
0 days 00:23:20.984000,31.9,70.0,1009.5,False,38.0,296,1.2,1400.984
0 days 00:24:20.999000,31.8,69.0,1009.5,False,37.9,269,1.2,1460.999
0 days 00:25:21.014000,31.9,71.0,1009.7,False,37.7,294,1.3,1521.014
0 days 00:26:21.014000,31.9,71.0,1009.5,False,37.1,342,1.2,1581.014
0 days 00:27:21.029000,31.8,70.0,1009.7,False,37.6,292,0.6,1641.029
0 days 00:28:21.012000,31.8,72.0,1009.7,False,37.6,301,1.1,1701.012
0 days 00:29:21.012000,31.8,72.0,1009.7,False,37.6,317,0.6,1761.012
0 days 00:30:21.027000,31.8,73.0,1009.7,False,37.4,291,0.8,1821.027
0 days 00:31:21.042000,31.7,73.0,1009.7,False,37.1,280,1.0,1881.042
0 days 00:32:21.057000,31.7,73.0,1009.7,False,37.3,279,1.0,1941.057
0 days 00:33:21.056000,31.7,73.0,1009.7,False,37.3,0,1.1,2001.056
0 days 00:34:21.055000,31.7,72.0,1009.7,False,37.6,278,0.6,2061.055
0 days 00:35:21.055000,31.7,72.0,1009.7,False,37.3,295,1.2,2121.055
