Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TimeSeconds
0 days 00:00:27.686000,23.5,59.0,1000.9,False,38.5,238,2.2,27.686
0 days 00:01:27.685000,23.5,59.0,1000.9,False,38.7,212,2.2,87.685
0 days 00:02:27.684000,23.5,58.0,1000.9,False,39.4,222,1.7,147.684
0 days 00:03:27.682000,23.7,58.0,1000.9,False,39.8,230,1.6,207.682
0 days 00:04:27.697000,23.8,57.0,1001.0,False,39.9,214,1.2,267.697
0 days 00:05:27.696000,23.9,57.0,1000.9,False,40.5,218,1.2,327.696
0 days 00:06:27.695000,24.2,55.0,1000.7,False,40.6,221,1.7,387.695
0 days 00:07:27.694000,24.2,56.0,1000.9,False,40.8,257,1.8,447.694
0 days 00:08:27.693000,24.0,56.0,1000.7,False,41.1,211,1.5,507.693
0 days 00:09:27.692000,24.0,56.0,1000.7,False,41.1,168,2.4,567.692
0 days 00:10:27.691000,24.0,56.0,1000.7,False,41.1,233,1.7,627.691
0 days 00:11:27.705000,23.8,56.0,1000.7,False,41.1,229,2.2,687.705
0 days 00:12:27.688000,24.0,54.0,1000.7,False,41.2,225,2.0,747.688
0 days 00:13:27.687000,24.1,55.0,1000.7,False,41.3,211,1.6,807.687
0 days 00:14:27.717000,24.4,55.0,1000.7,False,42.0,224,1.7,867.717
0 days 00:15:27.732000,24.5,54.0,1000.7,False,42.3,229,2.9,927.732
0 days 00:16:27.700000,24.7,55.0,1000.7,False,41.0,194,1.3,987.7
0 days 00:17:27.699000,24.6,56.0,1000.7,False,40.8,199,2.0,1047.699
0 days 00:18:27.698000,24.6,56.0,1000.7,False,40.5,178,1.2,1107.698
0 days 00:19:27.697000,24.5,56.0,1000.7,False,40.7,221,1.5,1167.697
0 days 00:20:27.711000,24.3,57.0,1000.7,False,41.6,229,2.2,1227.711
0 days 00:21:27.694000,24.2,57.0,1000.7,False,40.9,231,3.4,1287.694
0 days 00:22:27.693000,24.1,59.0,1000.7,False,40.9,231,3.0,1347.693
0 days 00:23:27.708000,24.1,60.0,1000.7,False,40.4,226,3.0,1407.708
0 days 00:24:27.707000,24.2,60.0,1000.5,False,40.7,227,3.5,1467.707
0 days 00:25:27.706000,24.1,61.0,1000.7,False,40.7,227,2.0,1527.706
0 days 00:26:27.705000,24.0,61.0,1000.7,False,40.8,207,2.5,1587.705
0 days 00:27:27.704000,23.9,60.0,1000.5,False,41.3,155,1.8,1647.704
0 days 00:28:27.702000,24.0,60.0,1000.5,False,41.4,233,2.2,1707.702
0 days 00:29:27.701000,24.2,60.0,1000.5,False,42.2,196,2.0,1767.701
0 days 00:30:27.700000,24.1,59.0,1000.7,False,42.2,232,1.8,1827.7
0 days 00:31:27.699000,24.1,59.0,1000.7,False,42.1,119,1.8,1887.699
0 days 00:32:27.714000,24.2,60.0,1000.5,False,41.6,279,1.6,1947.714
0 days 00:33:27.713000,24.1,59.0,1000.7,False,41.7,288,1.6,2007.713
0 days 00:34:27.712000,24.0,60.0,1000.7,False,42.1,85,1.7,2067.712
0 days 00:35:27.711000,24.0,60.0,1000.7,False,42.1,276,1.3,2127.711
0 days 00:36:27.709000,23.8,60.0,1000.7,False,42.1,100,1.7,2187.709
0 days 00:37:27.708000,23.6,60.0,1000.7,False,42.1,260,1.2,2247.708
0 days 00:38:27.723000,23.7,60.0,1000.9,False,42.5,106,2.9,2307.723
0 days 00:39:27.706000,23.6,61.0,1001.0,False,41.8,59,2.2,2367.706
0 days 00:40:27.705000,23.5,62.0,1001.0,False,39.1,64,1.6,2427.705
0 days 00:41:27.720000,23.3,63.0,1001.0,False,39.1,244,1.5,2487.72
0 days 00:42:27.703000,23.3,62.0,1001.2,False,39.2,236,0.6,2547.703
0 days 00:43:27.718000,23.3,62.0,1001.2,False,39.0,215,1.3,2607.718
0 days 00:44:27.717000,23.1,62.0,1000.9,False,38.2,238,1.2,2667.717
0 days 00:45:27.715000,22.9,62.0,1001.0,False,37.1,227,1.3,2727.715
0 days 00:46:27.714000,22.8,63.0,1001.2,False,37.0,206,1.5,2787.714
0 days 00:47:27.713000,22.8,62.0,1001.0,False,36.6,241,1.7,2847.713
0 days 00:48:27.712000,22.9,63.0,1001.0,False,36.5,247,1.6,2907.712
0 days 00:49:27.711000,22.9,63.0,1001.0,False,36.0,202,1.3,2967.711
0 days 00:50:27.726000,22.8,64.0,1001.0,False,35.8,250,1.2,3027.726
0 days 00:51:27.725000,22.8,64.0,1001.0,False,35.8,211,1.2,3087.725
0 days 00:52:27.723000,22.8,64.0,1001.2,False,35.2,196,0.8,3147.723
0 days 00:53:27.722000,22.7,63.0,1001.0,False,35.3,0,0.8,3207.722
0 days 00:54:27.737000,22.7,63.0,1001.2,False,35.1,247,0.8,3267.737
0 days 00:55:27.754000,22.7,64.0,1001.2,False,35.0,248,1.2,3327.754
0 days 00:56:27.735000,22.8,63.0,1001.2,False,34.7,222,1.0,3387.735
0 days 00:57:27.718000,22.8,62.0,1001.2,False,34.6,245,1.7,3447.718
0 days 00:58:27.717000,22.8,63.0,1001.2,False,34.6,266,1.2,3507.717
0 days 00:59:27.716000,22.7,64.0,1001.2,False,34.0,275,0.8,3567.716
0 days 01:00:27.715000,22.6,64.0,1001.0,False,33.8,0,1.2,3627.715
0 days 01:01:27.714000,22.6,64.0,1001.0,False,33.7,236,0.6,3687.714
0 days 01:02:27.744000,22.5,64.0,1001.0,False,33.4,294,1.6,3747.744
0 days 01:03:27.743000,22.6,64.0,1001.0,False,33.4,101,0.6,3807.743
0 days 01:04:27.742000,22.5,63.0,1001.0,False,33.3,14,1.1,3867.742
0 days 01:05:27.741000,22.4,64.0,1001.0,False,33.0,52,2.0,3927.741
0 days 01:06:27.755000,22.5,64.0,1001.0,False,32.7,273,1.1,3987.755
0 days 01:07:27.739000,22.4,64.0,1001.0,False,32.6,63,2.4,4047.739
0 days 01:08:27.737000,22.4,64.0,1001.0,False,32.6,13,1.6,4107.737
0 days 01:09:27.752000,22.4,63.0,1001.2,False,33.0,0,1.6,4167.752
0 days 01:10:27.767000,22.4,63.0,1001.0,False,32.5,49,1.6,4227.767
0 days 01:11:27.766000,22.3,64.0,1001.0,False,32.2,81,2.0,4287.766
0 days 01:12:27.764000,22.3,65.0,1001.0,False,32.2,55,1.5,4347.764
0 days 01:13:27.763000,22.2,64.0,1001.0,False,31.6,267,1.8,4407.763
0 days 01:14:27.762000,22.2,64.0,1001.0,False,31.8,16,2.2,4467.762
0 days 01:15:27.761000,22.1,65.0,1001.0,False,31.9,88,2.4,4527.761
0 days 01:16:27.760000,22.0,64.0,1001.0,False,31.8,82,2.2,4587.76
0 days 01:17:27.759000,22.0,63.0,1001.2,False,31.5,80,2.5,4647.759
0 days 01:18:27.758000,22.1,64.0,1001.2,False,31.5,84,2.2,4707.758
0 days 01:19:27.757000,22.1,65.0,1001.2,False,31.7,66,2.7,4767.757
0 days 01:20:27.756000,22.0,64.0,1001.2,False,31.7,86,2.7,4827.756
0 days 01:21:27.770000,22.1,64.0,1001.2,False,31.9,50,2.2,4887.77
0 days 01:22:27.769000,22.1,65.0,1001.2,False,31.2,67,2.0,4947.769
0 days 01:23:27.768000,22.1,64.0,1001.2,False,31.2,67,2.0,5007.768
0 days 01:24:27.767000,22.1,64.0,1001.2,False,31.3,46,2.0,5067.767
0 days 01:25:27.766000,22.1,64.0,1001.2,False,31.0,71,1.7,5127.766
0 days 01:26:27.765000,22.1,65.0,1001.2,False,30.9,83,2.7,5187.765
0 days 01:27:27.764000,22.1,64.0,1001.2,False,31.2,100,2.4,5247.764
0 days 01:28:27.778000,22.0,63.0,1001.2,False,31.5,95,1.6,5307.778
0 days 01:29:27.777000,22.1,63.0,1001.2,False,31.4,79,1.7,5367.777
0 days 01:30:27.776000,22.1,64.0,1001.2,False,31.2,90,2.2,5427.776
0 days 01:31:27.791000,22.0,64.0,1001.4,False,31.1,95,3.2,5487.791
0 days 01:32:27.774000,22.0,64.0,1001.5,False,30.7,76,1.7,5547.774
0 days 01:33:27.789000,22.0,65.0,1001.2,False,30.9,87,2.2,5607.789
0 days 01:34:27.772000,22.0,64.0,1001.4,False,30.9,61,2.2,5667.772
0 days 01:35:27.771000,22.0,64.0,1001.2,False,31.0,61,2.7,5727.771
0 days 01:36:27.770000,22.0,65.0,1001.2,False,30.9,84,3.2,5787.77
0 days 01:37:27.784000,21.9,65.0,1001.2,False,30.3,49,2.0,5847.784
0 days 01:38:27.783000,22.0,66.0,1001.2,False,30.4,68,1.6,5907.783
0 days 01:39:27.782000,22.1,66.0,1001.2,False,30.4,91,2.0,5967.782
0 days 01:40:27.797000,22.1,65.0,1001.2,False,30.5,112,1.6,6027.797
0 days 01:41:27.811000,22.1,66.0,1001.2,False,30.5,53,3.0,6087.811
0 days 01:42:27.795000,22.2,66.0,1001.2,False,30.1,74,2.2,6147.795
0 days 01:43:27.794000,22.1,66.0,1001.0,False,30.5,43,2.0,6207.794
0 days 01:44:27.792000,22.1,66.0,1001.2,False,30.5,88,2.2,6267.792
0 days 01:45:27.791000,22.1,66.0,1001.0,False,30.5,70,2.2,6327.791
0 days 01:46:27.790000,22.1,65.0,1001.0,False,30.6,60,2.2,6387.79
0 days 01:47:27.789000,22.0,65.0,1001.2,False,30.2,60,1.8,6447.789
0 days 01:48:27.788000,22.1,66.0,1001.0,False,30.2,68,1.7,6507.788
0 days 01:49:27.787000,22.1,65.0,1001.2,False,30.3,69,2.0,6567.787
0 days 01:50:27.802000,22.0,65.0,1001.2,False,30.4,36,1.5,6627.802
0 days 01:51:27.801000,22.1,65.0,1001.2,False,30.4,246,1.2,6687.801
0 days 01:52:27.799000,22.1,65.0,1001.2,False,30.1,340,1.2,6747.799
0 days 01:53:27.798000,22.1,66.0,1001.2,False,30.1,42,0.8,6807.798
0 days 01:54:27.797000,22.2,66.0,1001.2,False,29.9,42,2.0,6867.797
0 days 01:55:27.796000,22.1,66.0,1001.2,False,29.9,66,2.5,6927.796
0 days 01:56:27.795000,22.1,66.0,1001.2,False,29.9,71,1.6,6987.795
0 days 01:57:27.794000,22.1,66.0,1001.2,False,29.9,58,2.9,7047.794
0 days 01:58:27.793000,22.1,65.0,1001.4,False,29.9,70,1.7,7107.793
0 days 01:59:27.792000,22.1,65.0,1001.4,False,29.9,47,2.7,7167.792
0 days 02:00:27.806000,22.1,65.0,1001.4,False,29.9,62,2.0,7227.806
0 days 02:01:27.805000,22.1,65.0,1001.5,False,29.8,55,1.7,7287.805
0 days 02:02:27.804000,22.1,66.0,1001.5,False,29.6,20,2.2,7347.804
0 days 02:03:27.803000,22.1,66.0,1001.5,False,29.8,327,2.4,7407.803
0 days 02:04:27.802000,22.0,66.0,1001.5,False,29.1,49,1.2,7467.802
0 days 02:05:27.801000,22.0,65.0,1001.5,False,29.1,113,2.9,7527.801
0 days 02:06:27.800000,22.1,65.0,1001.5,False,29.3,56,1.2,7587.8
0 days 02:07:27.799000,22.1,64.0,1001.5,False,29.7,44,1.8,7647.799
0 days 02:08:27.798000,22.0,64.0,1001.5,False,29.5,58,2.4,7707.798
0 days 02:09:27.812000,22.0,64.0,1001.5,False,29.5,62,1.2,7767.812
0 days 02:10:27.811000,22.0,65.0,1001.5,False,28.7,327,2.2,7827.811
0 days 02:11:27.810000,22.2,65.0,1001.5,False,28.7,100,1.8,7887.81
0 days 02:12:27.809000,22.0,66.0,1001.5,False,28.6,51,1.7,7947.809
0 days 02:13:27.824000,21.9,67.0,1001.5,False,28.4,44,3.0,8007.824
0 days 02:14:27.823000,21.9,67.0,1001.5,False,28.3,71,1.7,8067.823
0 days 02:15:27.806000,21.9,67.0,1001.5,False,28.4,49,2.5,8127.806
0 days 02:16:27.805000,21.9,67.0,1001.5,False,28.4,80,2.2,8187.805
0 days 02:17:27.804000,21.9,67.0,1001.4,False,28.2,41,1.7,8247.804
0 days 02:18:27.803000,21.9,66.0,1001.5,False,28.1,56,1.8,8307.803
0 days 02:19:27.817000,21.9,66.0,1001.4,False,28.2,346,2.2,8367.817
0 days 02:20:27.816000,21.8,66.0,1001.5,False,28.2,27,1.2,8427.816
0 days 02:21:27.815000,21.8,67.0,1001.4,False,28.2,36,1.7,8487.815
0 days 02:22:27.814000,21.7,67.0,1001.4,False,27.9,17,1.7,8547.814
