Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Avg_Speed_mps,Avg_Throttle,Brake_Aggression,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Max_Lateral_g,Max_Longitudinal_g,Energy_Index
1,68,67.719,SOFT,7,63.26989660045335,73.28427092411113,0.3880684990436339,3675.8104629563777,413.6871714298139,92.68673722335274,238.36203040707233,27779872.008613482
2,60,70.406,MEDIUM,12,60.98914994760315,67.62386535289022,0.38219774048315874,3500.6137318579545,339.82187609481224,74.916401615734,235.72518334184952,25845032.272936206
3,49,70.426,HARD,12,60.900400826277135,68.0524604021176,0.38923394320163884,3793.804746902177,393.5035088635064,177.12097508985087,391.4102460066117,28328671.83068206
4,53,68.016,MEDIUM,2,63.1639146337925,69.17995614233536,0.3825239981214378,3901.581067634194,381.6750578255954,75.31149257346745,282.0364910948146,29201187.51643574
10,45,69.609,MEDIUM,3,61.79943066633347,69.30911555486026,0.3909514737147263,3510.3563339974135,391.00119452355204,93.56026716804092,228.32203531176003,26386734.31011053
11,56,69.694,MEDIUM,10,61.512373728381725,77.09498659726822,0.4151827167283403,3476.9551408068883,379.6074674485566,72.51927712664506,255.08528997545326,26898077.249635063
14,70,67.694,SOFT,2,63.57840453043938,73.30452701577184,0.38091045918771144,3945.3417040467043,383.7276214146463,100.97069791359458,615.061626480255,29581984.10174006
16,55,69.584,MEDIUM,10,61.77872281954379,71.67095571670067,0.3900164003277311,3872.792589452074,346.4870976586816,69.13216642209323,317.0491330624456,28327512.560916338
18,54,70.143,HARD,12,61.08021969292068,66.55461634025623,0.36907406114021724,3294.6757692193596,330.38237005513184,71.40033901932335,249.9565266725229,25553284.165441245
20,45,70.125,HARD,7,61.275689826261775,65.6576195562763,0.4009252622080412,3687.1639443865765,329.29719920519625,68.5500835275006,308.51805662822176,28516905.939351983
22,54,70.318,HARD,10,61.04302761906686,68.0275667100366,0.38479177025095584,3162.5842959006827,334.8975754601925,79.39713037186978,204.15194291438462,25348696.068017285
23,41,70.364,HARD,2,61.153197698381184,63.59034674017314,0.39172373118370246,4166.657671542823,392.4912384956584,89.17092877031105,657.5926147423203,32126471.904892523
24,54,70.47,HARD,3,61.096629460378495,69.51480111211292,0.38219774048315874,3411.3973782867934,330.3538871236069,66.6285542270762,222.88171858525143,25742406.497294255
27,51,70.215,HARD,12,61.23845613625576,68.69785612291739,0.3873509119494847,3621.524012984965,383.2162078253541,99.71218377834994,284.51617180321546,27722207.320381153
31,45,69.649,MEDIUM,2,61.80652512238108,72.0630217816931,0.3976795770384778,3337.068744414868,370.2914435463713,94.4586439441943,255.31064102516171,25226602.61241655
44,61,69.562,MEDIUM,8,61.66341050736816,68.06207806075916,0.3967952326172798,4044.4933909415377,365.11609560925257,81.19262892067967,258.81598377875173,30298901.88799351
55,56,69.282,MEDIUM,9,62.06054766002402,71.84889863115248,0.39521974952968075,3472.844496239943,351.7234718576351,76.92881037884732,231.27930517882172,25212641.947050285
63,48,69.164,HARD,2,62.08395481139562,72.28112579484456,0.37380763313715654,4543.404735022192,363.83694183772946,88.48760964732452,467.9277934888035,34441635.05514138
77,48,70.449,HARD,6,61.03484573814138,68.68184258388244,0.3992154620889044,4111.047108582901,381.34887996655533,81.26900955157411,241.89978962539433,29306678.640920173
81,56,68.697,MEDIUM,5,62.57011775349182,68.10535376511494,0.3642593709185072,3290.3648243222597,352.79729682756386,76.06387067761743,206.42068899081008,24965631.292821724
