Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TimeSeconds
0 days 00:00:06.617000,16.3,78.0,996.4,True,21.1,179,0.6,6.617
0 days 00:01:06.635000,16.3,78.0,996.5,True,21.2,182,1.0,66.635
0 days 00:02:06.625000,16.3,76.0,996.4,True,21.0,161,1.3,126.625
0 days 00:03:06.626000,16.3,77.0,996.4,True,20.8,98,0.9,186.626
0 days 00:04:06.621000,16.3,77.0,996.3,True,20.7,58,1.4,246.621
0 days 00:05:06.641000,16.3,74.0,996.4,True,20.7,179,1.8,306.641
0 days 00:06:06.633000,16.3,76.0,996.3,True,20.7,220,1.5,366.633
0 days 00:07:06.638000,16.3,75.0,996.3,True,20.6,96,1.1,426.638
0 days 00:08:06.658000,16.2,74.0,996.4,True,20.4,115,1.4,486.658
0 days 00:09:06.675000,16.2,75.0,996.2,True,20.0,146,0.7,546.675
0 days 00:10:06.679000,16.0,76.0,996.2,True,19.9,104,1.3,606.679
0 days 00:11:06.688000,16.0,78.0,996.3,True,19.9,343,0.9,666.688
0 days 00:12:06.706000,15.9,78.0,996.2,True,19.9,142,0.8,726.706
0 days 00:13:06.706000,16.0,78.0,996.2,True,20.0,4,1.7,786.706
0 days 00:14:06.696000,16.0,79.0,996.3,True,20.1,115,0.5,846.696
0 days 00:15:06.701000,15.9,77.0,996.3,True,20.3,143,1.4,906.701
0 days 00:16:06.694000,16.0,80.0,996.3,True,20.5,313,1.3,966.694
0 days 00:17:06.709000,16.1,78.0,996.2,True,23.0,119,0.7,1026.709
0 days 00:18:06.712000,16.5,78.0,996.3,True,23.8,209,1.1,1086.712
0 days 00:19:06.707000,16.5,78.0,996.3,False,24.5,1,1.2,1146.707
0 days 00:20:06.712000,16.8,76.0,996.3,False,24.8,148,1.2,1206.712
0 days 00:21:06.712000,17.0,79.0,996.3,False,25.3,132,0.7,1266.712
0 days 00:22:06.709000,17.3,78.0,996.4,False,25.7,0,0.5,1326.709
0 days 00:23:06.708000,17.4,74.0,996.3,False,25.8,137,0.6,1386.708
0 days 00:24:06.715000,17.5,72.0,996.3,False,25.8,185,1.1,1446.715
0 days 00:25:06.723000,17.5,74.0,996.2,False,25.9,79,1.4,1506.723
0 days 00:26:06.713000,17.5,72.0,996.3,False,26.1,348,1.5,1566.713
0 days 00:27:06.713000,17.6,73.0,996.3,False,26.3,25,1.5,1626.713
0 days 00:28:06.713000,17.7,72.0,996.2,False,26.3,34,1.9,1686.713
0 days 00:29:06.714000,17.9,73.0,996.2,False,26.3,98,1.2,1746.714
0 days 00:30:06.718000,17.9,72.0,996.2,False,26.5,0,1.0,1806.718
0 days 00:31:06.725000,17.9,70.0,996.2,False,26.7,104,0.8,1866.725
0 days 00:32:06.723000,18.0,71.0,996.2,False,26.7,94,1.1,1926.723
0 days 00:33:06.751000,18.0,72.0,996.2,False,26.6,84,1.6,1986.751
0 days 00:34:06.715000,18.1,71.0,996.3,False,26.7,358,0.9,2046.715
0 days 00:35:06.713000,18.2,72.0,996.3,False,27.0,284,0.7,2106.713
0 days 00:36:06.722000,18.2,71.0,996.2,False,27.0,169,0.9,2166.722
0 days 00:37:06.724000,18.2,72.0,996.2,False,26.9,187,0.6,2226.724
0 days 00:38:06.724000,18.3,71.0,996.3,False,27.3,212,1.2,2286.724
0 days 00:39:06.734000,18.3,71.0,996.2,False,27.3,358,1.2,2346.734
0 days 00:40:06.766000,18.4,71.0,996.2,False,27.2,34,0.8,2406.766
0 days 00:41:06.764000,18.4,71.0,996.2,False,26.1,35,1.1,2466.764
0 days 00:42:06.765000,18.5,70.0,996.3,False,25.2,47,1.0,2526.765
0 days 00:43:06.779000,18.3,71.0,996.3,False,24.5,337,1.1,2586.779
0 days 00:44:06.764000,18.2,71.0,996.3,False,24.4,0,0.7,2646.764
0 days 00:45:06.769000,18.2,71.0,996.2,False,24.3,42,0.7,2706.769
0 days 00:46:06.777000,18.2,72.0,996.3,False,23.8,101,0.0,2766.777
0 days 00:47:06.767000,18.1,72.0,996.2,False,23.7,94,0.6,2826.767
0 days 00:48:06.787000,18.0,71.0,996.3,True,23.4,147,0.8,2886.787
0 days 00:49:06.798000,18.0,70.0,996.2,True,22.8,195,1.8,2946.798
0 days 00:50:06.794000,18.0,74.0,996.2,True,22.8,69,0.9,3006.794
0 days 00:51:06.810000,18.0,72.0,996.2,False,22.8,134,1.1,3066.81
0 days 00:52:06.794000,17.9,72.0,996.3,True,22.5,54,0.7,3126.794
0 days 00:53:06.792000,17.7,73.0,996.2,True,22.4,93,0.5,3186.792
0 days 00:54:06.798000,17.7,73.0,996.3,True,22.3,276,0.8,3246.798
0 days 00:55:06.799000,17.6,74.0,996.2,True,22.0,166,1.1,3306.799
0 days 00:56:06.817000,17.5,75.0,996.2,True,21.7,278,0.5,3366.817
0 days 00:57:06.822000,17.4,76.0,996.1,True,21.5,148,0.7,3426.822
0 days 00:58:06.823000,17.4,76.0,996.2,True,21.5,12,0.8,3486.823
0 days 00:59:06.824000,17.3,77.0,996.2,True,21.5,144,1.0,3546.824
