Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Avg_Speed_mps,Avg_Throttle,Brake_Aggression,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Max_Lateral_g,Max_Longitudinal_g,Energy_Index
1,33,98.406,HARD,10,54.89939328568605,62.049306737614984,0.39634332053545346,3224.1019715323255,418.25356463329524,122.28614220680758,325.4151170206137,34980056.145142876
2,14,101.0,MEDIUM,2,53.33130795236979,57.43642791484248,0.39780321446670175,3441.241750748559,431.08413361980666,165.67429143366695,563.0676383246167,37596335.66432687
3,16,100.994,MEDIUM,2,53.220305247223685,60.32488035414837,0.4067320047244786,3630.714789259974,421.10383849717965,186.5426208526197,440.80059221107916,37359670.77462018
4,33,98.751,HARD,11,54.35972220010082,57.83435171023598,0.40498232229062076,3509.634666002621,445.3093912246476,167.60134072701806,290.86441217222745,37152630.76203165
10,40,99.198,MEDIUM,2,54.51727059957367,62.67220494105317,0.3822159003742217,3475.427831389351,432.5113973997546,74.30820584884736,268.47811722609686,35506693.11576758
11,33,99.388,HARD,10,54.037460660961365,59.86523173937209,0.4011044060085646,3150.8410596247572,425.3024691116013,102.75683911180128,307.183947244816,35368429.61318915
14,45,97.81,MEDIUM,2,54.94023816887465,61.37409589409272,0.42093608615791117,3453.7690116265785,397.98439312881703,67.17333457984313,518.4972163780725,37218947.26815723
16,33,99.384,HARD,12,54.197506159178396,63.5450534899662,0.4033373534224016,3119.277397728253,456.0886130899766,106.98398593131023,251.81070883734006,33815269.936619684
18,37,99.444,HARD,7,54.14833584438286,57.696582656647905,0.37918768813355186,3278.3903273513297,379.5041443221507,144.30730187833328,527.2018658281268,36958598.81356129
20,45,101.077,MEDIUM,18,53.43623445308454,60.18819943225667,0.39930456336537357,2963.1270227919367,443.55296444435686,121.46228106464783,254.15716480857301,31235178.30919675
22,11,101.593,MEDIUM,3,53.089586058655215,60.158748513220296,0.4398368122333571,3751.2141925036417,428.96004875453264,76.86760194318903,810.6650033963907,39739143.25755219
23,34,100.79,HARD,11,53.15334112875148,54.945790185903746,0.4112189381782014,3700.2865494734715,434.2184671118412,83.43167556332966,1045.1944785787236,42064355.049368754
24,42,98.633,SOFT,2,54.8957705286609,61.569850217773414,0.40586656250774816,3144.5330662526926,440.7798236046941,75.14295121151142,232.7609520469895,33037259.8802345
27,32,100.815,HARD,9,53.6425119853027,58.81088545312733,0.4025585969102974,3079.941437412682,391.2793354790662,71.25805406809323,228.38231064930608,31669340.824334584
31,33,100.937,HARD,10,53.537576012427415,62.222457142743146,0.42274503181105444,3302.6402773930363,479.24416181385027,214.26592809574694,346.92632472747187,35902586.53545804
44,34,100.835,HARD,13,53.48513889778107,58.28466719404925,0.4075878618006562,3605.8784885912537,470.21714536261817,432.64042901439484,726.1482541293111,40365026.09520695
55,19,99.764,HARD,2,54.171762918241114,61.955917793347034,0.4113270408483475,3368.808767250192,480.0023944615811,148.74104296454865,576.656867555301,35524015.12973075
63,39,100.112,HARD,16,53.81431884448496,59.61864261993003,0.39532624364892527,3247.318989598746,396.8062365606868,72.77716682819604,252.825528404569,35337910.83472096
77,11,101.276,HARD,2,53.303526201279425,60.53408193722488,0.42540284386493915,3849.444719927818,431.0442974084547,253.80494527163867,824.5935533146198,40026229.880899325
81,18,99.739,MEDIUM,3,53.98739697231303,58.05765199192947,0.4099319611822391,3496.5195433391073,398.1825625945721,73.26136039254061,556.4027635781733,39527903.29950516
