RelativeTime_s,Speed,Throttle,Brake,nGear,RPM,DRS,Distance,RelativeDistance,X,Y,Driver,LapNumber,Compound,TyreLife
0.0,261.45,100.0,False,6,11074.400000000001,1,0.06535070448994773,1.2074962720446053e-05,243.1677031659766,-1449.4586463768953,1,33,HARD,10
0.1,262.6750016,100.0,False,6,10672.5994752,1,7.244006873163783,0.0013384876815453902,164.0,-1469.0,1,33,HARD,10
0.2,263.0,100.0,False,6,10566.0,1,9.155555555555555,0.001691687838427387,146.46137615976644,-1473.2276319371547,1,33,HARD,10
0.3,265.4857161142857,100.0,False,6,10623.171470628571,1,22.02371775702737,0.004069360429352966,43.0,-1498.0,1,33,HARD,10
0.4,265.4857161142857,100.0,False,6,10623.171470628571,1,22.02371775702737,0.004069360429352966,43.0,-1498.0,1,33,HARD,10
0.5,267.0,100.0,False,7,10658.0,1,29.922222222222224,0.005528780763209895,-50.01458800819877,-1522.2184007134786,1,33,HARD,10
0.6,269.1750016,100.0,False,7,10731.9500544,1,42.97907967829679,0.007941318902757124,-219.0,-1567.0,1,33,HARD,10
0.7,269.1750016,100.0,False,7,10731.9500544,1,42.97907967829679,0.007941318902757124,-219.0,-1567.0,1,33,HARD,10
0.8,271.0,100.0,False,7,10794.0,1,54.011111111111106,0.009979726435188747,-313.4558254088687,-1590.5769579415082,1,33,HARD,10
0.9,271.0,100.0,False,7,10794.0,1,54.011111111111106,0.009979726435188747,-313.4558254088687,-1590.5769579415082,1,33,HARD,10
1.0,274.0,100.0,False,7,10867.0,1,72.27777777777777,0.01335489003515795,-423.13629229443694,-1615.3670023406125,1,33,HARD,10
1.1,274.40500096,100.0,False,7,10886.30504576,1,76.4102071025431,0.014118446150288965,-459.0,-1624.0,1,33,HARD,10
1.2,275.75500096,100.0,False,7,10950.65504576,1,90.24347610918149,0.016674443195167872,-601.0,-1659.0,1,33,HARD,10
1.3,275.75500096,100.0,False,7,10950.65504576,1,90.24347610918149,0.016674443195167872,-601.0,-1659.0,1,33,HARD,10
1.4,277.0,100.0,False,7,11010.0,1,103.05555555555556,0.019041753278415067,-702.9157321187508,-1683.3916296441637,1,33,HARD,10
1.5,277.9124992,100.0,False,7,11060.6437056,1,108.70227388013313,0.020085107191648275,-760.0,-1697.0,1,33,HARD,10
1.6,279.0,100.0,False,7,11121.0,1,115.45555555555555,0.02133292272948905,-849.6711002716982,-1718.5244862289214,1,33,HARD,10
1.7,280.9250016,100.0,False,7,11124.8500032,1,127.51094997974312,0.02356041881217827,-1021.0,-1760.0,1,33,HARD,10
1.8,282.0,100.0,False,7,11127.0,1,134.25555555555553,0.02480663125208509,-1086.6091139851599,-1776.1809637110214,1,33,HARD,10
1.9,282.0,100.0,False,7,11127.0,1,134.25555555555553,0.02480663125208509,-1086.6091139851599,-1776.1809637110214,1,33,HARD,10
2.0,282.0,100.0,False,7,11231.0,1,146.78888888888886,0.027122436933815785,-1151.0950688623823,-1792.8970279317427,1,33,HARD,10
2.1,283.74000128,100.0,False,7,11182.27996416,1,160.50967852001133,0.029657650969899703,-1242.0,-1816.0,1,33,HARD,10
2.2,284.0,100.0,False,7,11175.0,1,162.56666666666666,0.03003772422819308,-1261.451453290287,-1820.8284765746448,1,33,HARD,10
2.3,284.96666737777775,100.0,False,7,11250.400055466667,1,176.3683365268306,0.03258788264411374,-1421.0,-1860.0,1,33,HARD,10
2.4,284.96666737777775,100.0,False,7,11250.400055466667,1,176.3683365268306,0.03258788264411374,-1421.0,-1860.0,1,33,HARD,10
2.5,286.0,100.0,False,7,11331.0,1,191.16666666666666,0.03532219570405727,-1606.605469468113,-1905.211691747821,1,33,HARD,10
2.6,286.0,100.0,False,7,11331.0,1,191.16666666666666,0.03532219570405727,-1606.605469468113,-1905.211691747821,1,33,HARD,10
2.7,287.1000009142857,100.0,False,7,11348.150047085714,1,205.0418588356958,0.03788593896417507,-1767.0,-1945.0,1,33,HARD,10
2.8,287.1000009142857,100.0,False,7,11348.150047085714,1,205.0418588356958,0.03788593896417507,-1767.0,-1945.0,1,33,HARD,10
2.9,287.1000009142857,100.0,False,7,11348.150047085714,1,205.0418588356958,0.03788593896417507,-1767.0,-1945.0,1,33,HARD,10
3.0,289.0,100.0,False,7,11435.0500096,1,232.2559258203242,0.04291432919922842,-2005.0,-2007.0,1,33,HARD,10
3.1,289.0,100.0,False,7,11422.0,1,239.24444444444444,0.04420560987502245,-2066.046560747412,-2021.8613568713854,1,33,HARD,10
3.2,289.0,100.0,False,7,11422.0,1,239.24444444444444,0.04420560987502245,-2066.046560747412,-2021.8613568713854,1,33,HARD,10
3.3,291.0,100.0,False,7,11463.0,1,255.4111111111111,0.047192752842148473,-2247.000519228108,-2065.0495296560625,1,33,HARD,10
3.4,291.0,100.0,False,7,11463.0,1,255.4111111111111,0.047192752842148473,-2247.000519228108,-2065.0495296560625,1,33,HARD,10
3.5,291.0,100.0,False,7,11488.853579135915,1,270.99955729526783,0.05007305701044289,-2462.0,-2117.0,1,33,HARD,10
3.6,291.0,100.0,False,7,11488.853579135915,1,270.99955729526783,0.05007305701044289,-2462.0,-2117.0,1,33,HARD,10
3.7,291.0,100.0,False,7,11506.0,1,281.3586111111111,0.05198711730438575,-2541.74023069456,-2136.291461245666,1,33,HARD,10
3.8,291.0,100.0,False,7,11506.0,1,281.3586111111111,0.05198711730438575,-2541.74023069456,-2136.291461245666,1,33,HARD,10
3.9,293.0,100.0,False,7,11577.0,1,304.1475,0.05619785972746169,-2672.766581200611,-2169.623050011074,1,33,HARD,10
4.0,293.46861912137393,100.0,False,7,11050.27210757567,1,313.2922803622813,0.05788755661478752,-2764.0,-2193.0,1,33,HARD,10
4.1,293.46861912137393,100.0,False,7,11050.27210757567,1,313.2922803622813,0.05788755661478752,-2764.0,-2193.0,1,33,HARD,10
4.2,294.0,100.0,False,8,10453.0,1,323.6658333333333,0.05980429594272075,-2888.978283778267,-2223.472078037081,1,33,HARD,10
4.3,294.0928585142857,100.0,False,8,10471.671453257142,1,337.7968346002751,0.0624153054923905,-3063.0,-2265.0,1,33,HARD,10
4.4,294.0928585142857,100.0,False,8,10471.671453257142,1,337.7968346002751,0.0624153054923905,-3063.0,-2265.0,1,33,HARD,10
4.5,294.0928585142857,100.0,False,8,10471.671453257142,1,337.7968346002751,0.0624153054923905,-3063.0,-2265.0,1,33,HARD,10
4.6,296.0,100.0,False,8,10506.0,1,359.7547222222222,0.06647250237380346,-3260.2636930419667,-2313.0256407261722,1,33,HARD,10
4.7,296.0,100.0,False,8,10506.0,1,359.7547222222222,0.06647250237380346,-3260.2636930419667,-2313.0256407261722,1,33,HARD,10
4.8,296.97500053333334,100.0,False,8,10545.000021333333,1,379.05964546673056,0.07003950643776682,-3437.0,-2355.0,1,33,HARD,10
4.9,297.0,100.0,False,8,10546.0,1,379.5547222222222,0.07013098262632483,-3442.045793202393,-2356.203148905805,1,33,HARD,10
5.0,297.0,100.0,False,8,10568.33003136,1,395.5588020501147,0.07308808414198747,-3604.0,-2395.0,1,33,HARD,10
5.1,297.0,100.0,False,8,10568.33003136,1,395.5588020501147,0.07308808414198747,-3604.0,-2395.0,1,33,HARD,10
5.2,297.0,100.0,False,8,10609.0,1,409.25472222222214,0.07561870300510687,-3728.2517888000757,-2424.7771126956964,1,33,HARD,10
5.3,297.0,100.0,False,8,10609.0,1,409.25472222222214,0.07561870300510687,-3728.2517888000757,-2424.7771126956964,1,33,HARD,10
5.4,298.0,100.0,False,8,10563.0,1,425.8102777777777,0.07867770164498163,-4028.096460900637,-2496.8026754249763,1,33,HARD,10
5.5,298.0,100.0,False,8,10563.0,1,425.8102777777777,0.07867770164498163,-4028.096460900637,-2496.8026754249763,1,33,HARD,10
5.6,298.0,100.0,False,8,10543.0,1,439.05472222222215,0.08112490055688144,-4114.885041123885,-2515.881236928614,1,33,HARD,10
5.7,298.0,100.0,False,8,10543.0,1,439.05472222222215,0.08112490055688144,-4114.885041123885,-2515.881236928614,1,33,HARD,10
5.8,295.2428580571429,31.07145142857142,False,8,10338.282210742856,1,454.8794214308788,0.08404885760521282,-4173.0,-2525.0,1,33,HARD,10
5.9,294.0,0.0,True,8,10246.0,1,461.9213888888888,0.08535001411450713,-4224.345590459374,-2534.0731707639907,1,33,HARD,10
