Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TimeSeconds
0 days 00:00:48.094000,19.1,65.0,1011.9,False,32.2,149,1.0,48.094
0 days 00:01:48.098000,19.0,63.0,1011.9,False,32.1,151,2.1,108.098
0 days 00:02:48.098000,19.1,64.0,1011.8,False,31.5,173,1.5,168.098
0 days 00:03:48.098000,19.0,65.0,1011.8,False,31.7,171,1.3,228.098
0 days 00:04:48.098000,19.0,66.0,1011.8,False,31.5,223,0.9,288.098
0 days 00:05:48.089000,18.9,66.0,1011.8,False,31.5,174,0.6,348.089
0 days 00:06:48.098000,18.9,66.0,1011.7,False,31.6,150,0.8,408.098
0 days 00:07:48.100000,18.9,66.0,1011.7,False,31.9,143,1.1,468.1
0 days 00:08:48.101000,19.0,65.0,1011.7,False,32.3,141,1.1,528.101
0 days 00:09:48.103000,19.1,64.0,1011.8,False,31.9,188,1.8,588.103
0 days 00:10:48.104000,19.1,64.0,1011.7,False,31.9,123,1.1,648.104
0 days 00:11:48.104000,19.1,64.0,1011.7,False,31.9,148,1.4,708.104
0 days 00:12:48.105000,19.1,65.0,1011.6,False,32.0,167,1.4,768.105
0 days 00:13:48.104000,19.1,63.0,1011.6,False,31.8,143,1.6,828.104
0 days 00:14:48.105000,19.0,65.0,1011.7,False,31.8,140,1.4,888.105
0 days 00:15:48.105000,19.0,65.0,1011.6,False,31.7,163,1.9,948.105
0 days 00:16:48.111000,19.0,65.0,1011.6,False,31.7,212,1.4,1008.111
0 days 00:17:48.106000,19.0,65.0,1011.6,False,31.5,180,1.0,1068.106
0 days 00:18:48.108000,18.9,65.0,1011.6,False,31.1,190,1.5,1128.108
0 days 00:19:48.110000,18.8,66.0,1011.5,False,31.0,183,1.4,1188.11
0 days 00:20:48.109000,18.8,66.0,1011.5,False,31.3,84,1.4,1248.109
0 days 00:21:48.150000,18.7,66.0,1011.6,False,31.3,162,0.9,1308.15
0 days 00:22:48.122000,18.8,65.0,1011.6,False,31.3,120,0.6,1368.122
0 days 00:23:48.126000,18.6,65.0,1011.6,False,31.3,215,0.8,1428.126
0 days 00:24:48.127000,18.6,65.0,1011.5,False,31.3,156,1.3,1488.127
0 days 00:25:48.143000,18.7,65.0,1011.6,False,31.3,206,1.0,1548.143
0 days 00:26:48.173000,18.7,65.0,1011.5,False,31.3,200,0.7,1608.173
0 days 00:27:48.180000,18.7,64.0,1011.5,False,31.3,127,0.5,1668.18
0 days 00:28:48.192000,18.8,65.0,1011.5,False,31.3,164,0.4,1728.192
0 days 00:29:48.208000,18.8,64.0,1011.5,False,31.3,93,1.4,1788.208
0 days 00:30:48.210000,18.8,64.0,1011.5,False,31.3,93,1.4,1848.21
0 days 00:31:48.210000,18.8,64.0,1011.5,False,31.3,129,0.8,1908.21
0 days 00:32:48.211000,18.8,65.0,1011.5,False,31.3,0,0.8,1968.211
0 days 00:33:48.208000,18.7,66.0,1011.5,False,31.3,142,0.6,2028.208
0 days 00:34:48.214000,18.8,64.0,1011.4,False,31.3,151,1.2,2088.214
0 days 00:35:48.228000,18.8,64.0,1011.5,False,31.3,132,1.1,2148.228
0 days 00:36:48.227000,18.8,64.0,1011.6,False,31.3,181,1.0,2208.227
0 days 00:37:48.231000,18.9,63.0,1011.6,False,30.4,180,1.2,2268.231
0 days 00:38:48.231000,18.9,64.0,1011.6,False,30.3,184,1.3,2328.231
0 days 00:39:48.249000,18.8,65.0,1011.6,False,30.6,228,1.1,2388.249
0 days 00:40:48.255000,18.8,65.0,1011.6,False,30.8,169,0.4,2448.255
0 days 00:41:48.253000,18.8,65.0,1011.6,False,30.6,201,1.0,2508.253
0 days 00:42:48.251000,18.9,65.0,1011.6,False,31.0,194,1.0,2568.251
0 days 00:43:48.250000,19.0,65.0,1011.6,False,30.7,305,1.1,2628.25
0 days 00:44:48.251000,18.9,65.0,1011.7,False,30.9,270,0.7,2688.251
0 days 00:45:48.267000,19.0,65.0,1011.6,False,31.2,240,0.9,2748.267
0 days 00:46:48.252000,18.9,65.0,1011.6,False,31.2,65,0.7,2808.252
0 days 00:47:48.253000,19.0,64.0,1011.6,False,31.2,133,0.6,2868.253
0 days 00:48:48.255000,18.9,64.0,1011.6,False,30.8,178,1.7,2928.255
0 days 00:49:48.253000,18.9,64.0,1011.6,False,30.6,195,1.3,2988.253
0 days 00:50:48.261000,18.8,65.0,1011.7,False,30.7,122,0.6,3048.261
0 days 00:51:48.258000,18.8,65.0,1011.7,False,30.8,129,1.2,3108.258
0 days 00:52:48.256000,18.8,65.0,1011.6,False,30.8,166,1.3,3168.256
0 days 00:53:48.256000,18.9,66.0,1011.6,False,30.6,171,1.4,3228.256
0 days 00:54:48.257000,18.9,65.0,1011.6,False,30.5,143,1.1,3288.257
0 days 00:55:48.257000,18.8,66.0,1011.5,False,30.3,122,1.4,3348.257
0 days 00:56:48.257000,18.8,66.0,1011.5,False,31.1,114,1.5,3408.257
0 days 00:57:48.260000,18.7,66.0,1011.5,False,31.3,175,1.1,3468.26
0 days 00:58:48.258000,18.7,65.0,1011.5,False,31.0,150,1.3,3528.258
0 days 00:59:48.261000,18.8,65.0,1011.5,False,30.4,0,1.0,3588.261
0 days 01:00:48.265000,18.8,65.0,1011.4,False,31.0,129,1.5,3648.265
0 days 01:01:48.259000,18.9,65.0,1011.4,False,30.6,126,2.4,3708.259
0 days 01:02:48.267000,19.0,65.0,1011.5,False,30.5,152,3.2,3768.267
0 days 01:03:48.264000,19.0,66.0,1011.3,False,30.7,94,1.6,3828.264
0 days 01:04:48.263000,19.0,66.0,1011.3,False,30.7,138,1.6,3888.263
