RelativeTime_s,Speed,Throttle,Brake,nGear,RPM,DRS,Distance,RelativeDistance,X,Y,Driver,LapNumber,Compound,TyreLife
0.0,285.1937488,100.0,False,7,11336.8311664,0,0.08894738894633303,1.8219194703362953e-05,-1526.6593220634097,-1606.5677186175328,1,38,HARD,14
0.1,286.0,100.0,False,7,11393.0,0,3.5136111111111106,0.0007196969546105012,-1576.6006494609167,-1609.5890084926666,1,38,HARD,14
0.2,287.22500053333334,100.0,False,7,11423.012513066667,0,15.263042106104844,0.003126346250192096,-1701.0,-1617.0,1,38,HARD,14
0.3,288.0,100.0,False,7,11442.0,0,22.71361111111111,0.004652454761763466,-1742.7962028145857,-1619.3641002250256,1,38,HARD,14
0.4,288.0,100.0,False,7,11442.0,0,22.71361111111111,0.004652454761763466,-1742.7962028145857,-1619.3641002250256,1,38,HARD,14
0.5,289.40500096,100.0,False,7,11552.98497152,0,37.737730916507175,0.007729862285736011,-1813.0,-1623.0,1,38,HARD,14
0.6,289.40500096,100.0,False,7,11552.98497152,0,37.737730916507175,0.007729862285736011,-1813.0,-1623.0,1,38,HARD,14
0.7,292.0,100.0,False,7,11476.0,0,51.78027777777778,0.010606213108703372,-1994.573472903389,-1632.9778399487045,1,38,HARD,14
0.8,292.53500032,100.0,False,7,11513.98502272,0,60.48207742417511,0.012388612613685145,-2104.0,-1639.0,1,38,HARD,14
0.9,293.0,100.0,False,7,11547.0,0,68.05805555555555,0.013940408819050069,-2170.0997249278603,-1642.5992244710278,1,38,HARD,14
1.0,293.0,100.0,False,7,11547.0,0,68.05805555555555,0.013940408819050069,-2170.0997249278603,-1642.5992244710278,1,38,HARD,14
1.1,294.0388892444444,100.0,False,7,10986.519252622222,0,83.34753040197745,0.017072169317463325,-2267.0,-1648.0,1,38,HARD,14
1.2,294.0388892444444,100.0,False,7,10986.519252622222,0,83.34753040197745,0.017072169317463325,-2267.0,-1648.0,1,38,HARD,14
1.3,295.0,100.0,False,7,10468.0,0,97.55805555555557,0.01998292732483197,-2399.806215679833,-1656.022285422751,1,38,HARD,14
1.4,296.25250048,100.0,False,7,10535.21752576,0,111.33487400055378,0.022804848694482793,-2545.0,-1664.0,1,38,HARD,14
1.5,296.25250048,100.0,False,7,10535.21752576,0,111.33487400055378,0.022804848694482793,-2545.0,-1664.0,1,38,HARD,14
1.6,297.90250048,100.0,False,7,10623.76752576,0,129.58635757458,0.02654332080478882,-2726.0,-1671.0,1,38,HARD,14
1.7,298.0,100.0,False,8,10629.0,0,130.66916666666668,0.02676511382096382,-2736.7845525539506,-1671.3166608759125,1,38,HARD,14
1.8,299.7785728,100.0,False,8,10691.8429056,0,144.53749897313594,0.029605780078800215,-2876.0,-1675.0,1,38,HARD,14
