Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TimeSeconds
0 days 00:00:26.141000,33.2,38.0,993.8,False,52.1,318,0.7,26.141
0 days 00:01:26.139000,33.2,37.0,993.9,False,52.1,207,1.0,86.139
0 days 00:02:26.141000,33.2,37.0,993.9,False,52.8,230,1.3,146.141
0 days 00:03:26.146000,33.2,36.0,993.8,False,52.8,200,0.7,206.146
0 days 00:04:26.151000,33.3,36.0,993.8,False,52.8,182,0.8,266.151
0 days 00:05:26.168000,33.3,36.0,993.8,False,53.0,318,0.8,326.168
0 days 00:06:26.187000,33.3,35.0,993.9,False,53.0,349,1.5,386.187
0 days 00:07:26.203000,33.4,35.0,993.8,False,52.7,0,1.7,446.203
0 days 00:08:26.205000,33.3,35.0,993.8,False,53.0,230,0.4,506.205
0 days 00:09:26.214000,33.3,34.0,993.8,False,53.3,229,1.6,566.214
0 days 00:10:26.225000,33.4,34.0,993.8,False,53.2,177,1.6,626.225
0 days 00:11:26.228000,33.3,34.0,993.7,False,53.2,198,1.6,686.228
0 days 00:12:26.230000,33.3,34.0,993.8,False,53.4,177,3.2,746.23
0 days 00:13:26.237000,33.4,34.0,993.8,False,53.4,233,0.7,806.237
0 days 00:14:26.223000,33.4,34.0,993.9,False,53.2,40,0.8,866.223
0 days 00:15:26.221000,33.4,33.0,993.8,False,53.5,225,0.7,926.221
0 days 00:16:26.234000,33.3,34.0,993.8,False,53.4,220,1.1,986.234
0 days 00:17:26.255000,33.2,35.0,993.8,False,53.4,214,1.5,1046.255
0 days 00:18:26.243000,33.1,34.0,993.8,False,54.2,195,2.7,1106.243
0 days 00:19:26.249000,33.3,33.0,993.7,False,54.2,202,2.5,1166.249
0 days 00:20:26.246000,33.6,33.0,993.7,False,54.0,232,1.3,1226.246
0 days 00:21:26.248000,33.7,33.0,993.6,False,53.3,226,1.4,1286.248
0 days 00:22:26.251000,33.5,32.0,993.7,False,53.0,200,1.6,1346.251
0 days 00:23:26.258000,33.5,33.0,993.7,False,52.0,196,0.9,1406.258
0 days 00:24:26.270000,33.5,33.0,993.6,False,51.8,222,0.9,1466.27
0 days 00:25:26.295000,33.7,32.0,993.6,False,52.2,163,1.6,1526.295
0 days 00:26:26.289000,33.6,32.0,993.7,False,52.8,195,1.4,1586.289
0 days 00:27:26.299000,33.5,32.0,993.5,False,52.7,195,0.8,1646.299
0 days 00:28:26.307000,33.5,32.0,993.4,False,53.0,181,0.7,1706.307
0 days 00:29:26.335000,33.6,31.0,993.4,False,53.5,243,0.9,1766.335
0 days 00:30:26.329000,33.8,31.0,993.5,False,53.5,350,1.2,1826.329
0 days 00:31:26.352000,33.7,31.0,993.5,False,53.5,312,1.6,1886.352
0 days 00:32:26.369000,33.6,31.0,993.5,False,53.8,324,0.7,1946.369
0 days 00:33:26.362000,33.6,31.0,993.4,False,53.8,156,1.4,2006.362
0 days 00:34:26.360000,33.7,32.0,993.4,False,53.7,119,1.7,2066.36
0 days 00:35:26.354000,33.6,32.0,993.4,False,53.7,121,1.4,2126.354
0 days 00:36:26.361000,33.8,33.0,993.5,False,53.6,198,1.3,2186.361
0 days 00:37:26.365000,33.9,33.0,993.5,False,52.9,239,1.7,2246.365
0 days 00:38:26.374000,33.8,34.0,993.4,False,52.8,215,1.7,2306.374
0 days 00:39:26.372000,33.7,33.0,993.4,False,52.9,185,2.0,2366.372
0 days 00:40:26.375000,33.6,34.0,993.5,False,53.8,206,2.3,2426.375
0 days 00:41:26.365000,33.9,32.0,993.4,False,54.0,202,1.3,2486.365
0 days 00:42:26.369000,33.9,33.0,993.5,False,53.8,0,0.9,2546.369
0 days 00:43:26.375000,33.9,33.0,993.5,False,53.3,214,0.6,2606.375
0 days 00:44:26.364000,34.0,33.0,993.4,False,53.8,220,1.9,2666.364
0 days 00:45:26.378000,34.1,33.0,993.4,False,53.9,240,1.1,2726.378
0 days 00:46:26.377000,34.0,32.0,993.3,False,54.1,265,1.1,2786.377
0 days 00:47:26.371000,33.9,32.0,993.3,False,53.9,352,0.6,2846.371
0 days 00:48:26.382000,33.7,32.0,993.3,False,53.7,270,0.8,2906.382
0 days 00:49:26.378000,33.7,33.0,993.2,False,53.7,205,1.5,2966.378
0 days 00:50:26.385000,33.8,33.0,993.2,False,54.4,196,2.4,3026.385
0 days 00:51:26.384000,33.7,33.0,993.2,False,54.4,201,2.4,3086.384
0 days 00:52:26.377000,33.8,33.0,993.2,False,54.6,198,2.1,3146.377
0 days 00:53:26.386000,33.8,33.0,993.2,False,53.5,190,2.0,3206.386
0 days 00:54:26.375000,33.8,33.0,993.2,False,52.4,192,2.8,3266.375
0 days 00:55:26.380000,33.8,33.0,993.3,False,51.7,194,2.2,3326.38
0 days 00:56:26.384000,33.8,32.0,993.2,False,51.3,191,1.9,3386.384
0 days 00:57:26.393000,33.9,31.0,993.2,False,50.5,218,1.4,3446.393
0 days 00:58:26.388000,33.8,30.0,993.2,False,50.4,183,0.7,3506.388
0 days 00:59:26.375000,33.7,30.0,993.3,False,50.6,185,2.3,3566.375
0 days 01:00:26.383000,33.7,31.0,993.2,False,50.6,201,1.9,3626.383
0 days 01:01:26.378000,33.7,30.0,993.2,False,50.7,192,2.3,3686.378
0 days 01:02:26.388000,33.7,31.0,993.2,False,50.6,194,1.8,3746.388
0 days 01:03:26.395000,33.5,31.0,993.1,False,50.2,192,2.0,3806.395
0 days 01:04:26.396000,33.5,32.0,993.1,False,49.6,170,2.1,3866.396
0 days 01:05:26.429000,33.4,32.0,993.1,False,49.5,0,0.6,3926.429
0 days 01:06:26.407000,33.3,32.0,993.1,False,49.5,200,1.0,3986.407
0 days 01:07:26.408000,33.3,31.0,993.1,False,49.0,239,1.7,4046.408
0 days 01:08:26.411000,33.3,31.0,993.1,False,48.7,219,1.2,4106.411
0 days 01:09:26.416000,33.3,31.0,993.0,False,48.6,196,1.8,4166.416
0 days 01:10:26.425000,33.2,31.0,993.1,False,48.4,197,1.5,4226.425
0 days 01:11:26.432000,33.2,31.0,993.2,False,47.7,232,1.6,4286.432
0 days 01:12:26.439000,33.1,32.0,993.1,False,47.6,183,1.0,4346.439
0 days 01:13:26.449000,33.0,31.0,993.0,False,47.6,177,1.3,4406.449
0 days 01:14:26.449000,33.0,31.0,993.1,False,47.5,188,2.3,4466.449
0 days 01:15:26.447000,32.9,31.0,993.0,False,48.0,197,2.3,4526.447
0 days 01:16:26.443000,32.9,31.0,993.0,False,47.9,197,1.9,4586.443
0 days 01:17:26.454000,32.8,31.0,993.0,False,47.9,197,2.0,4646.454
0 days 01:18:26.459000,32.8,30.0,993.1,False,47.8,195,1.9,4706.459
0 days 01:19:26.473000,32.9,31.0,993.0,False,47.5,178,1.4,4766.473
0 days 01:20:26.496000,32.9,31.0,993.0,False,47.2,195,1.7,4826.496
0 days 01:21:26.502000,32.8,31.0,993.0,False,47.0,200,1.3,4886.502
0 days 01:22:26.501000,32.8,31.0,993.0,False,46.8,192,1.1,4946.501
0 days 01:23:26.498000,32.8,31.0,993.0,False,46.6,200,1.6,5006.498
0 days 01:24:26.555000,32.8,31.0,993.0,False,46.5,183,2.2,5066.555
0 days 01:25:26.495000,32.8,32.0,993.0,False,46.3,196,1.8,5126.495
0 days 01:26:26.504000,32.7,31.0,992.9,False,46.2,188,1.8,5186.504
0 days 01:27:26.519000,32.7,31.0,993.0,False,46.1,177,1.5,5246.519
0 days 01:28:26.518000,32.6,31.0,993.0,False,45.9,190,1.2,5306.518
0 days 01:29:26.514000,32.6,31.0,993.0,False,45.7,198,1.6,5366.514
0 days 01:30:26.537000,32.6,32.0,993.0,False,45.8,194,1.8,5426.537
