RelativeTime_s,Speed,Throttle,Brake,nGear,RPM,DRS,Distance,RelativeDistance,X,Y,Driver,LapNumber,Compound,TyreLife
0.0,272.01666666666665,100.0,False,7,10922.35,12,0.22722683993974924,3.933925172411586e-05,1645.90022927723,-778.526491023789,1,50,HARD,16
0.1,272.01666666666665,100.0,False,7,10922.35,12,0.22722683993974924,3.933925172411586e-05,1645.90022927723,-778.526491023789,1,50,HARD,16
0.2,275.7520848,100.0,False,7,10960.0437648,12,12.922528071370767,0.002237247082459107,1743.0,-892.0,1,50,HARD,16
0.3,275.7520848,100.0,False,7,10960.0437648,12,12.922528071370767,0.002237247082459107,1743.0,-892.0,1,50,HARD,16
0.4,281.0,100.0,False,7,11013.0,12,30.86666666666667,0.005343873858415427,1912.8556107771951,-1091.0928630727196,1,50,HARD,16
0.5,281.0,100.0,False,7,11013.0,12,30.86666666666667,0.005343873858415427,1912.8556107771951,-1091.0928630727196,1,50,HARD,16
0.6,284.0,100.0,False,7,11264.0,12,43.488888888888894,0.007529129691086387,1962.9797229143599,-1151.869073615164,1,50,HARD,16
0.7,285.364584,100.0,False,7,11336.0500352,12,53.918998071638924,0.009334870116640921,2005.0,-1202.0,1,50,HARD,16
0.8,285.364584,100.0,False,7,11336.0500352,12,53.918998071638924,0.009334870116640921,2005.0,-1202.0,1,50,HARD,16
0.9,285.364584,100.0,False,7,11336.0500352,12,53.918998071638924,0.009334870116640921,2005.0,-1202.0,1,50,HARD,16
1.0,288.28125066666666,100.0,False,7,11490.0500352,12,76.45445546932343,0.013236381186022807,2151.0,-1371.0,1,50,HARD,16
1.1,289.0,100.0,False,7,11528.0,12,82.02222222222223,0.01420031563096569,2184.4502345178366,-1409.9419016832953,1,50,HARD,16
1.2,289.9045236085954,100.0,False,7,11528.452261804297,12,89.2888983977771,0.015458378293561306,2235.0,-1469.0,1,50,HARD,16
1.3,291.0,100.0,False,7,11529.0,12,98.10805555555557,0.016985218360150166,2327.7968506960387,-1577.377109669263,1,50,HARD,16
1.4,291.83250048,100.0,False,7,11503.74748544,12,107.12552383975745,0.018546391568563882,2425.0,-1691.0,1,50,HARD,16
1.5,291.83250048,100.0,False,7,11503.74748544,12,107.12552383975745,0.018546391568563882,2425.0,-1691.0,1,50,HARD,16
1.6,291.83250048,100.0,False,7,11503.74748544,12,107.12552383975745,0.018546391568563882,2425.0,-1691.0,1,50,HARD,16
1.7,294.0,100.0,False,7,11438.0,12,130.77472222222224,0.022640722011604938,2537.8777325227393,-1824.0279744447137,1,50,HARD,16
1.8,294.0,100.0,False,7,11438.0,12,130.77472222222224,0.022640722011604938,2537.8777325227393,-1824.0279744447137,1,50,HARD,16
1.9,295.9111111111111,100.0,False,7,11070.111111111111,12,144.9649289129208,0.02509743933060933,2596.0,-1891.0,1,50,HARD,16
2.0,298.0,100.0,False,8,10668.0,12,160.57472222222225,0.027799926363034088,2703.878121376492,-2014.0936790754065,1,50,HARD,16
2.1,298.48,100.0,False,8,10673.44,12,163.24222208199947,0.028261744379275675,2727.0,-2041.0,1,50,HARD,16
2.2,301.0,100.0,False,8,10702.0,12,177.29694444444445,0.03069500561318355,2864.888320194121,-2204.281762257019,1,50,HARD,16
2.3,301.6375008,100.0,False,8,10731.0062864,12,181.58040548830547,0.0314365912124005,2900.0,-2246.0,1,50,HARD,16
2.4,303.0,100.0,False,8,10793.0,12,190.76361111111112,0.033026458138885315,2953.6300334685693,-2309.4156339647493,1,50,HARD,16
2.5,303.0,100.0,False,8,10793.0,12,190.76361111111112,0.033026458138885315,2953.6300334685693,-2309.4156339647493,1,50,HARD,16
2.6,304.6230774153846,100.0,False,8,10854.27117243077,12,208.66323213268564,0.03612537769134974,3020.0,-2387.0,1,50,HARD,16
2.7,304.6230774153846,100.0,False,8,10854.27117243077,12,208.66323213268564,0.03612537769134974,3020.0,-2387.0,1,50,HARD,16
2.8,306.3076932923077,100.0,False,8,10917.865421784616,12,227.3871286503151,0.03936700213394917,3130.0,-2516.0,1,50,HARD,16
2.9,307.0,100.0,False,8,10944.0,12,235.10805555555555,0.040703708163700274,3179.6139754406922,-2573.3369175141456,1,50,HARD,16
3.0,307.6656256,100.0,False,8,10964.4125184,12,241.20941461888657,0.041760022198236144,3220.0,-2620.0,1,50,HARD,16
3.1,307.6656256,100.0,False,8,10964.4125184,12,241.20941461888657,0.041760022198236144,3220.0,-2620.0,1,50,HARD,16
3.2,310.0,100.0,False,8,11036.0,12,262.6636111111111,0.045474337094179126,3369.7142890684704,-2794.9554757077594,1,50,HARD,16
3.3,310.2958336,100.0,False,8,11037.479168,12,268.7889959884185,0.046534810661735586,3410.0,-2842.0,1,50,HARD,16
3.4,310.2958336,100.0,False,8,11037.479168,12,268.7889959884185,0.046534810661735586,3410.0,-2842.0,1,50,HARD,16
3.5,311.0,100.0,False,8,11041.0,12,283.39694444444444,0.04906385063622491,3497.52106347544,-2943.6397165973103,1,50,HARD,16
3.6,311.75833386666665,100.0,False,8,11074.366690133333,12,291.2947196914223,0.050431174006051,3545.0,-2999.0,1,50,HARD,16
3.7,313.0,100.0,False,8,11129.0,12,304.2636111111111,0.05267644786664399,3628.5381892806895,-3097.300615826676,1,50,HARD,16
3.8,313.0,100.0,False,8,11129.0,12,304.2636111111111,0.05267644786664399,3628.5381892806895,-3097.300615826676,1,50,HARD,16
3.9,314.0,100.0,False,8,11138.0,12,318.2191666666667,0.05509254058304779,3718.908482596841,-3203.758599348439,1,50,HARD,16
4.0,314.0,100.0,False,8,11138.0,12,318.2191666666667,0.05509254058304779,3718.908482596841,-3203.758599348439,1,50,HARD,16
4.1,314.96250026666667,100.0,False,8,11170.243758933333,12,338.45826450146455,0.05859648828835952,3850.0,-3357.0,1,50,HARD,16
4.2,314.96250026666667,100.0,False,8,11170.243758933333,12,338.45826450146455,0.05859648828835952,3850.0,-3357.0,1,50,HARD,16
4.3,315.62916693333335,100.0,False,8,11192.577092266667,12,352.523785824641,0.06103161912109948,3970.0,-3498.0,1,50,HARD,16
4.4,316.0,100.0,False,8,11205.0,12,360.3525,0.06238698610900578,4027.5439621861274,-3566.076497449095,1,50,HARD,16
4.5,316.0,100.0,False,8,11205.0,12,360.3525,0.06238698610900578,4027.5439621861274,-3566.076497449095,1,50,HARD,16
4.6,317.0,100.0,False,8,11249.0,12,377.96361111111116,0.06543595661497716,4133.652307655642,-3692.545991656846,1,50,HARD,16
4.7,318.0,100.0,False,8,11266.0,12,392.0969444444445,0.06788282758254534,4226.709424523156,-3802.88929504958,1,50,HARD,16
4.8,318.0,100.0,False,8,11266.0,12,392.0969444444445,0.06788282758254534,4226.709424523156,-3802.88929504958,1,50,HARD,16
4.9,319.0,100.0,False,8,11268.0,12,406.2747222222223,0.07033739311290463,4375.220974049467,-3976.436173311524,1,50,HARD,16
5.0,319.0,100.0,False,8,11279.157152914286,12,412.5630034542292,0.0714260685456288,4427.0,-4037.0,1,50,HARD,16
5.1,319.0,100.0,False,8,11279.157152914286,12,412.5630034542292,0.0714260685456288,4427.0,-4037.0,1,50,HARD,16
5.2,319.25833386666665,100.0,False,8,11313.5500032,12,433.8432785306687,0.0751102728333461,4495.0,-4118.0,1,50,HARD,16
