RelativeTime_s,Speed,Throttle,Brake,nGear,RPM,DRS,Distance,RelativeDistance,X,Y,Driver,LapNumber,Compound,TyreLife
0.0,264.96666666666664,100.0,False,6,10790.65,0,0.03952021534932504,1.2026461524913172e-05,-7661.3723721235965,-6620.579788568581,16,71,HARD,70
0.1,264.96666666666664,100.0,False,6,10790.65,0,0.03952021534932504,1.2026461524913172e-05,-7661.3723721235965,-6620.579788568581,16,71,HARD,70
0.2,266.0857142857143,100.0,False,7,10728.057142857142,0,9.821216622483359,0.002988710531916466,-7667.0,-6523.0,16,71,HARD,70
0.3,266.0857142857143,100.0,False,7,10728.057142857142,0,9.821216622483359,0.002988710531916466,-7667.0,-6523.0,16,71,HARD,70
0.4,268.01428571428573,100.0,False,7,10819.342857142858,0,23.255007709822937,0.00707676952191818,-7675.0,-6390.0,16,71,HARD,70
0.5,269.74166613333335,100.0,False,7,10870.820829866667,0,36.83024293567834,0.011207871609604177,-7681.0,-6262.0,16,71,HARD,70
0.6,269.74166613333335,100.0,False,7,10870.820829866667,0,36.83024293567834,0.011207871609604177,-7681.0,-6262.0,16,71,HARD,70
0.7,271.0,100.0,False,7,10879.0,0,48.21555555555555,0.014672554758766243,-7678.014373146834,-6156.148343184273,16,71,HARD,70
0.8,272.02,100.0,False,7,10906.2,0,53.37605202796127,0.016242953900730887,-7674.0,-6088.0,16,71,HARD,70
0.9,274.0,97.43333333333334,False,7,10963.55,0,65.57550031214062,0.019955388008642636,-7660.0,-5876.0,16,71,HARD,70
1.0,274.0,97.43333333333334,False,7,10963.55,0,65.57550031214062,0.019955388008642636,-7660.0,-5876.0,16,71,HARD,70
1.1,274.0,78.0,False,7,10998.0,0,81.70444444444445,0.02486361344036312,-7648.474348230867,-5739.823628704846,16,71,HARD,70
1.2,274.0,78.0,False,7,10998.0,0,81.70444444444445,0.02486361344036312,-7648.474348230867,-5739.823628704846,16,71,HARD,70
1.3,263.0,9.0,True,7,10687.0,0,96.31555555555556,0.029309944616972238,-7637.0554435173,-5659.131736398829,16,71,HARD,70
1.4,263.0,9.0,True,7,10687.0,0,96.31555555555556,0.029309944616972238,-7637.0554435173,-5659.131736398829,16,71,HARD,70
1.5,263.0,9.0,True,7,10687.0,0,96.31555555555556,0.029309944616972238,-7637.0554435173,-5659.131736398829,16,71,HARD,70
1.6,237.35,3.87,True,7,10155.19,0,110.80575634927415,0.03371948137666756,-7614.0,-5498.0,16,71,HARD,70
1.7,217.17499245714285,0.0,True,7,9756.675024457143,0,120.91893506020381,0.036797039370380376,-7593.0,-5386.0,16,71,HARD,70
1.8,217.17499245714285,0.0,True,7,9756.675024457143,0,120.91893506020381,0.036797039370380376,-7593.0,-5386.0,16,71,HARD,70
1.9,217.17499245714285,0.0,True,7,9756.675024457143,0,120.91893506020381,0.036797039370380376,-7593.0,-5386.0,16,71,HARD,70
2.0,185.0,0.0,True,6,9861.0,0,134.92666666666668,0.04105975514071117,-7560.604248321541,-5237.080934332559,16,71,HARD,70
2.1,185.0,0.0,True,6,9861.0,0,134.92666666666668,0.04105975514071117,-7560.604248321541,-5237.080934332559,16,71,HARD,70
2.2,171.0,0.0,True,6,9938.0,0,142.81277058356517,0.04345958835264399,-7541.0,-5158.0,16,71,HARD,70
2.3,165.0,0.0,True,6,9971.0,0,145.92666666666668,0.044407183174812334,-7532.009545016941,-5122.751328936537,16,71,HARD,70
2.4,150.06666666666666,0.0,True,6,9678.4,0,152.43382818096825,0.04638738816348481,-7511.0,-5043.0,16,71,HARD,70
2.5,150.06666666666666,0.0,True,6,9678.4,0,152.43382818096825,0.04638738816348481,-7511.0,-5043.0,16,71,HARD,70
2.6,133.0,0.0,True,4,9344.0,0,159.22666666666666,0.0484545279796801,-7491.457182674825,-4976.683754616396,16,71,HARD,70
2.7,131.531248,0.0,True,4,9399.812576,0,160.9050612308458,0.048965282981172475,-7487.0,-4962.0,16,71,HARD,70
2.8,126.2,0.0,True,3,9271.2,0,166.57244847355292,0.05068993488447658,-7470.0,-4908.0,16,71,HARD,70
2.9,122.0,0.0,True,3,8658.0,0,170.33777777777777,0.05183576841816612,-7450.372979886919,-4854.167237185093,16,71,HARD,70
3.0,120.28888888888889,0.7333333333333334,True,3,8607.888888888889,0,173.22362993870047,0.052713966820506476,-7435.0,-4814.0,16,71,HARD,70
3.1,120.28888888888889,0.7333333333333334,True,3,8607.888888888889,0,173.22362993870047,0.052713966820506476,-7435.0,-4814.0,16,71,HARD,70
3.2,120.28888888888889,0.7333333333333334,True,3,8607.888888888889,0,173.22362993870047,0.052713966820506476,-7435.0,-4814.0,16,71,HARD,70
3.3,115.0,3.0,False,3,8453.0,0,181.83777777777777,0.05533535227199915,-7408.781318726801,-4755.302669076561,16,71,HARD,70
3.4,113.8,5.1,False,3,8356.4,0,185.1947102004016,0.0563569058810968,-7396.0,-4738.0,16,71,HARD,70
3.5,113.8,5.1,False,3,8356.4,0,185.1947102004016,0.0563569058810968,-7396.0,-4738.0,16,71,HARD,70
3.6,113.8,5.1,False,3,8356.4,0,185.1947102004016,0.0563569058810968,-7396.0,-4738.0,16,71,HARD,70
3.7,110.8,15.6,False,3,8173.4,0,194.40615469389434,0.05916005565674083,-7337.0,-4678.0,16,71,HARD,70
3.8,110.8,15.6,False,3,8173.4,0,194.40615469389434,0.05916005565674083,-7337.0,-4678.0,16,71,HARD,70
3.9,110.14,41.08,False,3,8403.2,0,201.12751199936213,0.061205442917789336,-7276.0,-4648.0,16,71,HARD,70
4.0,110.14,41.08,False,3,8403.2,0,201.12751199936213,0.061205442917789336,-7276.0,-4648.0,16,71,HARD,70
4.1,111.25,60.15,False,3,8781.6,0,206.69001452754372,0.06289817718166148,-7191.0,-4622.0,16,71,HARD,70
4.2,111.25,60.15,False,3,8781.6,0,206.69001452754372,0.06289817718166148,-7191.0,-4622.0,16,71,HARD,70
4.3,116.0,63.0,False,3,8945.0,0,211.5933333333333,0.06439031416626471,-7153.467550245292,-4612.840144078729,16,71,HARD,70
4.4,122.32,69.56,False,3,9254.04,0,217.2945939347997,0.066125274126907,-7118.0,-4609.0,16,71,HARD,70
4.5,122.32,69.56,False,3,9254.04,0,217.2945939347997,0.066125274126907,-7118.0,-4609.0,16,71,HARD,70
4.6,130.0,83.0,False,3,9951.0,0,224.23777777777775,0.0682381657852618,-7028.421327740339,-4598.445957810937,16,71,HARD,70
4.7,134.4,83.0,False,3,10074.2,0,227.5945018156142,0.06925965598044317,-6989.0,-4594.0,16,71,HARD,70
4.8,140.0,83.0,False,3,10231.0,0,232.01555555555552,0.07060503409220202,-6950.965357244637,-4590.142267066112,16,71,HARD,70
4.9,140.0,83.0,False,3,10231.0,0,232.01555555555552,0.07060503409220202,-6950.965357244637,-4590.142267066112,16,71,HARD,70
