Driver,LapNumber,Compound,TyreLife,LapTimeSeconds
1,67,INTERMEDIATE,35,80.472
31,64,INTERMEDIATE,34,81.771
10,66,INTERMEDIATE,34,81.645
63,66,INTERMEDIATE,37,81.645
16,60,INTERMEDIATE,31,81.631
4,67,INTERMEDIATE,39,81.517
22,69,INTERMEDIATE,40,81.828
81,69,INTERMEDIATE,39,81.532
30,67,INTERMEDIATE,38,82.123
44,69,INTERMEDIATE,37,82.041
11,67,INTERMEDIATE,35,82.143
50,64,INTERMEDIATE,32,82.494
77,67,INTERMEDIATE,35,82.877
14,59,INTERMEDIATE,27,82.293
24,65,INTERMEDIATE,34,83.058
55,19,INTERMEDIATE,19,84.201
43,21,INTERMEDIATE,21,84.296
27,21,INTERMEDIATE,21,83.764
