RelativeTime_s,Speed,Throttle,Brake,nGear,RPM,DRS,Distance,RelativeDistance,X,Y,Driver,LapNumber,Compound,TyreLife,Speed_mps,VX,VY,AX_long,AY_lat,Jerk_long,Jerk_lat,TireEnergyProxy
0.0,309.0,100.0,False,8,10885.63888,1,-0.0063743801643403,-1.4941823183616435e-06,-3674.23693906687,-5269.415667569373,1,67,INTERMEDIATE,35,85.7863490598291,296.8391929154677,-1184.7456367656014,-407.8561970160147,-5.03419770805,-2039.2482288572342,-27.779734106467593,50429.04291774542
0.1,309.0,100.0,False,8,10885.63888,1,-0.0063743801643403,-1.4941823183616435e-06,-3674.23693906687,-5269.415667569373,1,67,INTERMEDIATE,35,85.8244091619788,287.41503760284104,-1145.0605576734188,-611.7810199017381,-7.812171118696759,-2039.2079541505852,-30.775697382061285,123577.02698549767
0.2,309.0,100.0,False,8,10895.986115555555,1,12.772323944521444,0.0029938880503326,-3637.0,-5416.0,1,67,INTERMEDIATE,35,85.8622723127342,268.56672697758313,-1065.6903994890536,-815.6977878461317,-11.189337184462257,-1019.5198458328099,-21.37112509142413,214452.7915855256
0.3,309.0,100.0,False,8,10895.986115555555,1,12.772323944521444,0.0029938880503326,-3637.0,-5416.0,1,67,INTERMEDIATE,35,85.89993851209533,249.71841635232522,-986.3202413046929,-815.6849890683001,-12.086396136981586,441.8574047824234,18.493293342125934,298673.67536183
0.4,309.27916693333333,100.0,False,8,10911.070836266666,1,33.40407158019254,0.0078300590535282,-3557.0,-5732.0,1,67,INTERMEDIATE,35,85.93740776006217,230.87010572701502,-906.9500831204368,-727.3263068896471,-7.49067851603707,948.0186078929307,14.818729068335141,367443.2596143232
0.5,309.27916693333333,100.0,False,8,10911.070836266666,1,33.40407158019254,0.0078300590535282,-3557.0,-5732.0,1,67,INTERMEDIATE,35,85.97468005663501,215.2855134480683,-844.9810681221652,-626.0812674897139,-9.122650323314557,-70.91149363761588,-86.94969733638987,422831.4698891095
0.6,310.0,100.0,False,8,10919.0,1,48.305,0.0113229012119875,-3525.226650245728,-5856.766307690426,1,67,INTERMEDIATE,35,86.0286923988607,201.72300354765866,-785.1597490024778,-741.5086056171702,-24.880617983315044,-3334.401681649477,-118.52757238190864,484959.5014518174
0.7,310.0,100.0,False,8,10919.0,1,48.305,0.0113229012119875,-3525.226650245728,-5856.766307690426,1,67,INTERMEDIATE,35,86.07585202244698,183.20196547930664,-700.1059210335143,-1292.9616038196093,-32.82816479969629,2022.9746685130754,-6.9256076121932075,580904.1197137681
0.8,310.0,100.0,False,8,10919.0,1,48.305,0.0113229012119875,-3525.226650245728,-5856.766307690426,1,67,INTERMEDIATE,35,86.09581487594168,142.6111814431374,-533.3286778819365,-336.91367191455515,-26.265739505753686,13040.283241430116,139.47263276530106,600954.0386074263
0.9,310.0,100.0,False,8,10915.0,1,75.86055555555555,0.0177820427790508,-3480.7258671119507,-6022.169148475292,1,67,INTERMEDIATE,35,86.10387032573566,170.87034084200695,-633.6532349358549,1315.0950444664138,-4.933638246636076,7109.257130438233,129.7341732482929,687585.852198551
1.0,310.0,100.0,False,8,10915.0,1,75.86055555555555,0.0177820427790508,-3480.7258671119507,-6022.169148475292,1,67,INTERMEDIATE,35,86.12738228418765,212.0432531546362,-787.0197500317227,1084.9377541730914,-0.31890485609510055,-1452.2502635274793,52.410107298585494,776043.4194247344
1.1,310.0,100.0,False,8,10948.0,1,93.08277777777778,0.0218190062584654,-3434.3500544300377,-6194.710215108412,1,67,INTERMEDIATE,35,86.14870095832521,227.38098966644884,-843.1529911520829,1024.644991760918,5.548383213081024,-4885.46039292655,43.244823934691446,866007.6228442203
1.2,310.0,100.0,False,8,10948.0,1,93.08277777777778,0.0218190062584654,-3434.3500544300377,-6194.710215108412,1,67,INTERMEDIATE,35,86.19915727174325,264.3307177075508,-985.1690543416498,107.8456755877813,8.33005993084319,-9488.264246233797,-6.67983409588512,877857.7118443698
1.3,310.5949820295217,100.0,False,8,10954.54480232474,1,107.41702189387917,0.0251790151617907,-3398.0,-6332.0,1,67,INTERMEDIATE,35,86.25547358238013,231.361406657702,-864.4170327771644,-873.0078574858418,4.212416393904,-4081.199848189384,-37.97774167924639,956355.1987197185
1.4,311.0,100.0,False,8,10951.0928384,1,119.5193401789703,0.0280158509837164,-3366.0,-6449.0,1,67,INTERMEDIATE,35,86.38745696115012,218.37371893460158,-816.7221107328714,-708.3942940500955,0.7345115949939108,1559.3246742906138,-30.7392596432038,1016305.825641724
1.5,311.0,100.0,False,8,10951.0928384,1,119.5193401789703,0.0280158509837164,-3366.0,-6449.0,1,67,INTERMEDIATE,35,86.41699772745237,194.62322005471378,-727.5841922047175,-561.142922627719,-1.9354355347367596,6901.486480971573,-26.627771989002675,1058714.895770291
1.6,311.0,100.0,False,8,10892.52140982857,1,136.8026421734264,0.0320671318262828,-3322.0,-6615.0,1,67,INTERMEDIATE,35,86.4456984265342,189.74697614100933,-708.2052244060651,671.9030021442193,-4.591042802806625,5708.270941367612,12.989475160347505,1108314.3464662875
1.7,311.0,100.0,False,8,10877.0,1,141.37416666666667,0.0331387169670579,-3311.221308018089,-6655.287469636902,1,67,INTERMEDIATE,35,86.29277532485506,230.28766186932899,-857.1489886141944,580.5112656458035,0.6624594973327413,-3917.714541786402,38.6998709438961,1159896.15175354
1.8,311.0,100.0,False,8,10877.0,1,141.37416666666667,0.0331387169670579,-3311.221308018089,-6655.287469636902,1,67,INTERMEDIATE,35,85.997078461265,219.74358454995127,-820.3656194648011,-111.63990621306118,3.1489313859725963,-2106.658457687762,-60.44768358702651,1169645.0089372986
1.9,307.72749888,53.249984000000005,False,8,10605.38240704,1,157.4654662081191,0.0369105872720029,-3268.0,-6815.0,1,67,INTERMEDIATE,35,86.16351857653486,223.9021985737213,-835.7442873636319,159.17957410825102,-11.42707722007256,-236.42763725245914,-92.02811148590982,1184406.188919126
2.0,307.72749888,53.249984000000005,False,8,10605.38240704,1,157.4654662081191,0.0369105872720029,-3268.0,-6815.0,1,67,INTERMEDIATE,35,85.91157544055972,230.1896954178028,-850.5256487091447,-158.925433663553,-15.256690911209366,-1377.6289507530012,10.567840678911953,1199753.8104748633
2.1,304.0,0.0,True,8,10296.0,1,175.15194444444444,0.0410563743718452,-3195.6498298422457,-7083.782226838354,1,67,INTERMEDIATE,35,84.83617351152579,218.5438687992405,-804.26587086381,-116.34621604234921,-9.31350908429017,-484.84045825611855,21.840473719923228,1210226.6647901982
2.2,304.0,0.0,True,8,10296.0,1,175.15194444444444,0.0410563743718452,-3195.6498298422457,-7083.782226838354,1,67,INTERMEDIATE,35,83.50666018751646,225.88550147299202,-827.5822127842684,-255.89352531477672,-10.888596167224721,-2906.050434218669,-32.73178707536634,1233112.7238944478
2.3,304.0,0.0,True,8,10296.0,1,175.15194444444444,0.0410563743718452,-3195.6498298422457,-7083.782226838354,1,67,INTERMEDIATE,35,81.50479843563872,207.16866364000452,-754.3198297737899,-697.556302886083,-15.859866499363438,-411.79082342433117,-113.06674616165583,1288919.8039868863
2.4,281.21997824,0.0,True,8,9437.72918016,1,195.51938613639567,0.0458305909171072,-3161.0,-7207.0,1,67,INTERMEDIATE,35,79.75538819327203,191.9965510869656,-692.2123775764476,-338.25168999964296,-33.501945399555886,3900.1477018773894,-77.57657824511146,1315624.5692898345
2.5,270.0,0.0,True,8,9015.0,1,205.15194444444444,0.0480885043037286,-3138.8194313373388,-7286.408133246961,1,67,INTERMEDIATE,35,77.47857243928773,195.54398424440933,-687.3397560631975,82.4732374893949,-31.375182148385733,4023.1777871342533,131.48495911883154,1323760.3385057077
2.6,270.0,0.0,True,8,9015.0,1,205.15194444444444,0.0480885043037286,-3138.8194313373388,-7286.408133246961,1,67,INTERMEDIATE,35,74.43657924226909,202.54561599164845,-706.3604059871432,466.3838674272077,-7.2049535757895775,-4.181360664043012,24.860225923971893,1358560.8924977763
2.7,256.9638855111112,0.0,True,8,9569.377921422223,1,222.80159141141732,0.0522256579945161,-3087.0,-7470.0,1,67,INTERMEDIATE,35,71.32357629887503,222.63971999959267,-776.6059536408966,81.6369653565863,-26.403136963591354,-5930.866244282385,-183.37347516894738,1367289.337637906
2.8,256.9638855111112,0.0,True,8,9569.377921422223,1,222.80159141141732,0.0522256579945161,-3087.0,-7470.0,1,67,INTERMEDIATE,35,68.09846850296722,212.12129933952156,-720.6003174541183,-719.7893814292694,-43.87964860957906,-3101.08175668364,-43.4746017180832,1424654.0621193168
2.9,232.3,0.0,True,8,10108.45,1,235.65897560896184,0.0552394845365587,-3049.0,-7596.0,1,67,INTERMEDIATE,35,65.31857830572413,190.40665628238003,-636.0288691263167,-538.5793859801418,-35.098057307207995,-398.198548705455,89.75268401738873,1462741.5534360188
3.0,217.0,0.0,True,8,10342.0,1,239.89638888888888,0.0562327525618765,-3036.040485307882,-7637.72632458568,1,67,INTERMEDIATE,35,62.41669726829571,187.9539490201455,-615.3961144785717,-799.4290911703604,-25.92911180610131,-1543.5918971028439,-17.231192090897416,1515849.9428915724
