Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TimeSeconds
0 days 00:00:22.903000,22.2,86.0,927.4,True,27.3,0,0.4,22.903
0 days 00:01:22.903000,22.3,87.0,927.3,True,26.2,191,0.0,82.903
0 days 00:02:22.903000,22.1,86.0,927.4,True,26.4,182,0.8,142.903
0 days 00:03:22.906000,22.1,87.0,927.4,True,26.4,210,0.5,202.906
0 days 00:04:22.910000,22.1,87.0,927.3,True,26.2,0,0.4,262.91
0 days 00:05:22.915000,22.1,87.0,927.4,True,26.2,215,0.0,322.915
0 days 00:06:22.921000,22.2,88.0,927.3,True,26.4,205,0.8,382.921
0 days 00:07:22.904000,22.0,86.0,927.4,True,26.4,242,0.9,442.904
0 days 00:08:22.920000,22.1,87.0,927.3,True,26.4,210,0.8,502.92
0 days 00:09:22.905000,22.3,88.0,927.3,True,26.5,240,0.5,562.905
0 days 00:10:22.924000,22.2,87.0,927.2,True,26.8,216,0.6,622.924
0 days 00:11:22.907000,22.2,87.0,927.2,True,26.9,208,0.7,682.907
0 days 00:12:22.924000,22.3,87.0,927.3,True,27.2,201,0.6,742.924
0 days 00:13:22.917000,22.2,87.0,927.2,True,27.4,234,1.0,802.917
0 days 00:14:22.918000,22.3,88.0,927.3,True,27.4,179,0.7,862.918
0 days 00:15:22.921000,22.3,87.0,927.2,True,27.4,195,0.7,922.921
0 days 00:16:22.913000,22.4,87.0,927.2,True,27.9,227,0.6,982.913
0 days 00:17:22.930000,22.4,87.0,927.1,True,27.7,339,0.4,1042.93
0 days 00:18:22.926000,22.5,87.0,927.2,True,27.6,348,0.5,1102.926
0 days 00:19:22.931000,22.6,87.0,927.1,False,27.7,313,0.0,1162.931
0 days 00:20:22.926000,22.6,88.0,927.2,False,27.8,317,0.4,1222.926
0 days 00:21:22.912000,22.6,87.0,927.1,True,28.3,295,0.6,1282.912
0 days 00:22:22.926000,22.6,87.0,927.1,False,28.2,0,0.0,1342.926
0 days 00:23:22.927000,22.6,87.0,927.1,False,28.0,0,0.0,1402.927
0 days 00:24:22.950000,22.7,86.0,927.0,False,28.2,170,0.4,1462.95
0 days 00:25:22.951000,22.6,88.0,927.1,False,28.5,30,0.3,1522.951
0 days 00:26:22.945000,22.7,84.0,927.0,False,28.7,11,0.9,1582.945
0 days 00:27:22.944000,22.6,85.0,927.1,False,29.1,37,0.6,1642.944
0 days 00:28:22.951000,22.6,84.0,927.1,False,29.1,178,0.5,1702.951
0 days 00:29:22.990000,22.7,82.0,927.1,False,29.1,303,0.8,1762.99
0 days 00:30:22.965000,22.9,85.0,927.0,False,29.1,220,0.5,1822.965
0 days 00:31:22.971000,22.9,82.0,927.1,False,29.1,275,0.6,1882.971
0 days 00:32:22.991000,22.8,82.0,927.0,False,29.0,0,0.7,1942.991
0 days 00:33:23.012000,22.9,84.0,927.0,False,29.4,214,0.0,2003.012
0 days 00:34:23.017000,22.9,82.0,927.0,False,29.5,0,0.4,2063.017
0 days 00:35:23.030000,23.0,83.0,927.0,False,29.4,330,0.0,2123.03
0 days 00:36:23.045000,23.0,80.0,927.0,False,29.4,288,0.9,2183.045
0 days 00:37:23.054000,23.0,81.0,927.0,False,29.4,272,0.5,2243.054
0 days 00:38:23.058000,23.0,82.0,926.9,False,29.4,221,0.7,2303.058
0 days 00:39:23.060000,23.0,82.0,926.9,False,29.4,193,0.5,2363.06
0 days 00:40:23.057000,23.0,80.0,926.9,False,29.3,239,0.0,2423.057
0 days 00:41:23.059000,23.1,80.0,926.9,False,29.0,266,0.5,2483.059
0 days 00:42:23.055000,23.1,80.0,926.9,False,28.5,241,0.8,2543.055
0 days 00:43:23.055000,23.3,82.0,926.9,False,28.6,218,0.5,2603.055
0 days 00:44:23.072000,23.2,82.0,926.9,False,28.5,197,1.0,2663.072
0 days 00:45:23.056000,23.2,81.0,926.9,False,28.5,214,1.1,2723.056
0 days 00:46:23.072000,23.3,82.0,926.9,False,28.5,221,0.6,2783.072
0 days 00:47:23.075000,23.3,82.0,926.8,False,28.8,215,0.8,2843.075
0 days 00:48:23.067000,23.4,80.0,926.9,False,28.8,184,1.2,2903.067
0 days 00:49:23.068000,23.3,80.0,926.8,False,28.5,206,1.1,2963.068
0 days 00:50:23.073000,23.2,82.0,926.9,False,28.4,207,1.1,3023.073
0 days 00:51:23.074000,23.2,81.0,926.9,False,28.4,207,1.0,3083.074
0 days 00:52:23.075000,23.3,81.0,926.8,False,28.6,233,0.6,3143.075
0 days 00:53:23.075000,23.3,81.0,926.8,False,28.6,195,0.7,3203.075
0 days 00:54:23.077000,23.3,81.0,926.8,False,28.2,192,0.8,3263.077
0 days 00:55:23.069000,23.3,80.0,926.7,False,27.9,216,0.7,3323.069
0 days 00:56:23.077000,23.3,80.0,926.8,False,27.9,133,0.5,3383.077
0 days 00:57:23.078000,23.2,81.0,926.7,False,27.9,145,0.8,3443.078
0 days 00:58:23.076000,23.1,80.0,926.7,False,27.1,200,1.0,3503.076
0 days 00:59:23.072000,23.1,80.0,926.7,False,26.9,183,1.5,3563.072
0 days 01:00:23.084000,23.0,79.0,926.6,False,26.0,199,1.6,3623.084
0 days 01:01:23.076000,23.0,80.0,926.7,False,25.9,181,1.7,3683.076
0 days 01:02:23.076000,22.9,81.0,926.7,False,25.6,177,1.3,3743.076
0 days 01:03:23.081000,22.8,81.0,926.6,False,25.4,203,1.2,3803.081
0 days 01:04:23.077000,22.8,81.0,926.6,False,25.4,200,0.9,3863.077
0 days 01:05:23.077000,22.7,82.0,926.6,False,25.5,181,1.1,3923.077
0 days 01:06:23.085000,22.5,81.0,926.5,False,25.5,187,0.9,3983.085
0 days 01:07:23.079000,22.5,79.0,926.5,False,25.2,187,1.2,4043.079
0 days 01:08:23.093000,22.5,80.0,926.5,False,25.2,189,0.8,4103.093
0 days 01:09:23.079000,22.5,80.0,926.6,False,25.4,203,0.9,4163.079
0 days 01:10:23.078000,22.5,79.0,926.5,False,25.4,0,0.7,4223.078
0 days 01:11:23.074000,22.5,79.0,926.6,False,25.1,197,0.6,4283.074
0 days 01:12:23.081000,22.5,78.0,926.6,True,25.1,259,0.9,4343.081
