Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Avg_Speed_mps,Avg_Throttle,Brake_Aggression,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Max_Lateral_g,Max_Longitudinal_g,Energy_Index
1,42,98.117,HARD,17,55.350354274570236,64.31856200188177,0.3960177735421041,3479.2652260295026,483.29713175960416,103.37797936793244,435.68372722146955,37899762.11740443
4,55,97.679,HARD,24,55.7734749035207,64.41291745509082,0.39989731806203,3341.663935896912,555.3272082981172,105.5491418040078,298.7025750236354,35805618.49929713
10,55,98.311,HARD,37,55.46481861392724,65.57708758237627,0.3859669762359753,3494.9862283039433,497.43704783119705,110.5979305161255,330.83745841963696,36649503.66912409
11,45,98.514,HARD,19,55.05359293169943,62.883877565316,0.4038100685118106,3333.74395956472,553.1013108133463,133.94328353207078,240.5369021041477,35009411.75302494
14,52,99.261,HARD,27,54.81537583139383,59.006021308917255,0.3966831875008285,3461.619098027636,509.1467337629524,85.0424409113337,218.18139121439708,35977395.52367957
16,39,97.834,HARD,13,55.62004592135282,67.51987363377405,0.3995899563329303,3305.810569375682,513.2196186836472,121.56671889719114,252.8721485375032,36321707.26862407
18,54,99.214,MEDIUM,27,54.78578908502341,63.685777155778815,0.38709330567807926,3479.475970536164,524.539874239669,105.48991697861045,241.19252791763765,36135288.061426245
20,56,98.21,MEDIUM,18,55.524668366543665,64.6601051289805,0.36747095238956384,3834.9158017882355,487.6425902214839,113.36854686813058,513.1944038592684,41701399.200985745
22,54,99.193,HARD,36,54.795438679967724,63.81827492273609,0.3921157489660681,3392.085887836938,548.4116550626705,108.19186671982807,271.6169561383457,36133941.96011701
23,54,99.084,HARD,21,54.7572920747074,60.6526202233105,0.4088657573513303,3261.3561995412215,518.887880159511,87.47697005940483,281.10745617711746,35186625.75199837
24,53,99.272,HARD,18,54.74117406750701,61.759762515609296,0.4085639729923427,3796.7914794222493,613.6632226715338,140.50108339646772,584.2370689577627,40086675.41959347
27,51,98.404,HARD,24,55.41205526171918,64.71451741541993,0.4061706775351221,3428.34868677863,537.5394536163179,148.4508232198626,429.5732395713734,38247379.68611464
30,54,98.091,MEDIUM,18,55.37397079918983,64.93164250562886,0.40895344678029705,3748.576752735426,585.865535405246,162.87872836407328,523.8721383259978,39792626.98894595
31,53,97.33,SOFT,5,55.91708250369843,67.03189234359051,0.41904216642869274,3767.8162600417886,573.8650146397546,128.12340893018344,312.3003548633844,38519625.08803769
43,46,97.611,MEDIUM,7,55.66242394739174,63.349683217427106,0.40592547598662637,3380.6747781883605,477.05480022254113,126.38837317462742,710.59005538248,37273693.54505741
55,42,97.763,HARD,21,55.64462908165061,65.36374056609806,0.40203437428394506,3301.6513508261,486.4034596206803,117.28887008170439,227.94285141711896,35968611.25164239
63,42,97.656,MEDIUM,2,55.67083082221144,64.08776895462576,0.3944075642163523,3703.188286999153,501.3495290384589,96.49040948432014,790.5427169528076,39759532.03135734
77,53,100.575,HARD,38,54.02973376181125,60.59902661740581,0.4169027451041841,3699.3351840718265,508.46899375073644,148.544311799557,620.0845310796619,38006592.37588863
81,42,97.883,HARD,10,55.63496798656904,62.70538055017037,0.3858917429227988,3444.8733975752402,537.7421558454002,131.67128119864356,772.1498271438113,38113988.037889995
