Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TimeSeconds
0 days 00:00:46.535000,26.8,41.0,1008.0,False,44.7,105,1.1,46.535
0 days 00:01:46.536000,26.8,41.0,1007.9,False,44.6,316,0.9,106.536
0 days 00:02:46.537000,26.7,40.0,1007.9,False,44.5,198,1.1,166.537
0 days 00:03:46.540000,26.7,41.0,1007.8,False,44.4,299,1.8,226.54
0 days 00:04:46.539000,26.7,41.0,1008.0,False,44.4,192,0.6,286.539
0 days 00:05:46.539000,26.7,40.0,1007.9,False,44.5,310,1.2,346.539
0 days 00:06:46.531000,26.7,41.0,1007.9,False,44.4,315,1.8,406.531
0 days 00:07:46.546000,26.7,41.0,1007.8,False,44.4,312,0.9,466.546
0 days 00:08:46.546000,26.7,41.0,1007.8,False,44.3,311,1.4,526.546
0 days 00:09:46.544000,26.8,42.0,1007.8,False,44.1,277,1.3,586.544
0 days 00:10:46.546000,27.0,41.0,1007.8,False,44.3,189,0.7,646.546
0 days 00:11:46.546000,27.2,40.0,1007.7,False,45.1,147,1.3,706.546
0 days 00:12:46.548000,27.3,38.0,1007.7,False,45.2,170,2.5,766.548
0 days 00:13:46.546000,27.2,39.0,1007.7,False,45.1,170,2.5,826.546
0 days 00:14:46.548000,27.1,39.0,1007.7,False,45.1,177,3.8,886.548
0 days 00:15:46.554000,27.2,38.0,1007.7,False,45.4,174,4.1,946.554
0 days 00:16:46.548000,27.4,38.0,1007.6,False,45.5,179,3.7,1006.548
0 days 00:17:46.556000,27.5,39.0,1007.6,False,45.3,166,4.2,1066.556
0 days 00:18:46.548000,27.5,38.0,1007.5,False,45.4,173,3.3,1126.548
0 days 00:19:46.550000,27.5,38.0,1007.5,False,45.4,191,2.9,1186.55
0 days 00:20:46.557000,27.3,38.0,1007.5,False,45.5,173,2.7,1246.557
0 days 00:21:46.551000,27.2,39.0,1007.5,False,45.7,177,3.2,1306.551
0 days 00:22:46.552000,27.2,39.0,1007.5,False,46.1,75,2.1,1366.552
0 days 00:23:46.555000,27.3,38.0,1007.4,False,46.2,209,1.0,1426.555
0 days 00:24:46.555000,27.2,38.0,1007.4,False,46.2,227,1.7,1486.555
0 days 00:25:46.566000,27.2,38.0,1007.4,False,45.8,241,1.0,1546.566
0 days 00:26:46.553000,27.3,38.0,1007.4,False,45.7,187,0.6,1606.553
0 days 00:27:46.553000,27.3,38.0,1007.3,False,45.6,261,1.1,1666.553
0 days 00:28:46.555000,27.3,38.0,1007.3,False,45.6,324,1.3,1726.555
0 days 00:29:46.555000,27.2,38.0,1007.4,False,45.9,91,0.9,1786.555
0 days 00:30:46.560000,27.3,38.0,1007.3,False,46.4,181,0.9,1846.56
0 days 00:31:46.559000,27.3,37.0,1007.3,False,46.4,217,1.7,1906.559
0 days 00:32:46.557000,27.4,38.0,1007.3,False,46.4,195,1.3,1966.557
0 days 00:33:46.558000,27.3,38.0,1007.2,False,46.3,213,1.0,2026.558
0 days 00:34:46.548000,27.3,38.0,1007.2,False,46.2,288,1.3,2086.548
0 days 00:35:46.559000,27.3,38.0,1007.2,False,46.0,291,1.2,2146.559
0 days 00:36:46.563000,27.2,38.0,1007.1,False,46.0,308,2.3,2206.563
0 days 00:37:46.562000,27.1,39.0,1007.2,False,45.7,315,1.4,2266.562
0 days 00:38:46.561000,27.1,39.0,1007.2,False,45.7,7,1.2,2326.561
0 days 00:39:46.566000,27.3,39.0,1007.2,False,45.7,0,1.1,2386.566
0 days 00:40:46.564000,27.4,38.0,1007.1,False,46.0,279,1.0,2446.564
0 days 00:41:46.551000,27.5,38.0,1007.1,False,46.0,339,1.0,2506.551
0 days 00:42:46.570000,27.4,38.0,1007.1,False,46.0,329,1.7,2566.57
0 days 00:43:46.566000,27.6,38.0,1007.1,False,45.7,303,1.2,2626.566
0 days 00:44:46.565000,27.7,38.0,1007.0,False,46.5,235,1.2,2686.565
0 days 00:45:46.566000,27.7,38.0,1007.0,False,46.7,215,1.2,2746.566
0 days 00:46:46.562000,27.5,38.0,1007.0,False,46.5,197,1.3,2806.562
0 days 00:47:46.568000,27.5,38.0,1006.9,False,46.5,226,1.0,2866.568
0 days 00:48:46.570000,27.6,37.0,1006.9,False,47.0,191,1.7,2926.57
0 days 00:49:46.559000,27.6,37.0,1006.9,False,47.0,190,1.9,2986.559
0 days 00:50:46.570000,27.6,37.0,1006.9,False,47.0,36,2.1,3046.57
0 days 00:51:46.570000,27.7,37.0,1006.9,False,47.1,329,0.7,3106.57
0 days 00:52:46.579000,27.7,37.0,1006.8,False,46.9,319,1.4,3166.579
0 days 00:53:46.587000,27.7,37.0,1006.8,False,46.9,248,1.4,3226.587
0 days 00:54:46.589000,27.6,37.0,1006.8,False,47.0,198,1.1,3286.589
0 days 00:55:46.616000,27.5,37.0,1006.8,False,46.9,192,1.7,3346.616
0 days 00:56:46.620000,27.5,38.0,1006.7,False,46.5,234,1.1,3406.62
0 days 00:57:46.624000,27.6,38.0,1006.7,False,46.4,303,0.9,3466.624
0 days 00:58:46.616000,27.8,38.0,1006.7,False,46.7,117,0.5,3526.616
0 days 00:59:46.623000,28.0,37.0,1006.7,False,47.0,189,0.7,3586.623
0 days 01:00:46.631000,28.1,37.0,1006.6,False,47.2,0,1.8,3646.631
0 days 01:01:46.623000,28.3,37.0,1006.7,False,47.2,185,1.6,3706.623
0 days 01:02:46.634000,28.3,37.0,1006.6,False,47.0,194,2.4,3766.634
0 days 01:03:46.627000,28.3,36.0,1006.5,False,47.1,180,1.4,3826.627
0 days 01:04:46.630000,28.2,36.0,1006.5,False,47.4,220,1.7,3886.63
0 days 01:05:46.628000,28.1,35.0,1006.5,False,47.4,191,2.9,3946.628
0 days 01:06:46.628000,28.0,35.0,1006.4,False,47.6,83,2.1,4006.628
0 days 01:07:46.630000,28.0,34.0,1006.6,False,47.8,229,1.4,4066.63
0 days 01:08:46.631000,28.0,33.0,1006.5,False,47.9,323,1.3,4126.631
0 days 01:09:46.630000,28.1,33.0,1006.5,False,47.4,352,1.8,4186.63
0 days 01:10:46.634000,28.1,33.0,1006.5,False,47.2,295,1.7,4246.634
0 days 01:11:46.633000,28.1,34.0,1006.5,False,47.2,304,1.6,4306.633
0 days 01:12:46.640000,28.0,35.0,1006.4,False,46.9,317,2.8,4366.64
0 days 01:13:46.665000,28.1,36.0,1006.6,False,46.9,300,2.6,4426.665
0 days 01:14:46.681000,28.1,37.0,1006.4,False,46.7,339,2.0,4486.681
0 days 01:15:46.678000,28.1,37.0,1006.5,False,46.7,286,1.5,4546.678
