Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Avg_Speed_mps,Avg_Throttle,Brake_Aggression,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Max_Lateral_g,Max_Longitudinal_g,Energy_Index,Year,Event,SessionType
1,56,87.765,HARD,27.0,59.691856151575166,67.42798793692026,0.3564912659607758,3724.862007608325,509.7102096781867,208.6433509110441,425.4520479763213,35421056.39157957,2024,Abu_Dhabi_Grand_Prix,R
4,52,87.438,HARD,26.0,59.54922412772625,66.02263809708973,0.3524462682693619,3787.15347275017,522.9325714936799,294.19637009124204,614.7417843950747,37574951.76562256,2024,Abu_Dhabi_Grand_Prix,R
10,30,89.251,HARD,16.0,58.50140122854575,70.29714740304208,0.3448178675073898,3465.59552077211,435.6515769321535,97.62888682171112,385.9055548889703,34067646.774724,2024,Abu_Dhabi_Grand_Prix,R
14,51,87.948,HARD,15.0,59.26928223298589,63.18823860009177,0.3680752192817834,3830.513641989833,484.793492216185,138.67900757899525,264.9403947953795,35802971.511456214,2024,Abu_Dhabi_Grand_Prix,R
16,51,88.018,HARD,31.0,59.25985431064949,71.60045595624595,0.3699863481851186,3788.3564241801487,505.8358640892161,104.49766776167657,330.60282747406137,35957356.511082254,2024,Abu_Dhabi_Grand_Prix,R
18,42,88.604,HARD,10.0,58.83663713837069,66.48845721107192,0.3668965581837391,4298.735324323162,479.0588803506296,139.70470793667116,830.618921495453,42162112.43455494,2024,Abu_Dhabi_Grand_Prix,R
20,57,85.637,SOFT,5.0,61.138791808153286,72.3704402391472,0.3656030357878814,3843.617029025539,451.3148486852094,98.13941978797492,392.34309274763234,38514035.91821618,2024,Abu_Dhabi_Grand_Prix,R
22,41,89.2,HARD,19.0,58.32639378296735,69.54806765840596,0.3562250531926237,3615.6207843089055,394.18170948602256,109.48027785916013,426.981465452709,34322436.44283659,2024,Abu_Dhabi_Grand_Prix,R
23,46,89.438,HARD,34.0,58.302322327356016,65.60942254229147,0.3727196339235489,3482.8010735635453,394.496154915006,98.32692574765414,212.4470397074719,33657782.08233529,2024,Abu_Dhabi_Grand_Prix,R
24,56,87.982,HARD,17.0,59.23819217026575,68.49287589258117,0.3680752192817834,3608.4199030445975,441.9397275355399,98.99369630970608,578.2266363166302,36151420.25323755,2024,Abu_Dhabi_Grand_Prix,R
27,17,89.152,HARD,4.0,58.63224155344992,65.95040814410626,0.3752116362130727,3784.6129548993817,473.11138423796086,179.69772187566187,395.4321870402312,36627712.48058481,2024,Abu_Dhabi_Grand_Prix,R
30,52,88.751,HARD,29.0,58.71285150535072,69.64607499670637,0.3698367935826341,3572.7703420979674,473.02196893085545,136.36418477420438,321.77399495173813,33482004.936284285,2024,Abu_Dhabi_Grand_Prix,R
