Driver,LapNumber,Compound,Year,Event,SessionType,LapTimeSeconds,Energy_Index,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Avg_Speed_mps,Brake_Aggression,Max_Lateral_g,Max_Longitudinal_g,TyreLife,PC1,PC2,PC3
1,56,HARD,2024,Abu_Dhabi_Grand_Prix,R,87.765,35421056.39157957,3724.862007608325,509.7102096781867,59.691856151575166,0.3564912659607758,208.6433509110441,425.4520479763213,27.0,2.057401984572944,1.7511057856786922,-0.9917506976025285
4,52,HARD,2024,Abu_Dhabi_Grand_Prix,R,87.438,37574951.76562256,3787.15347275017,522.9325714936799,59.54922412772625,0.3524462682693619,294.19637009124204,614.7417843950747,26.0,3.1171177711113764,1.7365157294121882,-1.1287892015146004
10,30,HARD,2024,Abu_Dhabi_Grand_Prix,R,89.251,34067646.774724,3465.59552077211,435.6515769321535,58.50140122854575,0.3448178675073898,97.62888682171112,385.9055548889703,16.0,0.9334742085003266,1.5844794921393335,-0.5656172494828468
14,51,HARD,2024,Abu_Dhabi_Grand_Prix,R,87.948,35802971.511456214,3830.513641989833,484.793492216185,59.26928223298589,0.3680752192817834,138.67900757899525,264.9403947953795,15.0,1.3039487629776698,1.4163033527000846,-0.7194657358159843
16,51,HARD,2024,Abu_Dhabi_Grand_Prix,R,88.018,35957356.511082254,3788.3564241801487,505.8358640892161,59.25985431064949,0.3699863481851186,104.49766776167657,330.60282747406137,31.0,1.2109299846291146,1.694028265768892,-1.1386729392311503
18,42,HARD,2024,Abu_Dhabi_Grand_Prix,R,88.604,42162112.43455494,4298.735324323162,479.0588803506296,58.83663713837069,0.3668965581837391,139.70470793667116,830.618921495453,10.0,2.881229994829466,1.1934716104778964,-1.0591419911137772
20,57,SOFT,2024,Abu_Dhabi_Grand_Prix,R,85.637,38514035.91821618,3843.617029025539,451.3148486852094,61.138791808153286,0.3656030357878814,98.13941978797492,392.34309274763234,5.0,1.5647281923896796,-0.4328246374390493,1.168802093906626
22,41,HARD,2024,Abu_Dhabi_Grand_Prix,R,89.2,34322436.44283659,3615.6207843089055,394.18170948602256,58.32639378296735,0.3562250531926237,109.48027785916013,426.981465452709,19.0,0.9775005601701854,1.5496612332472064,-0.8353859439398698
23,46,HARD,2024,Abu_Dhabi_Grand_Prix,R,89.438,33657782.08233529,3482.8010735635453,394.496154915006,58.302322327356016,0.3727196339235489,98.32692574765414,212.4470397074719,34.0,0.30537526849819635,1.766174713074476,-1.210959212288972
24,56,HARD,2024,Abu_Dhabi_Grand_Prix,R,87.982,36151420.25323755,3608.4199030445975,441.9397275355399,59.23819217026575,0.3680752192817834,98.99369630970608,578.2266363166302,17.0,1.4011101752452946,1.3944880161132795,-0.9689071243029224
27,17,HARD,2024,Abu_Dhabi_Grand_Prix,R,89.152,36627712.48058481,3784.6129548993817,473.11138423796086,58.63224155344992,0.3752116362130727,179.69772187566187,395.4321870402312,4.0,1.7760354212586948,1.0679130627738846,-0.7460062064439382
30,52,HARD,2024,Abu_Dhabi_Grand_Prix,R,88.751,33482004.936284285,3572.7703420979674,473.02196893085545,58.71285150535072,0.3698367935826341,136.36418477420438,321.77399495173813,29.0,1.061981352169224,1.6285279392947327,-1.160263059313999
43,5,HARD,2024,Abu_Dhabi_Grand_Prix,R,89.411,35958409.34533044,3656.105811459684,453.6774180282748,58.39167566220269,0.3814889916488458,102.97171847714338,346.78796203215165,2.0,1.0348808278177453,0.9585638795283746,-0.701993324787947
44,44,MEDIUM,2024,Abu_Dhabi_Grand_Prix,R,87.278,34664296.575521804,3537.001766727085,461.2104250853431,59.77797263851047,0.3764411166291709,96.86398525558911,346.03523092870074,11.0,0.9320939084449803,-0.4724736639081383,0.4038005521701295
55,55,HARD,2024,Abu_Dhabi_Grand_Prix,R,87.765,38477637.54363806,3920.760049332959,489.2005741319673,59.42759486547728,0.3775796890198828,100.06896208070908,787.6352835382241,30.0,2.1356138255344583,1.51351457164159,-1.5486463002701067
61,56,HARD,2024,Abu_Dhabi_Grand_Prix,R,89.121,34192513.23182038,3580.070927426096,448.4959108534761,58.549862798200735,0.3585861775716986,99.85191683463673,442.2322163376277,34.0,1.0453415270821935,1.8098424443155432,-1.204529923208218
63,56,HARD,2024,Abu_Dhabi_Grand_Prix,R,88.195,40038340.85508186,4026.188382110564,451.11848838114463,59.50768788296272,0.3739010122297687,118.72414718149484,681.5553099345813,30.0,2.0773631044309795,1.632393954481943,-1.410382383433034
77,14,HARD,2024,Abu_Dhabi_Grand_Prix,R,89.482,36527634.56663201,3758.231849793724,464.61632480820566,58.34469439028643,0.3795808039695296,120.51999167314224,682.0401063598978,8.0,1.863936032409552,0.9990586355923744,-1.1062723763397166
81,51,HARD,2024,Abu_Dhabi_Grand_Prix,R,87.69,37214839.47249706,3827.523899442384,468.4467361527899,59.41583928556652,0.3497937754936042,122.03774759327544,614.0232041270409,19.0,1.9191937236593823,1.6007270567933427,-0.8150513298120753
1,50,HARD,2022,Azerbaijan_Grand_Prix,R,106.05,39871850.913116336,3490.4405302035366,316.26495434634467,55.782957337632695,0.4210128164944486,89.9866841427816,597.9124629266776,17.0,0.8422978209275213,-0.3440030814076653,-1.529417331421442
3,44,MEDIUM,2022,Azerbaijan_Grand_Prix,R,108.276,41817074.33940615,3767.821417665809,294.6445273884571,54.766155509318914,0.3976688462946351,111.68060870476684,826.5356506942907,11.0,1.6822255269652462,-2.0851128081484678,-0.2664658013693404
4,37,HARD,2022,Azerbaijan_Grand_Prix,R,107.997,38201059.74904297,3505.77299204114,319.17550956814466,54.891488576291096,0.407628784681584,101.33737655036435,279.8133895046292,17.0,0.3085382402093363,-0.20052117205778147,-1.2091990094797251
5,41,HARD,2022,Azerbaijan_Grand_Prix,R,108.206,40832978.56660836,3706.50193862312,336.06479442157706,54.765836495608426,0.3919190103385323,129.84082369891806,583.4543595939716,33.0,1.3299996237147862,0.20368686478293935,-1.6405784136552777
6,37,HARD,2022,Azerbaijan_Grand_Prix,R,109.583,36207068.10689582,3376.5068586139137,338.1260294068096,54.06028030527439,0.4174117592286132,113.82367965637047,245.6148953807443,20.0,0.17051142711477277,-0.30298751523985284,-1.479189361716217
10,39,HARD,2022,Azerbaijan_Grand_Prix,R,108.519,36941797.16064652,3424.8040137302364,306.37989075709856,54.6672936037584,0.3777207709334076,106.2999572642168,264.30470651985416,30.0,0.24407922919141264,0.3395693946784925,-1.1347950156168156
11,36,HARD,2022,Azerbaijan_Grand_Prix,R,106.046,38634072.97286787,3634.7387714633983,295.6779128875953,55.93287248535487,0.4028511478903026,107.63794063100224,360.03409652250724,3.0,0.5791944443141748,-0.3873764908219254,-0.7978804531338421
14,49,HARD,2022,Azerbaijan_Grand_Prix,R,107.989,36658640.51109293,3339.8946970723687,316.7352636523475,54.93525026210465,0.4159323154937354,118.0108439614392,226.26459024298583,31.0,0.07438743465395826,0.02628500225208701,-1.6048829402452895
16,13,HARD,2022,Azerbaijan_Grand_Prix,R,107.531,44852064.93444501,3910.05134697585,316.87321279463987,55.24735613489051,0.4061939389466587,89.73408466901742,686.2892724592487,4.0,1.5436349810224537,-0.4913859862217716,-1.1472766175239497
18,38,MEDIUM,2022,Azerbaijan_Grand_Prix,R,108.038,38862566.27273312,3439.326092300448,318.68472877185167,54.92913730595345,0.4048287529952902,106.239084873399,562.668766716942,9.0,0.9172727224171415,-2.1499724601544052,-0.09297117327471316
20,12,HARD,2022,Azerbaijan_Grand_Prix,R,108.789,47395390.00574157,4168.413281766459,358.93204034420154,54.46652150806812,0.4184989566269828,226.0669601877452,784.7292228247046,3.0,2.8896906708575143,-0.6820778406882482,-1.5371592202553905
22,42,SOFT,2022,Azerbaijan_Grand_Prix,R,107.523,34183137.443978645,3185.8793327074686,322.6076828751664,55.17752465175523,0.3986436327286606,87.97901250735343,379.1477160799738,7.0,0.324043960396407,-2.173264208206959,0.5772013111511336
23,48,HARD,2022,Azerbaijan_Grand_Prix,R,107.966,39410782.08520721,3498.057093672616,318.8914691121957,54.80578322826376,0.407628784681584,104.7782986636807,452.7272914477824,19.0,0.6914874291135974,-0.20002237139340479,-1.3930402852247863
24,12,HARD,2022,Azerbaijan_Grand_Prix,R,108.723,50252463.32826358,4362.643118962787,330.94465908115,54.648038130333305,0.4154521460847866,112.74883352664428,736.4235098897487,3.0,2.2596344304169786,-0.6041971910389201,-1.3402147288507629
31,36,MEDIUM,2022,Azerbaijan_Grand_Prix,R,108.297,40544014.39183257,3737.4585020209415,324.332798549922,54.79635884011926,0.4130188260660898,100.91621163300054,303.33888354162383,3.0,0.6351017861683731,-2.2761766384088573,0.13627744931096517
44,39,HARD,2022,Azerbaijan_Grand_Prix,R,107.044,37279868.39644936,3620.195081052497,312.6217225266405,55.408764709082334,0.4048731489318661,94.09449179984844,250.5106446290669,7.0,0.2521261980817234,-0.35407631100887454,-0.8807963817470013
47,40,HARD,2022,Azerbaijan_Grand_Prix,R,108.41,43233869.362659015,3816.75627773009,337.475604587849,54.71556622990185,0.3966847839630474,279.09310105694254,715.8671402360324,17.0,2.695102508565547,-0.160755475540238,-1.5461599630597849
55,3,MEDIUM,2022,Azerbaijan_Grand_Prix,R,108.978,41902541.028748766,3767.024483452829,319.52567787813,54.4807572495124,0.4151788078830943,91.96327430777498,641.8556195525714,3.0,1.2584627844678185,-2.401068666638571,-0.17946990034831642
63,42,HARD,2022,Azerbaijan_Grand_Prix,R,107.177,34871423.77894556,3378.2571617772564,300.3243604224524,55.391139926312384,0.4087418958556945,86.22703360144034,285.13384810192434,10.0,-0.026940517642413665,-0.35411578134391763,-1.029409858130561
77,42,MEDIUM,2022,Azerbaijan_Grand_Prix,R,108.179,36386095.00225344,3350.547551164437,319.73401896317085,54.9678680278936,0.4205158679964801,90.25284379097404,412.9246904750261,9.0,0.3288127638094999,-2.2809732160720047,-0.17827842177864792
1,61,MEDIUM,2023,Singapore_Grand_Prix,R,96.575,29956060.35102348,3262.047103035522,338.2169774384236,50.47500724323292,0.4161855319710985,72.9177327855598,238.04693397325363,21.0,-0.5387379563834412,-1.3767754354582566,-0.21781692656199667
2,45,MEDIUM,2023,Singapore_Grand_Prix,R,98.531,25606260.54963721,2878.650740359888,328.68268355434986,49.46283871488262,0.42053722344883,58.08256630616763,221.2789488140965,2.0,-1.0494396645534152,-1.914487525485225,0.07138143817034043
4,46,HARD,2023,Singapore_Grand_Prix,R,98.046,26130804.494473323,3026.049812731487,342.5219126285489,49.66991433709252,0.4348408001311932,75.06264249121591,238.95241822381405,26.0,-0.921972146770846,0.1964550465530211,-1.79220718977933
10,46,HARD,2023,Singapore_Grand_Prix,R,98.277,25313330.437447585,3022.8840651802666,350.1189218434876,49.57665062583405,0.41358743592232,72.28358667815117,213.7464520338251,26.0,-0.9186240102435387,0.38060289243820283,-1.511988825733111
11,61,MEDIUM,2023,Singapore_Grand_Prix,R,97.108,27845119.38011116,3087.574931259141,346.35383833188644,50.21758914499792,0.4206787675958071,78.87804803533817,223.9352967398632,22.0,-0.7093287605930884,-1.43518554225826,-0.32715512696120946
14,47,SOFT,2023,Singapore_Grand_Prix,R,96.456,29390339.13395728,3251.565664152188,354.9094363201764,50.44703016272234,0.4190726299281068,60.49588049652083,287.4868339694586,5.0,-0.30766808627747183,-1.8312477075610585,0.45513348634920375
16,46,HARD,2023,Singapore_Grand_Prix,R,98.275,25992851.153540585,2959.215489099746,355.19090758971686,49.7288104127659,0.4285821824900209,63.21242445284158,221.7946958812768,26.0,-0.9976470785689523,0.25180197326266773,-1.685620097649482
20,48,SOFT,2023,Singapore_Grand_Prix,R,98.107,27675229.83060364,3103.8241567086475,345.53435167613605,49.85408860298105,0.4109397658070258,58.67970214512616,236.1752986065044,8.0,-0.5752946993864412,-1.725231514640083,0.4693464085902224
23,46,MEDIUM,2023,Singapore_Grand_Prix,R,97.342,25368825.27330105,3008.1884465624967,365.212627087056,50.17748767309618,0.4176953443824713,71.43549562246874,199.2662431391868,3.0,-0.8204818954790706,-1.8446740734174436,0.14354923368087386
24,46,MEDIUM,2023,Singapore_Grand_Prix,R,99.316,24348692.82984683,2767.9445254548605,317.9459601643298,49.22958231310992,0.4250959845398445,66.62835526239105,218.7140338738364,26.0,-1.2421474582282583,-1.469630654493658,-0.5665483556871982
27,50,HARD,2023,Singapore_Grand_Prix,R,99.923,26198126.02252986,2962.6384530704395,324.0732230966628,48.89676482825065,0.4210430824479572,71.49102285911519,229.8553609054676,30.0,-1.0114130559746746,0.3776402299865734,-1.7636713470788283
31,33,HARD,2023,Singapore_Grand_Prix,R,99.93,27252478.601251315,2961.115812575855,323.6268096351373,48.66254691294932,0.4539891035103222,60.364298078421015,272.4395387697559,13.0,-1.034953216995189,-0.30404754491898095,-1.8391462577161393
40,47,HARD,2023,Singapore_Grand_Prix,R,99.028,27351648.56318628,2971.851420905256,332.6878104532448,49.21149779183041,0.4292247224203059,59.54003023772814,262.8194263340686,27.0,-0.9607613417585742,0.25315144245353416,-1.7789304912674484
44,47,MEDIUM,2023,Singapore_Grand_Prix,R,95.867,26932965.630525928,3081.368371476119,349.2031998996311,50.9707451295852,0.413058645554964,58.65513603860165,202.9773746684796,3.0,-0.8086808269534275,-1.7264220161403778,0.2982633406206097
55,47,HARD,2023,Singapore_Grand_Prix,R,97.666,27507557.034576967,3059.343728367084,334.5697215920913,49.98354354389987,0.4212384331244614,69.13340448753112,251.1072863862097,27.0,-0.8267054469521028,0.3807575409185459,-1.6041584188144484
63,46,MEDIUM,2023,Singapore_Grand_Prix,R,96.273,27393181.37351642,3183.627852962624,364.4208541595073,50.81125058582898,0.4259563447197751,69.7787126645507,261.02430238777447,2.0,-0.5589046178194079,-1.9011751685654463,0.07771653953934338
77,51,MEDIUM,2023,Singapore_Grand_Prix,R,98.075,24947093.945199896,2801.046096955188,333.46547510272177,49.73502597015906,0.414581627043601,56.86777634856113,196.13795482337568,11.0,-1.1596668932585532,-1.6546078569358544,-0.01210060295314148
