Driver,LapNumber,Compound,Year,Event,SessionType,LapTimeSeconds,Energy_per_m,PC1,PC2,PC3
1,56,HARD,2024,Abu_Dhabi_Grand_Prix,R,87.765,6761.220015803384,1.198468251279185,-0.4196796260842306,2.041138962333664
4,52,HARD,2024,Abu_Dhabi_Grand_Prix,R,87.438,7216.425111431151,2.7905812913102483,0.5401444982198615,1.8565369356384176
10,30,HARD,2024,Abu_Dhabi_Grand_Prix,R,89.251,6524.73347943259,-2.178363061432154,-0.48594137720409647,1.224515298158446
14,51,HARD,2024,Abu_Dhabi_Grand_Prix,R,87.948,6868.5242729075435,0.17187482090078152,-0.23793229455327813,1.1951138322916166
16,51,HARD,2024,Abu_Dhabi_Grand_Prix,R,88.018,6893.752393886753,0.14653014475015338,0.08754254440961169,1.6696422430918971
18,42,HARD,2024,Abu_Dhabi_Grand_Prix,R,88.604,8087.628451087576,2.6589831883694126,3.4332409240679613,-0.41760482067540333
20,57,SOFT,2024,Abu_Dhabi_Grand_Prix,R,85.637,7355.983290523809,2.884777375113744,-2.984367403378171,-0.16659998822208585
22,41,HARD,2024,Abu_Dhabi_Grand_Prix,R,89.2,6597.024994242665,-2.434438751768976,0.4187566226817644,0.8198216221889646
23,46,HARD,2024,Abu_Dhabi_Grand_Prix,R,89.438,6454.722279832565,-3.6629294518340174,0.22642897749527222,1.28741310717297
24,56,HARD,2024,Abu_Dhabi_Grand_Prix,R,87.982,6936.3298501978725,-0.5076583981615242,0.24880423831424006,0.9353629828833194
27,17,HARD,2024,Abu_Dhabi_Grand_Prix,R,89.152,7007.162806010028,-0.4447094520679589,1.0301926160143235,0.13050157842287102
30,52,HARD,2024,Abu_Dhabi_Grand_Prix,R,88.751,6425.471885399058,-1.6127189161111595,-0.05978282122874926,1.520012353363612
43,5,HARD,2024,Abu_Dhabi_Grand_Prix,R,89.411,6887.451941725796,-1.871430780324531,0.8093799086180375,-0.12065780150770603
44,44,MEDIUM,2024,Abu_Dhabi_Grand_Prix,R,87.278,6644.104034399627,-0.39296547998375414,-2.0748064818420686,-1.137720124193354
55,55,HARD,2024,Abu_Dhabi_Grand_Prix,R,87.765,7377.324522618147,1.460319762110783,1.8499125443815088,0.8980657748463547
61,56,HARD,2024,Abu_Dhabi_Grand_Prix,R,89.121,6552.772510149361,-1.871193777614746,0.3750662517195404,1.5213673914164572
63,56,HARD,2024,Abu_Dhabi_Grand_Prix,R,88.195,7628.84922110518,1.333064594281131,2.130829966241638,0.7672531420181007
77,14,HARD,2024,Abu_Dhabi_Grand_Prix,R,89.482,6996.558949282885,-0.8752014094898185,2.0194850814727756,-0.2790421441781936
81,51,HARD,2024,Abu_Dhabi_Grand_Prix,R,87.69,7142.723584411092,1.1383984339860649,0.3025152325957019,1.2981862853752695
1,50,HARD,2022,Azerbaijan_Grand_Prix,R,106.05,6739.911426122644,1.0049674509694573,-0.6159154391437159,1.6586454580077328
3,44,MEDIUM,2022,Azerbaijan_Grand_Prix,R,108.276,7051.949379703011,0.04388702807172081,0.8385492267955366,-2.0206101999590893
4,37,HARD,2022,Azerbaijan_Grand_Prix,R,107.997,6444.047174118869,-0.9574535224668552,-0.12155829486987825,1.3716649732029473
5,41,HARD,2022,Azerbaijan_Grand_Prix,R,108.206,6890.488183425467,0.5530073661843263,1.1192174095110101,1.8297738689624305
6,37,HARD,2022,Azerbaijan_Grand_Prix,R,109.583,6111.838642616378,-2.483934414838413,1.0934443789884283,0.8300267646207063
10,39,HARD,2022,Azerbaijan_Grand_Prix,R,108.519,6227.08311340275,-1.5992987649751575,-0.3583438065605552,2.1708587510087787
11,36,HARD,2022,Azerbaijan_Grand_Prix,R,106.046,6513.41995672843,0.7899817407235349,-1.7332434814491497,1.603792544498321
14,49,HARD,2022,Azerbaijan_Grand_Prix,R,107.989,6179.391742993322,-1.5514087191669508,-0.16522768206843552,1.9223470970859224
16,13,HARD,2022,Azerbaijan_Grand_Prix,R,107.531,7549.831482013018,1.3445253036940714,1.0734010708784982,0.4550875938309404
18,38,MEDIUM,2022,Azerbaijan_Grand_Prix,R,108.038,6548.655757298737,-0.3233627811638978,-0.6137259235450858,-1.4994865838803786
20,12,HARD,2022,Azerbaijan_Grand_Prix,R,108.789,7998.738091357024,2.48694277014061,3.4426268648313005,-0.37153745150334405
22,42,SOFT,2022,Azerbaijan_Grand_Prix,R,107.523,5761.66939264703,-0.5255451603006057,-2.8879913539562057,-0.09159592182277251
23,48,HARD,2022,Azerbaijan_Grand_Prix,R,107.966,6660.4205642292145,-0.6689129062832863,0.45885385526870787,1.2364474376060646
24,12,HARD,2022,Azerbaijan_Grand_Prix,R,108.723,8457.87675661134,1.8785467330666739,3.4445561471782895,-0.6057974829003134
31,36,MEDIUM,2022,Azerbaijan_Grand_Prix,R,108.297,6832.16930990348,-0.28023268900455495,-0.36925648708971603,-1.9309215257933174
44,39,HARD,2022,Azerbaijan_Grand_Prix,R,107.044,6285.409435447604,-0.13555568579895502,-1.2042654606982013,1.4700624168880911
47,40,HARD,2022,Azerbaijan_Grand_Prix,R,108.41,7288.595752151803,1.8388924210815598,2.023110425077671,0.9882825854622307
55,3,MEDIUM,2022,Azerbaijan_Grand_Prix,R,108.978,7057.621952368198,-0.4617099029107356,1.1270860893177466,-2.63535583718252
63,42,HARD,2022,Azerbaijan_Grand_Prix,R,107.177,5873.916659708332,-1.206142672667892,-1.4122661984849447,1.5506980093747043
77,42,MEDIUM,2022,Azerbaijan_Grand_Prix,R,108.179,6119.044248761771,-1.2366957526889706,-0.9319996884228259,-1.5577487860006793
1,61,MEDIUM,2023,Singapore_Grand_Prix,R,96.575,6145.3070902353375,2.974581585811961,0.32247489729955253,-1.214303309805405
2,45,MEDIUM,2023,Singapore_Grand_Prix,R,98.531,5254.050375328367,-1.7728514692438277,-1.1731964798199874,-1.8913469041938322
4,46,HARD,2023,Singapore_Grand_Prix,R,98.046,5365.738324895858,-0.16551602216065775,1.1529529873932975,1.08440094163528
10,46,HARD,2023,Singapore_Grand_Prix,R,98.277,5195.414653540386,-0.3771923897178468,0.04528273316258854,1.6923492783533471
11,61,MEDIUM,2023,Singapore_Grand_Prix,R,97.108,5710.027703614458,1.6993550675070919,-0.40360714659215113,-0.9175276949160384
14,47,SOFT,2023,Singapore_Grand_Prix,R,96.456,6040.039033954136,3.662158659679426,0.10303439326519481,-1.3140876006271782
16,46,HARD,2023,Singapore_Grand_Prix,R,98.275,5318.666961094549,-0.6730737586859048,0.29041311529937547,1.391143971802731
20,48,SOFT,2023,Singapore_Grand_Prix,R,98.107,5658.358492891221,0.9674994422769921,-0.8905341809920683,-0.9616164778645458
23,46,MEDIUM,2023,Singapore_Grand_Prix,R,97.342,5193.871244366396,0.7253267260931628,-2.106305658343978,-1.027723236667406
24,46,MEDIUM,2023,Singapore_Grand_Prix,R,99.316,4980.010747735254,-3.087310468001675,-0.8138827042330271,-1.1602331966431674
27,50,HARD,2023,Singapore_Grand_Prix,R,99.923,5361.973172764536,-2.0450396100516213,1.640479956885339,0.9023216994326699
31,33,HARD,2023,Singapore_Grand_Prix,R,99.93,5604.22140421996,-2.3138215520508596,3.207306489153234,-0.8251157730447546
40,47,HARD,2023,Singapore_Grand_Prix,R,99.028,5612.5331133859145,-1.149032551884691,2.01301454137729,0.5554855811616857
44,47,MEDIUM,2023,Singapore_Grand_Prix,R,95.867,5511.80770208664,1.612668858922099,-2.6583328836163784,-0.8220789545748072
55,47,HARD,2023,Singapore_Grand_Prix,R,97.666,5634.8398733307995,0.5505069399256345,1.0906558324584068,1.242739468893173
