Driver,LapNumber,Compound,TyreLife,Avg_Speed_mps,Avg_Throttle,Brake_Aggression,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Max_Lateral_g,Max_Longitudinal_g,Energy_Index,Year,Event,SessionType,PC1,PC2,PC3
3,59,HARD,40.0,42.184699489906016,45.59429414179749,0.4425471966736107,2625.1232446055024,495.7566221043083,88.11442357023923,250.5920652490275,18405035.29505451,2022,Monaco_Grand_Prix,R,2.75059973638542,3.295593084397044,0.6598938192446591
77,56,HARD,30.0,57.19179032765659,64.00421286689847,0.3982693761312883,3627.367450042984,456.4950649219597,78.56751383933849,271.9287622200941,35048513.59126997,2022,Miami_Grand_Prix,R,-0.307439472346376,-0.9818953918497152,1.968605206729871
11,46,HARD,33.0,55.35575884238848,63.98361238923846,0.416556570705578,3478.881575000397,333.2730003784518,159.37073885057552,312.08390507562416,37810692.76831521,2024,Azerbaijan_Grand_Prix,R,0.1381588597814185,-0.5862485390469424,-1.1774476939964629
27,50,HARD,30.0,48.89676482825065,55.72842305442466,0.4210430824479572,2962.6384530704395,324.0732230966628,71.49102285911519,229.8553609054676,26198126.02252986,2023,Singapore_Grand_Prix,R,-2.0450396100516213,1.640479956885339,0.90232169943267
31,48,HARD,15.0,51.00919881641128,57.93510670687044,0.42368538294528,2913.730472012084,328.22954200431013,107.48880370088824,255.6509277400433,23414226.043808367,2022,Mexico_City_Grand_Prix,R,1.563806300562964,0.1045032747756466,0.9797371266307588
24,49,MEDIUM,31.0,64.9030720983416,77.75723088956424,0.3387313801369591,4393.127214620874,545.9154006395063,115.32132077609263,692.1375765214849,49311298.45896411,2023,Saudi_Arabian_Grand_Prix,R,-1.9237090466634097,-0.2173051445920348,1.5230869964523748
31,65,SOFT,21.0,56.30655076387005,66.26776964093175,0.4069044585020765,3253.757210412567,444.3348257390656,87.19689037147513,221.526045066934,26285039.050999667,2022,São_Paulo_Grand_Prix,R,2.922523801122623,-0.4176039742112672,-0.1778423551355933
11,59,SOFT,12.0,57.530953970291904,65.15047774352036,0.4052885848994594,1752.0814071121758,389.9454075445117,89.2274189603264,121.04481697989524,19598297.426234342,2021,Dutch_Grand_Prix,R,0.0421843749703645,-1.5872028041554564,-0.354962031285875
14,48,HARD,7.0,56.9333333306029,67.2206545344919,0.3916845285311114,3828.621857544692,389.3201012604375,79.8460580975,396.3979580557027,35421928.842768915,2024,Bahrain_Grand_Prix,R,-0.5983787851839151,0.7356730097498678,1.2187221183209016
16,63,HARD,38.0,56.670132265221,69.2715629251902,0.3965148665972418,1731.5530541761862,366.7808118836259,83.90477903937476,115.94886203698384,20372542.04959377,2021,Portuguese_Grand_Prix,R,0.9889041306098982,-0.1551706084987854,1.5226322468846347
6,42,HARD,29.0,57.9184077984435,68.79075871552261,0.3875278340684991,1836.1697686137577,292.6322359993241,66.17047530053851,127.82566915706768,25881436.371986903,2021,Russian_Grand_Prix,R,0.4102555419448744,-1.0783806988342983,-1.4110586300912202
18,50,SOFT,2.0,56.73489374675994,64.8704395441718,0.3754960259659641,3261.6645773533287,449.8077518004058,72.46731421998973,229.9192901263732,26459768.06526376,2022,São_Paulo_Grand_Prix,R,-0.8851109235934055,-0.4028173535463519,-1.8123271233104696
22,44,SOFT,29.0,64.2313061653881,73.34078863501986,0.3266225416200371,4062.9041735867313,505.3460744041936,244.94192718325587,474.1250550873418,51103662.753499866,2024,Belgian_Grand_Prix,R,0.2166598041721273,1.657196413131957,0.8409094771395066
23,34,HARD,11.0,53.15334112875148,54.94579018590375,0.4112189381782014,3700.286549473472,434.2184671118412,83.43167556332966,1045.1944785787236,42064355.049368754,2024,Chinese_Grand_Prix,R,-2.0994085498092123,0.0937791596344086,0.9338907597706
14,56,SOFT,5.0,53.346584279341,58.178556294525,0.4009227232561092,3345.994456190232,457.6446668385676,72.42124565730747,204.40636299692144,28156669.124374025,2022,Spanish_Grand_Prix,R,-0.9491206339916288,-0.0634300385281435,-1.2258650613340052
63,25,SOFT,3.0,62.85937665849632,68.95919025411584,0.3632830338221794,3742.788262825688,409.9000585015302,115.1798356692787,341.61772008925385,48658350.48802394,2023,Belgian_Grand_Prix,R,-1.7734774607674149,-1.660400311710763,-1.3145899168849784
31,44,HARD,43.0,64.48228015895751,78.40446412327074,0.3667403883850392,3814.826189003568,511.0199225006691,102.1413454684434,269.9566013009289,36355103.94119912,2023,Australian_Grand_Prix,R,-0.6078417822360823,0.1046877273905492,1.2974688920016548
55,47,HARD,21.0,63.98353037365133,73.24482765367414,0.3862859680967178,4251.785759322806,385.9005268705125,76.3205062869294,392.7468929063468,44203174.38063116,2023,Las_Vegas_Grand_Prix,R,3.6784660013857495,2.331886540550667,0.6857901656005734
22,56,MEDIUM,20.0,58.820911979627525,67.01808087775011,0.3670517177273093,3646.4612496879386,483.6667366919226,179.03095180062945,300.53644451520495,37201769.24500131,2023,Miami_Grand_Prix,R,2.1142037962694262,3.201077344982023,0.6316203312135972
3,13,HARD,2.0,59.73435288451596,69.48584267820232,0.3925027420313203,3950.310712923354,417.58462418351417,89.34325558989975,577.4973391293332,34837498.448269,2024,Emilia_Romagna_Grand_Prix,R,-0.4805283653632368,-1.1198854745378566,2.5276470141445477
16,37,MEDIUM,2.0,54.60897274422428,66.00425930398619,0.4056584852811078,3210.50118602281,512.625225132272,111.5786875620389,213.0261951355185,33453372.51399944,2022,United_States_Grand_Prix,R,0.045183100560567,-2.004711871076097,0.3706349461446758
27,49,HARD,16.0,66.12398079693199,77.05854101914004,0.3398849836952502,4119.661256875958,552.8343860573005,103.12582912975572,264.8912909360224,45774384.67171679,2024,Saudi_Arabian_Grand_Prix,R,-1.2205209409668172,1.5211687356124084,0.6891039664548351
1,39,SOFT,2.0,57.86634956085165,69.0654069499834,0.3915458130278225,3607.63789383598,399.999947799218,86.31767282762222,422.4397611624528,34645155.1601905,2024,Bahrain_Grand_Prix,R,-1.4201782457422312,2.3105013939217987,-0.1927019113393598
27,32,HARD,9.0,53.6425119853027,58.81088545312733,0.4025585969102974,3079.941437412682,391.2793354790662,71.25805406809323,228.38231064930608,31669340.824334584,2024,Chinese_Grand_Prix,R,0.6650073187980076,1.095734663604789,0.3049997121582532
22,77,HARD,77.0,43.91090433544364,52.36827487248296,0.4449745476689873,2593.993081985907,514.736752125812,87.95430503127531,260.7290769212008,18525768.33524218,2024,Monaco_Grand_Prix,R,1.4037714625726767,2.099278426311572,-0.8417123239710892
9,45,MEDIUM,3.0,55.50049507643536,58.03213789767134,0.4061799651513705,1650.2507924822478,308.1202620565942,84.87577358193234,122.32759568474806,19117022.79229199,2021,Spanish_Grand_Prix,R,0.6704943699481717,-1.4699495061366483,0.139391950348593
6,34,HARD,9.0,61.34315068338462,68.43739503524402,0.4040831866968684,1759.2822440829525,209.1611453243373,66.8181955957393,117.48630225281896,17157408.66469415,2021,Styrian_Grand_Prix,R,-2.125506045288053,-1.738611572972629,-1.6014682868032837
4,51,MEDIUM,2.0,62.87549024301003,72.6583404294218,0.331900918713955,1837.7465304235336,346.82470895772616,81.28521597387675,164.16337422201215,24751685.580884386,2021,Qatar_Grand_Prix,R,0.7516576652514729,-2.3065797980157274,-0.4014116147118083
20,33,HARD,4.0,57.94359951082049,62.830504780890806,0.383570415594547,3255.5574213052846,488.5515072772191,99.94542337422996,363.7491744484402,29291175.22236616,2024,Spanish_Grand_Prix,R,2.6675381693475764,-3.5331805148815327,0.5563599054977554
