Event,Successful_Sessions,With_Laps,With_Tires,With_Weather,With_Telemetry
Abu Dhabi Grand Prix,0,0,0,0,0
Australian Grand Prix,5,5,5,5,5
Austrian Grand Prix,3,3,3,3,3
Azerbaijan Grand Prix,5,5,5,5,5
Bahrain Grand Prix,5,5,5,5,5
Belgian Grand Prix,5,5,5,5,5
British Grand Prix,5,5,5,5,5
Canadian Grand Prix,5,5,5,5,5
Chinese Grand Prix,3,3,3,3,3
Dutch Grand Prix,5,5,5,5,5
Emilia Romagna Grand Prix,5,5,5,5,5
Hungarian Grand Prix,5,5,5,5,5
Italian Grand Prix,5,5,5,5,5
Japanese Grand Prix,5,5,5,5,5
Las Vegas Grand Prix,0,1,1,0,0
Mexico City Grand Prix,5,5,5,5,5
Miami Grand Prix,3,3,3,3,3
Monaco Grand Prix,5,5,5,5,5
Pre-Season Testing,5,5,5,5,5
Qatar Grand Prix,0,0,0,0,0
Saudi Arabian Grand Prix,5,5,5,5,5
Singapore Grand Prix,5,5,5,5,5
Spanish Grand Prix,5,5,5,5,5
São Paulo Grand Prix,3,3,3,3,3
United States Grand Prix,3,3,3,3,3
