timestamp,event,round,session,status,error
2025-12-02T15:18:30.880074,Pre-Season Testing,0,FP1,success,
2025-12-02T15:18:39.761614,Pre-Season Testing,0,FP2,success,
2025-12-02T15:18:47.704231,Pre-Season Testing,0,FP3,success,
2025-12-02T15:18:55.622201,Pre-Season Testing,0,Q,success,
2025-12-02T15:19:03.986363,Pre-Season Testing,0,R,success,
2025-12-02T15:19:16.112552,Bahrain Grand Prix,1,FP1,success,
2025-12-02T15:19:24.599338,Bahrain Grand Prix,1,FP2,success,
2025-12-02T15:19:32.505927,Bahrain Grand Prix,1,FP3,success,
2025-12-02T15:19:40.123204,Bahrain Grand Prix,1,Q,success,
2025-12-02T15:19:47.730935,Bahrain Grand Prix,1,R,success,
2025-12-02T15:19:59.990990,Saudi Arabian Grand Prix,2,FP1,success,
2025-12-02T15:20:07.974058,Saudi Arabian Grand Prix,2,FP2,success,
2025-12-02T15:20:16.450741,Saudi Arabian Grand Prix,2,FP3,success,
2025-12-02T15:20:23.704010,Saudi Arabian Grand Prix,2,Q,success,
2025-12-02T15:20:31.513493,Saudi Arabian Grand Prix,2,R,success,
2025-12-02T15:20:42.317556,Australian Grand Prix,3,FP1,success,
2025-12-02T15:20:50.617393,Australian Grand Prix,3,FP2,success,
2025-12-02T15:20:58.629718,Australian Grand Prix,3,FP3,success,
2025-12-02T15:21:06.426124,Australian Grand Prix,3,Q,success,
2025-12-02T15:21:13.925447,Australian Grand Prix,3,R,success,
2025-12-02T15:21:24.450591,Japanese Grand Prix,4,FP1,success,
2025-12-02T15:21:32.518614,Japanese Grand Prix,4,FP2,success,
2025-12-02T15:21:38.574204,Japanese Grand Prix,4,FP3,success,
2025-12-02T15:21:46.985200,Japanese Grand Prix,4,Q,success,
2025-12-02T15:21:54.878703,Japanese Grand Prix,4,R,success,
2025-12-02T15:22:06.672207,Chinese Grand Prix,5,FP1,success,
2025-12-02T15:22:14.965457,Chinese Grand Prix,5,FP2,no_data,Session type 'FP2' does not exist for this event
2025-12-02T15:22:14.972755,Chinese Grand Prix,5,FP3,no_data,Session type 'FP3' does not exist for this event
2025-12-02T15:22:14.979713,Chinese Grand Prix,5,Q,success,
2025-12-02T15:22:22.887077,Chinese Grand Prix,5,R,success,
2025-12-02T15:22:34.848071,Miami Grand Prix,6,FP1,success,
2025-12-02T15:22:43.392518,Miami Grand Prix,6,FP2,no_data,Session type 'FP2' does not exist for this event
2025-12-02T15:22:43.400069,Miami Grand Prix,6,FP3,no_data,Session type 'FP3' does not exist for this event
2025-12-02T15:22:43.407627,Miami Grand Prix,6,Q,success,
2025-12-02T15:22:51.071663,Miami Grand Prix,6,R,success,
2025-12-02T15:23:02.563009,Emilia Romagna Grand Prix,7,FP1,success,
2025-12-02T15:23:10.751575,Emilia Romagna Grand Prix,7,FP2,success,
2025-12-02T15:23:19.244226,Emilia Romagna Grand Prix,7,FP3,success,
2025-12-02T15:23:27.897900,Emilia Romagna Grand Prix,7,Q,success,
2025-12-02T15:23:35.866360,Emilia Romagna Grand Prix,7,R,success,
2025-12-02T15:23:48.710781,Monaco Grand Prix,8,FP1,success,
2025-12-02T15:23:57.599669,Monaco Grand Prix,8,FP2,success,
2025-12-02T15:24:06.019397,Monaco Grand Prix,8,FP3,success,
2025-12-02T15:24:14.564222,Monaco Grand Prix,8,Q,success,
2025-12-02T15:24:22.684801,Monaco Grand Prix,8,R,success,
2025-12-02T15:24:36.323280,Canadian Grand Prix,9,FP1,success,
2025-12-02T15:24:44.069956,Canadian Grand Prix,9,FP2,success,
