Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:16:55.415000,VER,1,,1.0,1.0,0 days 00:14:59.632000,,,0 days 00:00:39.563000,0 days 00:00:39.974000,,0 days 00:16:15.911000,0 days 00:16:55.415000,299.0,243.0,252.0,278.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:14:59.632000,2024-07-05 15:01:26.839,1,,None,,False,False
0 days 00:18:23.246000,VER,1,0 days 00:01:27.831000,2.0,1.0,,,0 days 00:00:28.184000,0 days 00:00:35.623000,0 days 00:00:24.024000,0 days 00:17:23.599000,0 days 00:17:59.222000,0 days 00:18:23.246000,319.0,265.0,248.0,325.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:16:55.415000,2024-07-05 15:03:22.622,1,,None,,False,True
0 days 00:20:15.994000,VER,1,0 days 00:01:52.748000,3.0,1.0,,0 days 00:20:09.961000,0 days 00:00:37.072000,0 days 00:00:45.397000,0 days 00:00:30.279000,0 days 00:19:00.318000,0 days 00:19:45.715000,0 days 00:20:15.994000,218.0,232.0,,287.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:18:23.246000,2024-07-05 15:04:50.453,1,,None,,False,False
0 days 00:27:18.136000,VER,1,,4.0,2.0,0 days 00:25:32.206000,,,0 days 00:00:46.012000,0 days 00:00:27.733000,,0 days 00:26:50.992000,0 days 00:27:18.361000,250.0,223.0,253.0,276.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:20:15.994000,2024-07-05 15:06:43.201,1,,None,,False,False
0 days 00:28:45.369000,VER,1,0 days 00:01:27.233000,5.0,2.0,,,0 days 00:00:28.179000,0 days 00:00:35.177000,0 days 00:00:23.877000,0 days 00:27:46.315000,0 days 00:28:21.492000,0 days 00:28:45.369000,314.0,266.0,249.0,321.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:27:18.136000,2024-07-05 15:13:45.343,1,,None,,False,True
0 days 00:30:32.927000,VER,1,0 days 00:01:47.558000,6.0,2.0,,0 days 00:30:27.012000,0 days 00:00:35.177000,0 days 00:00:45.018000,0 days 00:00:27.363000,0 days 00:29:20.546000,0 days 00:30:05.564000,0 days 00:30:32.927000,193.0,225.0,,253.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:28:45.369000,2024-07-05 15:15:12.576,1,,None,,False,False
0 days 00:39:52.442000,VER,1,,7.0,3.0,0 days 00:38:03.725000,,,0 days 00:00:44.504000,0 days 00:00:31.693000,,0 days 00:39:20.749000,0 days 00:39:52.455000,265.0,90.0,257.0,257.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:30:32.927000,2024-07-05 15:17:00.134,1,,None,,False,False
0 days 00:41:37.989000,VER,1,0 days 00:01:45.547000,8.0,3.0,,0 days 00:41:31.880000,0 days 00:00:28.059000,0 days 00:00:35.665000,0 days 00:00:41.823000,0 days 00:40:20.501000,0 days 00:40:56.166000,0 days 00:41:37.989000,314.0,162.0,,147.0,False,SOFT,2.0,True,Red Bull Racing,0 days 00:39:52.442000,2024-07-05 15:26:19.649,1,,None,,False,False
0 days 00:49:04.542000,VER,1,,9.0,4.0,0 days 00:47:32.171000,,,0 days 00:00:38.299000,0 days 00:00:25.858000,,0 days 00:48:38.935000,0 days 00:49:04.666000,283.0,251.0,243.0,292.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:41:37.989000,2024-07-05 15:28:05.196,1,,None,,False,False
0 days 00:50:39.956000,VER,1,0 days 00:01:35.414000,10.0,4.0,,,0 days 00:00:29.595000,0 days 00:00:37.477000,0 days 00:00:28.342000,0 days 00:49:34.137000,0 days 00:50:11.614000,0 days 00:50:39.956000,286.0,254.0,245.0,298.0,False,MEDIUM,5.0,False,Red Bull Racing,0 days 00:49:04.542000,2024-07-05 15:35:31.749,1,,None,,False,True
0 days 00:52:11.965000,VER,1,0 days 00:01:32.009000,11.0,4.0,,,0 days 00:00:29.576000,0 days 00:00:37.283000,0 days 00:00:25.150000,0 days 00:51:09.532000,0 days 00:51:46.815000,0 days 00:52:11.965000,291.0,255.0,243.0,299.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 00:50:39.956000,2024-07-05 15:37:07.163,1,,None,,False,True
0 days 00:53:43.937000,VER,1,0 days 00:01:31.972000,12.0,4.0,,,0 days 00:00:29.560000,0 days 00:00:37.204000,0 days 00:00:25.208000,0 days 00:52:41.525000,0 days 00:53:18.729000,0 days 00:53:43.937000,,253.0,243.0,300.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:52:11.965000,2024-07-05 15:38:39.172,1,,None,,False,True
