Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:21:26.225000,VER,1,,1.0,1.0,0 days 00:19:48.049000,,,0 days 00:00:40.789000,0 days 00:00:25.546000,,0 days 00:21:00.929000,0 days 00:21:26.298000,253.0,279.0,248.0,266.0,False,TEST_UNKNOWN,1.0,True,Red Bull Racing,0 days 00:19:48.049000,2024-10-25 22:06:38.556,1,,None,,False,False
0 days 00:23:02.381000,VER,1,0 days 00:01:36.156000,2.0,1.0,,0 days 00:22:59.745000,0 days 00:00:32.107000,0 days 00:00:33.709000,0 days 00:00:30.340000,0 days 00:21:58.332000,0 days 00:22:32.041000,0 days 00:23:02.381000,239.0,256.0,,346.0,False,TEST_UNKNOWN,2.0,True,Red Bull Racing,0 days 00:21:26.225000,2024-10-25 22:08:16.732,1,,None,,False,False
0 days 00:54:46.574000,VER,1,,3.0,2.0,0 days 00:53:02.643000,,,0 days 00:00:36.094000,0 days 00:00:36.620000,,0 days 00:54:10.161000,0 days 00:54:46.574000,274.0,279.0,246.0,258.0,False,TEST_UNKNOWN,3.0,False,Red Bull Racing,0 days 00:53:02.643000,2024-10-25 22:39:53.150,1,,None,,False,False
0 days 00:56:14.808000,VER,1,0 days 00:01:28.234000,4.0,2.0,,0 days 00:56:12.219000,0 days 00:00:28.039000,0 days 00:00:33.565000,0 days 00:00:26.630000,0 days 00:55:14.613000,0 days 00:55:48.178000,0 days 00:56:14.808000,310.0,266.0,,347.0,False,TEST_UNKNOWN,4.0,False,Red Bull Racing,0 days 00:54:46.574000,2024-10-25 22:41:37.081,1,,None,,False,False
0 days 00:14:45.775000,NOR,4,,1.0,1.0,0 days 00:13:19.007000,,,0 days 00:00:32.961000,0 days 00:00:22.129000,,0 days 00:14:23.691000,0 days 00:14:45.839000,275.0,275.0,248.0,281.0,False,TEST_UNKNOWN,1.0,True,McLaren,0 days 00:13:19.007000,2024-10-25 22:00:09.514,1,,None,,False,False
0 days 00:16:05.670000,NOR,4,0 days 00:01:19.895000,2.0,1.0,,,0 days 00:00:28.475000,0 days 00:00:30.770000,0 days 00:00:20.650000,0 days 00:15:14.250000,0 days 00:15:45.020000,0 days 00:16:05.670000,307.0,289.0,247.0,338.0,True,TEST_UNKNOWN,2.0,True,McLaren,0 days 00:14:45.775000,2024-10-25 22:01:36.282,1,,None,,False,True
0 days 00:17:55.062000,NOR,4,0 days 00:01:49.392000,3.0,1.0,,,0 days 00:00:34.200000,0 days 00:00:47.685000,0 days 00:00:27.507000,0 days 00:16:39.870000,0 days 00:17:27.555000,0 days 00:17:55.062000,198.0,155.0,249.0,241.0,False,TEST_UNKNOWN,3.0,True,McLaren,0 days 00:16:05.670000,2024-10-25 22:02:56.177,1,,None,,False,True
0 days 00:19:14.766000,NOR,4,0 days 00:01:19.704000,4.0,1.0,,,0 days 00:00:28.226000,0 days 00:00:30.289000,0 days 00:00:21.189000,0 days 00:18:23.288000,0 days 00:18:53.577000,0 days 00:19:14.766000,307.0,290.0,247.0,338.0,True,TEST_UNKNOWN,4.0,True,McLaren,0 days 00:17:55.062000,2024-10-25 22:04:45.569,12,,None,,False,True
0 days 00:20:48.798000,NOR,4,0 days 00:01:34.032000,5.0,1.0,,0 days 00:20:46.082000,0 days 00:00:31.495000,0 days 00:00:35.754000,0 days 00:00:26.783000,0 days 00:19:46.261000,0 days 00:20:22.015000,0 days 00:20:48.798000,266.0,207.0,,299.0,False,TEST_UNKNOWN,5.0,True,McLaren,0 days 00:19:14.766000,2024-10-25 22:06:05.273,21,,None,,False,False
0 days 00:51:13.980000,NOR,4,,6.0,2.0,0 days 00:49:23.719000,,,0 days 00:00:36.545000,0 days 00:00:36.499000,,0 days 00:50:37.737000,0 days 00:51:14.136000,231.0,276.0,248.0,294.0,False,TEST_UNKNOWN,1.0,True,McLaren,0 days 00:49:23.719000,2024-10-25 22:36:14.226,12,,None,,False,False
0 days 00:52:32.780000,NOR,4,0 days 00:01:18.800000,7.0,2.0,,,0 days 00:00:27.843000,0 days 00:00:30.518000,0 days 00:00:20.439000,0 days 00:51:41.823000,0 days 00:52:12.341000,0 days 00:52:32.780000,308.0,289.0,246.0,341.0,True,TEST_UNKNOWN,2.0,True,McLaren,0 days 00:51:13.980000,2024-10-25 22:38:04.487,1,,None,,False,True
0 days 00:54:33.666000,NOR,4,0 days 00:02:00.886000,8.0,2.0,,,0 days 00:00:34.121000,0 days 00:00:48.526000,0 days 00:00:38.239000,0 days 00:53:06.901000,0 days 00:53:55.427000,0 days 00:54:33.666000,154.0,150.0,246.0,282.0,False,TEST_UNKNOWN,3.0,True,McLaren,0 days 00:52:32.780000,2024-10-25 22:39:23.287,1,,None,,False,True
0 days 00:55:52.071000,NOR,4,0 days 00:01:18.405000,9.0,2.0,,,0 days 00:00:27.954000,0 days 00:00:30.226000,0 days 00:00:20.225000,0 days 00:55:01.620000,0 days 00:55:31.846000,0 days 00:55:52.071000,307.0,291.0,246.0,340.0,True,TEST_UNKNOWN,4.0,True,McLaren,0 days 00:54:33.666000,2024-10-25 22:41:24.173,1,,None,,False,True
0 days 00:57:22.288000,NOR,4,0 days 00:01:30.217000,10.0,2.0,,0 days 00:57:19.679000,0 days 00:00:29.986000,0 days 00:00:35.116000,0 days 00:00:25.115000,0 days 00:56:22.057000,0 days 00:56:57.173000,0 days 00:57:22.288000,275.0,273.0,,306.0,False,TEST_UNKNOWN,5.0,True,McLaren,0 days 00:55:52.071000,2024-10-25 22:42:42.578,12,,None,,False,False
0 days 01:03:17.045000,NOR,4,,11.0,3.0,0 days 01:01:53.830000,,,0 days 00:00:32.046000,0 days 00:00:21.076000,,0 days 01:02:56.190000,0 days 01:03:17.246000,278.0,276.0,243.0,276.0,False,TEST_UNKNOWN,6.0,False,McLaren,0 days 00:57:22.288000,2024-10-25 22:44:12.795,1,,None,,False,False
